analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,0,1322.241300
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,1,1294.765600
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,2,1327.461300
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,3,1290.096700
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,4,1292.189200
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,5,1153.873700
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,6,1295.337200
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,7,1297.964900
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,8,1698.708300
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,9,1804.595500
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,10,1790.339500
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,0,2421.776700
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,1,2417.543600
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,2,2421.183400
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,3,2419.827700
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,4,2422.061600
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,5,2423.204500
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,6,2421.541400
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,7,2420.542800
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,8,2420.914900
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,9,2419.314000
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,10,2412.081900
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,0,3194.605600
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,1,3204.723900
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,2,3188.505200
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,3,3184.577900
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,4,3193.780700
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,5,3186.506600
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,7.8125e-06,131072,15,0,7360.602300
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,7.8125e-06,131072,15,1,6299.610500
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,7.8125e-06,131072,15,2,6298.948600
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,7.8125e-06,131072,15,3,6291.034800
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.90625e-06,131072,15,0,16582.901700
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.90625e-06,131072,15,1,18760.718100
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.90625e-06,131072,15,2,18850.031900
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,3.90625e-06,131072,15,3,18850.100400
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.953125e-06,131072,15,0,33095.330600
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.953125e-06,131072,15,1,25161.294600
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.953125e-06,131072,15,2,25119.938200
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,1.953125e-06,131072,15,3,25167.747000
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,9.765625e-07,131072,15,0,21438.226200
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,9.765625e-07,131072,15,1,21467.612300
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,9.765625e-07,131072,15,2,21673.326000
wp,ring_modulator_index2,rosenbrock23_sciml,fixed,d2h,dt,9.765625e-07,131072,15,3,21438.334900
