analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,0,2.890269
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,1,1.315717
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,2,1.265994
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,3,0.793249
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,4,0.780972
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,5,0.779976
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,6,0.780250
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,7,0.779859
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,8,0.773757
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,9,0.773181
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,10,0.774001
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,11,0.782406
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,12,0.778288
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,13,0.770905
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,14,0.772793
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,15,0.778521
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,16,0.770463
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,17,0.779836
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,18,0.800874
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,19,1.061575
wp,lorenz,euler,fixed,both,dt,0.00390625,131072,3,20,0.792117
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,0,0.127062
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,1,0.117909
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,2,0.114145
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,3,0.112713
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,4,0.112752
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,5,0.112160
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,6,0.111745
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,7,0.111777
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,8,0.110885
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,9,0.111611
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,10,0.110823
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,11,0.112706
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,12,0.112544
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,13,0.111620
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,14,0.111811
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,15,0.111725
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,16,0.111024
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,17,0.111581
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,18,0.111636
wp,lorenz,euler,fixed,none,dt,0.00390625,131072,3,19,0.111716
