analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,euler,fixed,both,none,nan,131072,4,0,1.671126
states,lorenz96,euler,fixed,both,none,nan,131072,4,1,2.282756
states,lorenz96,euler,fixed,both,none,nan,131072,4,2,2.198126
states,lorenz96,euler,fixed,both,none,nan,131072,4,3,1.594372
states,lorenz96,euler,fixed,both,none,nan,131072,4,4,1.582841
states,lorenz96,euler,fixed,both,none,nan,131072,4,5,1.661431
states,lorenz96,euler,fixed,both,none,nan,131072,4,6,1.884261
states,lorenz96,euler,fixed,both,none,nan,131072,4,7,1.751124
states,lorenz96,euler,fixed,both,none,nan,131072,4,8,2.487013
states,lorenz96,euler,fixed,both,none,nan,131072,4,9,2.481394
states,lorenz96,euler,fixed,both,none,nan,131072,4,10,2.479111
states,lorenz96,euler,fixed,both,none,nan,131072,4,11,2.618698
states,lorenz96,euler,fixed,both,none,nan,131072,4,12,1.700359
states,lorenz96,euler,fixed,both,none,nan,131072,4,13,1.641201
states,lorenz96,euler,fixed,both,none,nan,131072,4,14,1.590811
states,lorenz96,euler,fixed,both,none,nan,131072,4,15,1.585092
states,lorenz96,euler,fixed,both,none,nan,131072,4,16,1.574045
states,lorenz96,euler,fixed,both,none,nan,131072,4,17,1.580186
states,lorenz96,euler,fixed,both,none,nan,131072,4,18,1.578486
states,lorenz96,euler,fixed,both,none,nan,131072,4,19,1.569989
states,lorenz96,euler,fixed,both,none,nan,131072,4,20,1.568738
states,lorenz96,euler,fixed,none,none,nan,131072,4,0,0.745320
states,lorenz96,euler,fixed,none,none,nan,131072,4,1,0.727323
states,lorenz96,euler,fixed,none,none,nan,131072,4,2,0.724484
states,lorenz96,euler,fixed,none,none,nan,131072,4,3,0.722258
states,lorenz96,euler,fixed,none,none,nan,131072,4,4,0.723934
states,lorenz96,euler,fixed,none,none,nan,131072,4,5,0.721946
states,lorenz96,euler,fixed,none,none,nan,131072,4,6,0.722411
states,lorenz96,euler,fixed,none,none,nan,131072,4,7,1.603996
states,lorenz96,euler,fixed,none,none,nan,131072,4,8,2.151448
states,lorenz96,euler,fixed,none,none,nan,131072,4,9,1.042344
states,lorenz96,euler,fixed,none,none,nan,131072,4,10,0.721328
states,lorenz96,euler,fixed,none,none,nan,131072,4,11,0.986423
states,lorenz96,euler,fixed,none,none,nan,131072,4,12,0.722343
states,lorenz96,euler,fixed,none,none,nan,131072,4,13,0.721843
states,lorenz96,euler,fixed,none,none,nan,131072,4,14,1.963220
states,lorenz96,euler,fixed,none,none,nan,131072,4,15,1.219616
states,lorenz96,euler,fixed,none,none,nan,131072,4,16,0.988723
states,lorenz96,euler,fixed,none,none,nan,131072,4,17,0.722520
states,lorenz96,euler,fixed,none,none,nan,131072,4,18,0.722579
states,lorenz96,euler,fixed,none,none,nan,131072,4,19,0.722547
states,lorenz96,euler,fixed,none,none,nan,131072,4,20,0.721867
states,lorenz96,euler,fixed,both,none,nan,131072,8,0,3.845757
states,lorenz96,euler,fixed,both,none,nan,131072,8,1,3.682344
states,lorenz96,euler,fixed,both,none,nan,131072,8,2,3.627708
states,lorenz96,euler,fixed,both,none,nan,131072,8,3,3.020411
states,lorenz96,euler,fixed,both,none,nan,131072,8,4,3.024910
states,lorenz96,euler,fixed,both,none,nan,131072,8,5,3.017813
states,lorenz96,euler,fixed,both,none,nan,131072,8,6,3.011376
states,lorenz96,euler,fixed,both,none,nan,131072,8,7,2.986629
states,lorenz96,euler,fixed,both,none,nan,131072,8,8,2.978470
states,lorenz96,euler,fixed,both,none,nan,131072,8,9,3.233624
