analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pleiades,euler,fixed,both,none,nan,8,28,0,19.372165
times,pleiades,euler,fixed,both,none,nan,8,28,1,19.272279
times,pleiades,euler,fixed,both,none,nan,8,28,2,19.310059
times,pleiades,euler,fixed,both,none,nan,8,28,3,19.263528
times,pleiades,euler,fixed,both,none,nan,8,28,4,19.256729
times,pleiades,euler,fixed,both,none,nan,8,28,5,19.256719
times,pleiades,euler,fixed,both,none,nan,8,28,6,19.258742
times,pleiades,euler,fixed,both,none,nan,8,28,7,23.577663
times,pleiades,euler,fixed,both,none,nan,8,28,8,19.414482
times,pleiades,euler,fixed,both,none,nan,8,28,9,19.283411
times,pleiades,euler,fixed,both,none,nan,8,28,10,19.268056
times,pleiades,euler,fixed,both,none,nan,8,28,11,19.267062
times,pleiades,euler,fixed,both,none,nan,8,28,12,19.289475
times,pleiades,euler,fixed,both,none,nan,8,28,13,23.591122
times,pleiades,euler,fixed,both,none,nan,8,28,14,19.296654
times,pleiades,euler,fixed,both,none,nan,8,28,15,19.270098
times,pleiades,euler,fixed,both,none,nan,8,28,16,19.263904
times,pleiades,euler,fixed,both,none,nan,8,28,17,19.263839
times,pleiades,euler,fixed,both,none,nan,8,28,18,21.416658
times,pleiades,euler,fixed,both,none,nan,8,28,19,21.353739
times,pleiades,euler,fixed,both,none,nan,8,28,20,19.266416
times,pleiades,euler,fixed,none,none,nan,8,28,0,19.162737
times,pleiades,euler,fixed,none,none,nan,8,28,1,19.160304
times,pleiades,euler,fixed,none,none,nan,8,28,2,19.157444
times,pleiades,euler,fixed,none,none,nan,8,28,3,23.419998
times,pleiades,euler,fixed,none,none,nan,8,28,4,19.170532
times,pleiades,euler,fixed,none,none,nan,8,28,5,19.157483
times,pleiades,euler,fixed,none,none,nan,8,28,6,19.158110
times,pleiades,euler,fixed,none,none,nan,8,28,7,19.156899
times,pleiades,euler,fixed,none,none,nan,8,28,8,19.156600
times,pleiades,euler,fixed,none,none,nan,8,28,9,19.156813
times,pleiades,euler,fixed,none,none,nan,8,28,10,19.156467
times,pleiades,euler,fixed,none,none,nan,8,28,11,19.158168
times,pleiades,euler,fixed,none,none,nan,8,28,12,19.159745
times,pleiades,euler,fixed,none,none,nan,8,28,13,19.157733
times,pleiades,euler,fixed,none,none,nan,8,28,14,19.158094
times,pleiades,euler,fixed,none,none,nan,8,28,15,19.156796
times,pleiades,euler,fixed,none,none,nan,8,28,16,19.158576
times,pleiades,euler,fixed,none,none,nan,8,28,17,19.157547
times,pleiades,euler,fixed,none,none,nan,8,28,18,19.156606
times,pleiades,euler,fixed,none,none,nan,8,28,19,19.156020
times,pleiades,euler,fixed,none,none,nan,8,28,20,19.156552
times,pleiades,euler,fixed,both,none,nan,32,28,0,22.030682
times,pleiades,euler,fixed,both,none,nan,32,28,1,19.305507
times,pleiades,euler,fixed,both,none,nan,32,28,2,19.278455
times,pleiades,euler,fixed,both,none,nan,32,28,3,19.276423
times,pleiades,euler,fixed,both,none,nan,32,28,4,19.276709
times,pleiades,euler,fixed,both,none,nan,32,28,5,23.231243
times,pleiades,euler,fixed,both,none,nan,32,28,6,19.415814
times,pleiades,euler,fixed,both,none,nan,32,28,7,19.280092
times,pleiades,euler,fixed,both,none,nan,32,28,8,19.275638
times,pleiades,euler,fixed,both,none,nan,32,28,9,19.278999
times,pleiades,euler,fixed,both,none,nan,32,28,10,19.276055
times,pleiades,euler,fixed,both,none,nan,32,28,11,23.850786
times,pleiades,euler,fixed,both,none,nan,32,28,12,19.327020
times,pleiades,euler,fixed,both,none,nan,32,28,13,19.271473
times,pleiades,euler,fixed,both,none,nan,32,28,14,19.272676
times,pleiades,euler,fixed,both,none,nan,32,28,15,19.272661
times,pleiades,euler,fixed,both,none,nan,32,28,16,19.276363
times,pleiades,euler,fixed,both,none,nan,32,28,17,19.276319
times,pleiades,euler,fixed,both,none,nan,32,28,18,19.271282
times,pleiades,euler,fixed,both,none,nan,32,28,19,19.269856
times,pleiades,euler,fixed,both,none,nan,32,28,20,19.272699
times,pleiades,euler,fixed,none,none,nan,32,28,0,19.176337
times,pleiades,euler,fixed,none,none,nan,32,28,1,22.286102
times,pleiades,euler,fixed,none,none,nan,32,28,2,20.640755
times,pleiades,euler,fixed,none,none,nan,32,28,3,19.174691
times,pleiades,euler,fixed,none,none,nan,32,28,4,19.174175
times,pleiades,euler,fixed,none,none,nan,32,28,5,19.172633
times,pleiades,euler,fixed,none,none,nan,32,28,6,22.302093
