analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz,euler,fixed,both,none,nan,8,3,0,365.403942
times,lorenz,euler,fixed,both,none,nan,8,3,1,259.076337
times,lorenz,euler,fixed,both,none,nan,8,3,2,255.558938
times,lorenz,euler,fixed,both,none,nan,8,3,3,262.209607
times,lorenz,euler,fixed,both,none,nan,8,3,4,254.878372
times,lorenz,euler,fixed,both,none,nan,8,3,5,258.296797
times,lorenz,euler,fixed,both,none,nan,8,3,6,258.800682
times,lorenz,euler,fixed,both,none,nan,8,3,7,258.425990
times,lorenz,euler,fixed,both,none,nan,8,3,8,255.162995
times,lorenz,euler,fixed,both,none,nan,8,3,9,261.246599
times,lorenz,euler,fixed,both,none,nan,8,3,10,255.355403
times,lorenz,euler,fixed,both,none,nan,8,3,11,258.717107
times,lorenz,euler,fixed,both,none,nan,8,3,12,255.285005
times,lorenz,euler,fixed,both,none,nan,8,3,13,262.001919
times,lorenz,euler,fixed,both,none,nan,8,3,14,262.283934
times,lorenz,euler,fixed,both,none,nan,8,3,15,252.099252
times,lorenz,euler,fixed,both,none,nan,8,3,16,258.828784
times,lorenz,euler,fixed,both,none,nan,8,3,17,260.633849
times,lorenz,euler,fixed,both,none,nan,8,3,18,267.266840
times,lorenz,euler,fixed,both,none,nan,8,3,19,251.132549
times,lorenz,euler,fixed,both,none,nan,8,3,20,251.491241
times,lorenz,euler,fixed,none,none,nan,8,3,0,251.389890
times,lorenz,euler,fixed,none,none,nan,8,3,1,250.443313
times,lorenz,euler,fixed,none,none,nan,8,3,2,251.858031
times,lorenz,euler,fixed,none,none,nan,8,3,3,251.353212
times,lorenz,euler,fixed,none,none,nan,8,3,4,251.883990
times,lorenz,euler,fixed,none,none,nan,8,3,5,250.890739
times,lorenz,euler,fixed,none,none,nan,8,3,6,251.690833
times,lorenz,euler,fixed,none,none,nan,8,3,7,251.170849
times,lorenz,euler,fixed,none,none,nan,8,3,8,252.400887
times,lorenz,euler,fixed,none,none,nan,8,3,9,252.181483
times,lorenz,euler,fixed,none,none,nan,8,3,10,256.843262
times,lorenz,euler,fixed,none,none,nan,8,3,11,253.681557
times,lorenz,euler,fixed,none,none,nan,8,3,12,251.584957
times,lorenz,euler,fixed,none,none,nan,8,3,13,250.422213
times,lorenz,euler,fixed,none,none,nan,8,3,14,251.457429
times,lorenz,euler,fixed,none,none,nan,8,3,15,250.824298
times,lorenz,euler,fixed,none,none,nan,8,3,16,251.125847
times,lorenz,euler,fixed,none,none,nan,8,3,17,253.119029
times,lorenz,euler,fixed,none,none,nan,8,3,18,256.422209
times,lorenz,euler,fixed,none,none,nan,8,3,19,251.172388
times,lorenz,euler,fixed,none,none,nan,8,3,20,251.824628
times,lorenz,euler,fixed,both,none,nan,32,3,0,251.242261
times,lorenz,euler,fixed,both,none,nan,32,3,1,251.116844
times,lorenz,euler,fixed,both,none,nan,32,3,2,252.167225
times,lorenz,euler,fixed,both,none,nan,32,3,3,252.533345
times,lorenz,euler,fixed,both,none,nan,32,3,4,255.323562
times,lorenz,euler,fixed,both,none,nan,32,3,5,251.854213
times,lorenz,euler,fixed,both,none,nan,32,3,6,251.973809
times,lorenz,euler,fixed,both,none,nan,32,3,7,252.088793
times,lorenz,euler,fixed,both,none,nan,32,3,8,252.515968
times,lorenz,euler,fixed,both,none,nan,32,3,9,252.852768
times,lorenz,euler,fixed,both,none,nan,32,3,10,252.412623
