analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,euler,fixed,both,none,nan,131072,4,0,217.692182
states,lorenz96,euler,fixed,both,none,nan,131072,4,1,223.011834
states,lorenz96,euler,fixed,both,none,nan,131072,4,2,214.846135
states,lorenz96,euler,fixed,both,none,nan,131072,4,3,228.906945
states,lorenz96,euler,fixed,both,none,nan,131072,4,4,215.442856
states,lorenz96,euler,fixed,both,none,nan,131072,4,5,213.160391
states,lorenz96,euler,fixed,both,none,nan,131072,4,6,212.812640
states,lorenz96,euler,fixed,both,none,nan,131072,4,7,213.451576
states,lorenz96,euler,fixed,both,none,nan,131072,4,8,213.422933
states,lorenz96,euler,fixed,both,none,nan,131072,4,9,212.750558
states,lorenz96,euler,fixed,both,none,nan,131072,4,10,212.877112
states,lorenz96,euler,fixed,both,none,nan,131072,4,11,212.019131
states,lorenz96,euler,fixed,both,none,nan,131072,4,12,212.860587
states,lorenz96,euler,fixed,both,none,nan,131072,4,13,211.414478
states,lorenz96,euler,fixed,both,none,nan,131072,4,14,212.664566
states,lorenz96,euler,fixed,both,none,nan,131072,4,15,211.587254
states,lorenz96,euler,fixed,both,none,nan,131072,4,16,212.111216
states,lorenz96,euler,fixed,both,none,nan,131072,4,17,214.854841
states,lorenz96,euler,fixed,both,none,nan,131072,4,18,212.066017
states,lorenz96,euler,fixed,both,none,nan,131072,4,19,212.377030
states,lorenz96,euler,fixed,both,none,nan,131072,4,20,212.930847
states,lorenz96,euler,fixed,none,none,nan,131072,4,0,209.715290
states,lorenz96,euler,fixed,none,none,nan,131072,4,1,211.028122
states,lorenz96,euler,fixed,none,none,nan,131072,4,2,210.182609
states,lorenz96,euler,fixed,none,none,nan,131072,4,3,211.191657
states,lorenz96,euler,fixed,none,none,nan,131072,4,4,205.372827
states,lorenz96,euler,fixed,none,none,nan,131072,4,5,215.489354
states,lorenz96,euler,fixed,none,none,nan,131072,4,6,206.329956
states,lorenz96,euler,fixed,none,none,nan,131072,4,7,205.956774
states,lorenz96,euler,fixed,none,none,nan,131072,4,8,205.439528
states,lorenz96,euler,fixed,none,none,nan,131072,4,9,205.790595
states,lorenz96,euler,fixed,none,none,nan,131072,4,10,215.391046
states,lorenz96,euler,fixed,none,none,nan,131072,4,11,205.898627
states,lorenz96,euler,fixed,none,none,nan,131072,4,12,205.585472
states,lorenz96,euler,fixed,none,none,nan,131072,4,13,205.570777
states,lorenz96,euler,fixed,none,none,nan,131072,4,14,205.934671
states,lorenz96,euler,fixed,none,none,nan,131072,4,15,217.004042
states,lorenz96,euler,fixed,none,none,nan,131072,4,16,206.643125
states,lorenz96,euler,fixed,none,none,nan,131072,4,17,206.363639
states,lorenz96,euler,fixed,none,none,nan,131072,4,18,206.290283
states,lorenz96,euler,fixed,none,none,nan,131072,4,19,215.944212
states,lorenz96,euler,fixed,none,none,nan,131072,4,20,206.714500
states,lorenz96,euler,fixed,both,none,nan,131072,8,0,379.543702
states,lorenz96,euler,fixed,both,none,nan,131072,8,1,382.678768
states,lorenz96,euler,fixed,both,none,nan,131072,8,2,378.300318
states,lorenz96,euler,fixed,both,none,nan,131072,8,3,381.503210
states,lorenz96,euler,fixed,both,none,nan,131072,8,4,379.337211
states,lorenz96,euler,fixed,both,none,nan,131072,8,5,377.191295
states,lorenz96,euler,fixed,both,none,nan,131072,8,6,382.095915
states,lorenz96,euler,fixed,both,none,nan,131072,8,7,378.683529
states,lorenz96,euler,fixed,both,none,nan,131072,8,8,377.288030
states,lorenz96,euler,fixed,both,none,nan,131072,8,9,382.445845
states,lorenz96,euler,fixed,both,none,nan,131072,8,10,378.722256
states,lorenz96,euler,fixed,both,none,nan,131072,8,11,381.391341
states,lorenz96,euler,fixed,both,none,nan,131072,8,12,378.576361
states,lorenz96,euler,fixed,both,none,nan,131072,8,13,378.733408
states,lorenz96,euler,fixed,both,none,nan,131072,8,14,380.949349
states,lorenz96,euler,fixed,both,none,nan,131072,8,15,378.938929
states,lorenz96,euler,fixed,both,none,nan,131072,8,16,378.694919
states,lorenz96,euler,fixed,both,none,nan,131072,8,17,380.915794
states,lorenz96,euler,fixed,both,none,nan,131072,8,18,378.457288
states,lorenz96,euler,fixed,both,none,nan,131072,8,19,380.590468
states,lorenz96,euler,fixed,both,none,nan,131072,8,20,379.836019
states,lorenz96,euler,fixed,none,none,nan,131072,8,0,375.593562
states,lorenz96,euler,fixed,none,none,nan,131072,8,1,379.399140
states,lorenz96,euler,fixed,none,none,nan,131072,8,2,377.002004
states,lorenz96,euler,fixed,none,none,nan,131072,8,3,375.529221
states,lorenz96,euler,fixed,none,none,nan,131072,8,4,379.873262
states,lorenz96,euler,fixed,none,none,nan,131072,8,5,375.596684
states,lorenz96,euler,fixed,none,none,nan,131072,8,6,376.711237
states,lorenz96,euler,fixed,none,none,nan,131072,8,7,378.840834
states,lorenz96,euler,fixed,none,none,nan,131072,8,8,377.131578
states,lorenz96,euler,fixed,none,none,nan,131072,8,9,378.988386
states,lorenz96,euler,fixed,none,none,nan,131072,8,10,376.627930
states,lorenz96,euler,fixed,none,none,nan,131072,8,11,375.674729
states,lorenz96,euler,fixed,none,none,nan,131072,8,12,380.044742
states,lorenz96,euler,fixed,none,none,nan,131072,8,13,375.642294
states,lorenz96,euler,fixed,none,none,nan,131072,8,14,376.741804
states,lorenz96,euler,fixed,none,none,nan,131072,8,15,378.956418
states,lorenz96,euler,fixed,none,none,nan,131072,8,16,376.638734
states,lorenz96,euler,fixed,none,none,nan,131072,8,17,377.464644
states,lorenz96,euler,fixed,none,none,nan,131072,8,18,379.079793
states,lorenz96,euler,fixed,none,none,nan,131072,8,19,375.689629
states,lorenz96,euler,fixed,none,none,nan,131072,8,20,379.707904
states,lorenz96,euler,fixed,both,none,nan,131072,16,0,678.557850
states,lorenz96,euler,fixed,both,none,nan,131072,16,1,679.830053
states,lorenz96,euler,fixed,both,none,nan,131072,16,2,676.134666
states,lorenz96,euler,fixed,both,none,nan,131072,16,3,678.516978
states,lorenz96,euler,fixed,both,none,nan,131072,16,4,678.787128
states,lorenz96,euler,fixed,both,none,nan,131072,16,5,675.302220
states,lorenz96,euler,fixed,both,none,nan,131072,16,6,678.364060
states,lorenz96,euler,fixed,both,none,nan,131072,16,7,678.907621
states,lorenz96,euler,fixed,both,none,nan,131072,16,8,675.034104
states,lorenz96,euler,fixed,both,none,nan,131072,16,9,678.654571
states,lorenz96,euler,fixed,both,none,nan,131072,16,10,678.837712
states,lorenz96,euler,fixed,both,none,nan,131072,16,11,678.315975
states,lorenz96,euler,fixed,both,none,nan,131072,16,12,678.793347
states,lorenz96,euler,fixed,both,none,nan,131072,16,13,679.362161
states,lorenz96,euler,fixed,both,none,nan,131072,16,14,676.316709
states,lorenz96,euler,fixed,both,none,nan,131072,16,15,678.328076
states,lorenz96,euler,fixed,both,none,nan,131072,16,16,677.153421
states,lorenz96,euler,fixed,both,none,nan,131072,16,17,676.757834
states,lorenz96,euler,fixed,both,none,nan,131072,16,18,678.601664
states,lorenz96,euler,fixed,both,none,nan,131072,16,19,677.072726
states,lorenz96,euler,fixed,both,none,nan,131072,16,20,676.854838
states,lorenz96,euler,fixed,none,none,nan,131072,16,0,673.293513
states,lorenz96,euler,fixed,none,none,nan,131072,16,1,670.434423
states,lorenz96,euler,fixed,none,none,nan,131072,16,2,673.678930
states,lorenz96,euler,fixed,none,none,nan,131072,16,3,675.339112
states,lorenz96,euler,fixed,none,none,nan,131072,16,4,671.234181
states,lorenz96,euler,fixed,none,none,nan,131072,16,5,672.649224
states,lorenz96,euler,fixed,none,none,nan,131072,16,6,672.559863
states,lorenz96,euler,fixed,none,none,nan,131072,16,7,670.514325
states,lorenz96,euler,fixed,none,none,nan,131072,16,8,672.655163
states,lorenz96,euler,fixed,none,none,nan,131072,16,9,671.890121
states,lorenz96,euler,fixed,none,none,nan,131072,16,10,671.540159
states,lorenz96,euler,fixed,none,none,nan,131072,16,11,672.257908
states,lorenz96,euler,fixed,none,none,nan,131072,16,12,672.658785
states,lorenz96,euler,fixed,none,none,nan,131072,16,13,670.468215
states,lorenz96,euler,fixed,none,none,nan,131072,16,14,672.607073
states,lorenz96,euler,fixed,none,none,nan,131072,16,15,672.203020
states,lorenz96,euler,fixed,none,none,nan,131072,16,16,670.973199
states,lorenz96,euler,fixed,none,none,nan,131072,16,17,672.305583
states,lorenz96,euler,fixed,none,none,nan,131072,16,18,672.772270
