analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96,euler,fixed,both,none,nan,8,32,0,208.137221
times,lorenz96,euler,fixed,both,none,nan,8,32,1,204.702050
times,lorenz96,euler,fixed,both,none,nan,8,32,2,204.296125
times,lorenz96,euler,fixed,both,none,nan,8,32,3,204.690341
times,lorenz96,euler,fixed,both,none,nan,8,32,4,205.199698
times,lorenz96,euler,fixed,both,none,nan,8,32,5,204.276869
times,lorenz96,euler,fixed,both,none,nan,8,32,6,204.066943
times,lorenz96,euler,fixed,both,none,nan,8,32,7,203.968386
times,lorenz96,euler,fixed,both,none,nan,8,32,8,204.734832
times,lorenz96,euler,fixed,both,none,nan,8,32,9,205.048299
times,lorenz96,euler,fixed,both,none,nan,8,32,10,205.633650
times,lorenz96,euler,fixed,both,none,nan,8,32,11,204.969379
times,lorenz96,euler,fixed,both,none,nan,8,32,12,204.327131
times,lorenz96,euler,fixed,both,none,nan,8,32,13,204.890351
times,lorenz96,euler,fixed,both,none,nan,8,32,14,204.938269
times,lorenz96,euler,fixed,both,none,nan,8,32,15,205.219440
times,lorenz96,euler,fixed,both,none,nan,8,32,16,204.822662
times,lorenz96,euler,fixed,both,none,nan,8,32,17,204.283884
times,lorenz96,euler,fixed,both,none,nan,8,32,18,203.775971
times,lorenz96,euler,fixed,both,none,nan,8,32,19,205.267350
times,lorenz96,euler,fixed,both,none,nan,8,32,20,204.440763
times,lorenz96,euler,fixed,none,none,nan,8,32,0,204.510880
times,lorenz96,euler,fixed,none,none,nan,8,32,1,204.123917
times,lorenz96,euler,fixed,none,none,nan,8,32,2,203.637787
times,lorenz96,euler,fixed,none,none,nan,8,32,3,203.923456
times,lorenz96,euler,fixed,none,none,nan,8,32,4,204.012874
times,lorenz96,euler,fixed,none,none,nan,8,32,5,203.566946
times,lorenz96,euler,fixed,none,none,nan,8,32,6,203.662315
times,lorenz96,euler,fixed,none,none,nan,8,32,7,204.132240
times,lorenz96,euler,fixed,none,none,nan,8,32,8,204.198000
times,lorenz96,euler,fixed,none,none,nan,8,32,9,203.740635
times,lorenz96,euler,fixed,none,none,nan,8,32,10,204.341025
times,lorenz96,euler,fixed,none,none,nan,8,32,11,203.857735
times,lorenz96,euler,fixed,none,none,nan,8,32,12,203.474305
times,lorenz96,euler,fixed,none,none,nan,8,32,13,204.536639
times,lorenz96,euler,fixed,none,none,nan,8,32,14,203.910397
times,lorenz96,euler,fixed,none,none,nan,8,32,15,204.235050
times,lorenz96,euler,fixed,none,none,nan,8,32,16,203.379769
times,lorenz96,euler,fixed,none,none,nan,8,32,17,204.718266
times,lorenz96,euler,fixed,none,none,nan,8,32,18,205.191050
times,lorenz96,euler,fixed,none,none,nan,8,32,19,199.209118
times,lorenz96,euler,fixed,none,none,nan,8,32,20,199.369229
times,lorenz96,euler,fixed,both,none,nan,32,32,0,198.018678
times,lorenz96,euler,fixed,both,none,nan,32,32,1,198.434216
times,lorenz96,euler,fixed,both,none,nan,32,32,2,199.125910
times,lorenz96,euler,fixed,both,none,nan,32,32,3,198.518957
times,lorenz96,euler,fixed,both,none,nan,32,32,4,198.782443
times,lorenz96,euler,fixed,both,none,nan,32,32,5,198.081994
times,lorenz96,euler,fixed,both,none,nan,32,32,6,197.982556
times,lorenz96,euler,fixed,both,none,nan,32,32,7,199.050523
times,lorenz96,euler,fixed,both,none,nan,32,32,8,198.436863
times,lorenz96,euler,fixed,both,none,nan,32,32,9,198.927920
times,lorenz96,euler,fixed,both,none,nan,32,32,10,198.971644
times,lorenz96,euler,fixed,both,none,nan,32,32,11,198.593850
times,lorenz96,euler,fixed,both,none,nan,32,32,12,198.494893
times,lorenz96,euler,fixed,both,none,nan,32,32,13,198.560910
times,lorenz96,euler,fixed,both,none,nan,32,32,14,197.945594
times,lorenz96,euler,fixed,both,none,nan,32,32,15,198.424857
times,lorenz96,euler,fixed,both,none,nan,32,32,16,198.553940
times,lorenz96,euler,fixed,both,none,nan,32,32,17,198.760300
times,lorenz96,euler,fixed,both,none,nan,32,32,18,199.063311
