analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96,euler,fixed,none,dt,0.00390625,131072,32,0,374.296412
wp,lorenz96,euler,fixed,none,dt,0.00390625,131072,32,1,332.292746
wp,lorenz96,euler,fixed,none,dt,0.00390625,131072,32,2,316.916196
wp,lorenz96,euler,fixed,none,dt,0.00390625,131072,32,3,317.358763
wp,lorenz96,euler,fixed,none,dt,0.00390625,131072,32,4,317.075905
wp,lorenz96,euler,fixed,none,dt,0.00390625,131072,32,5,317.176650
wp,lorenz96,euler,fixed,none,dt,0.001953125,131072,32,0,634.723160
wp,lorenz96,euler,fixed,none,dt,0.001953125,131072,32,1,634.450423
wp,lorenz96,euler,fixed,none,dt,0.001953125,131072,32,2,634.945171
wp,lorenz96,euler,fixed,none,dt,0.001953125,131072,32,3,634.682612
wp,lorenz96,euler,fixed,none,dt,0.001953125,131072,32,4,634.584845
wp,lorenz96,euler,fixed,none,dt,0.001953125,131072,32,5,634.607976
wp,lorenz96,euler,fixed,none,dt,0.0009765625,131072,32,0,1269.398512
wp,lorenz96,euler,fixed,none,dt,0.0009765625,131072,32,1,1269.450732
wp,lorenz96,euler,fixed,none,dt,0.0009765625,131072,32,2,1269.189569
wp,lorenz96,euler,fixed,none,dt,0.0009765625,131072,32,3,1269.659288
wp,lorenz96,euler,fixed,none,dt,0.0009765625,131072,32,4,1269.282868
wp,lorenz96,euler,fixed,none,dt,0.0009765625,131072,32,5,1269.135362
wp,lorenz96,euler,fixed,none,dt,0.00048828125,131072,32,0,2538.306061
wp,lorenz96,euler,fixed,none,dt,0.00048828125,131072,32,1,2539.835346
wp,lorenz96,euler,fixed,none,dt,0.00048828125,131072,32,2,2533.380283
wp,lorenz96,euler,fixed,none,dt,0.00048828125,131072,32,3,2533.352562
wp,lorenz96,euler,fixed,none,dt,0.00048828125,131072,32,4,2532.845031
wp,lorenz96,euler,fixed,none,dt,0.00048828125,131072,32,5,2531.249075
wp,lorenz96,euler,fixed,none,dt,0.000244140625,131072,32,0,5088.841341
wp,lorenz96,euler,fixed,none,dt,0.000244140625,131072,32,1,5068.747862
wp,lorenz96,euler,fixed,none,dt,0.000244140625,131072,32,2,5066.807573
wp,lorenz96,euler,fixed,none,dt,0.000244140625,131072,32,3,5070.808816
wp,lorenz96,euler,fixed,none,dt,0.0001220703125,131072,32,0,10134.894043
wp,lorenz96,euler,fixed,none,dt,0.0001220703125,131072,32,1,10130.790816
wp,lorenz96,euler,fixed,none,dt,0.0001220703125,131072,32,2,10138.336151
wp,lorenz96,euler,fixed,none,dt,0.0001220703125,131072,32,3,10128.972264
wp,lorenz96,euler,fixed,none,dt,6.103515625e-05,131072,32,0,20325.108348
wp,lorenz96,euler,fixed,none,dt,6.103515625e-05,131072,32,1,20255.738046
wp,lorenz96,euler,fixed,none,dt,6.103515625e-05,131072,32,2,20277.210945
wp,lorenz96,euler,fixed,none,dt,6.103515625e-05,131072,32,3,20297.796050
wp,lorenz96,euler,fixed,none,dt,3.051757812e-05,131072,32,0,40561.955236
wp,lorenz96,euler,fixed,none,dt,3.051757812e-05,131072,32,1,40563.000286
wp,lorenz96,euler,fixed,none,dt,3.051757812e-05,131072,32,2,40543.196518
wp,lorenz96,euler,fixed,none,dt,3.051757812e-05,131072,32,3,40579.128425
wp,lorenz96,euler,fixed,none,dt,1.525878906e-05,131072,32,0,81235.105076
wp,lorenz96,euler,fixed,none,dt,1.525878906e-05,131072,32,1,81171.007500
wp,lorenz96,euler,fixed,none,dt,1.525878906e-05,131072,32,2,81195.786945
wp,lorenz96,euler,fixed,none,dt,1.525878906e-05,131072,32,3,81064.475747
wp,lorenz96,euler,fixed,none,dt,7.629394531e-06,131072,32,0,162266.945817
