analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pleiades,euler,fixed,both,none,nan,8,28,0,497.310868
times,pleiades,euler,fixed,both,none,nan,8,28,1,454.799399
times,pleiades,euler,fixed,both,none,nan,8,28,2,453.961295
times,pleiades,euler,fixed,both,none,nan,8,28,3,454.854711
times,pleiades,euler,fixed,both,none,nan,8,28,4,454.824986
times,pleiades,euler,fixed,both,none,nan,8,28,5,455.432212
times,pleiades,euler,fixed,both,none,nan,8,28,6,454.756977
times,pleiades,euler,fixed,both,none,nan,8,28,7,456.857116
times,pleiades,euler,fixed,both,none,nan,8,28,8,456.523914
times,pleiades,euler,fixed,both,none,nan,8,28,9,456.218197
times,pleiades,euler,fixed,both,none,nan,8,28,10,456.620816
times,pleiades,euler,fixed,both,none,nan,8,28,11,454.712710
times,pleiades,euler,fixed,both,none,nan,8,28,12,456.049560
times,pleiades,euler,fixed,both,none,nan,8,28,13,456.531934
times,pleiades,euler,fixed,both,none,nan,8,28,14,463.931928
times,pleiades,euler,fixed,both,none,nan,8,28,15,455.590078
times,pleiades,euler,fixed,both,none,nan,8,28,16,455.265341
times,pleiades,euler,fixed,both,none,nan,8,28,17,456.020733
times,pleiades,euler,fixed,both,none,nan,8,28,18,455.483558
times,pleiades,euler,fixed,both,none,nan,8,28,19,457.196616
times,pleiades,euler,fixed,both,none,nan,8,28,20,455.890357
times,pleiades,euler,fixed,none,none,nan,8,28,0,456.218249
times,pleiades,euler,fixed,none,none,nan,8,28,1,455.978631
times,pleiades,euler,fixed,none,none,nan,8,28,2,457.357690
times,pleiades,euler,fixed,none,none,nan,8,28,3,458.846028
times,pleiades,euler,fixed,none,none,nan,8,28,4,456.731639
times,pleiades,euler,fixed,none,none,nan,8,28,5,458.468930
times,pleiades,euler,fixed,none,none,nan,8,28,6,458.818630
times,pleiades,euler,fixed,none,none,nan,8,28,7,456.306977
times,pleiades,euler,fixed,none,none,nan,8,28,8,456.720823
times,pleiades,euler,fixed,none,none,nan,8,28,9,457.918095
times,pleiades,euler,fixed,none,none,nan,8,28,10,456.046835
times,pleiades,euler,fixed,none,none,nan,8,28,11,457.519766
times,pleiades,euler,fixed,none,none,nan,8,28,12,457.582468
times,pleiades,euler,fixed,none,none,nan,8,28,13,457.094723
times,pleiades,euler,fixed,none,none,nan,8,28,14,479.265678
times,pleiades,euler,fixed,none,none,nan,8,28,15,482.898130
