analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pollu,classical-rk4,fixed,both,none,nan,8,20,0,6709.721259
times,pollu,classical-rk4,fixed,both,none,nan,8,20,1,6712.442718
times,pollu,classical-rk4,fixed,both,none,nan,8,20,2,6697.084383
times,pollu,classical-rk4,fixed,both,none,nan,8,20,3,6620.880752
times,pollu,classical-rk4,fixed,both,none,nan,8,20,4,6630.251022
times,pollu,classical-rk4,fixed,both,none,nan,8,20,5,6627.731623
times,pollu,classical-rk4,fixed,both,none,nan,8,20,6,6687.544441
times,pollu,classical-rk4,fixed,both,none,nan,8,20,7,6692.184156
times,pollu,classical-rk4,fixed,both,none,nan,8,20,8,6688.239395
times,pollu,classical-rk4,fixed,both,none,nan,8,20,9,6608.574421
times,pollu,classical-rk4,fixed,both,none,nan,8,20,10,6540.787634
times,pollu,classical-rk4,fixed,both,none,nan,8,20,11,6525.950464
times,pollu,classical-rk4,fixed,both,none,nan,8,20,12,6575.838590
times,pollu,classical-rk4,fixed,both,none,nan,8,20,13,6686.867999
times,pollu,classical-rk4,fixed,both,none,nan,8,20,14,6683.634572
times,pollu,classical-rk4,fixed,both,none,nan,8,20,15,6676.844014
times,pollu,classical-rk4,fixed,both,none,nan,8,20,16,6584.605992
times,pollu,classical-rk4,fixed,both,none,nan,8,20,17,6514.618387
times,pollu,classical-rk4,fixed,both,none,nan,8,20,18,6525.551544
times,pollu,classical-rk4,fixed,both,none,nan,8,20,19,6547.474952
times,pollu,classical-rk4,fixed,both,none,nan,8,20,20,6536.176171
times,pollu,classical-rk4,fixed,none,none,nan,8,20,0,6532.968338
times,pollu,classical-rk4,fixed,none,none,nan,8,20,1,6528.717859
times,pollu,classical-rk4,fixed,none,none,nan,8,20,2,6530.127098
times,pollu,classical-rk4,fixed,none,none,nan,8,20,3,6537.811569
times,pollu,classical-rk4,fixed,none,none,nan,8,20,4,6556.788575
times,pollu,classical-rk4,fixed,none,none,nan,8,20,5,6525.378325
times,pollu,classical-rk4,fixed,none,none,nan,8,20,6,6536.572864
times,pollu,classical-rk4,fixed,none,none,nan,8,20,7,6555.031427
times,pollu,classical-rk4,fixed,none,none,nan,8,20,8,6529.039353
times,pollu,classical-rk4,fixed,none,none,nan,8,20,9,6692.679433
times,pollu,classical-rk4,fixed,none,none,nan,8,20,10,6689.064221
times,pollu,classical-rk4,fixed,none,none,nan,8,20,11,6693.063575
times,pollu,classical-rk4,fixed,none,none,nan,8,20,12,6705.327126
times,pollu,classical-rk4,fixed,none,none,nan,8,20,13,6700.609726
