analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,0,7972.483797
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,1,7946.978208
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,2,8157.220228
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,3,7980.085702
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,4,7870.934304
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,5,7738.607034
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,6,7757.250323
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,7,7721.086564
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,8,7898.869606
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,9,7957.287162
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,10,8023.198338
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,11,8171.913979
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,12,8154.147579
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,13,8106.034581
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,14,7872.842275
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,15,7731.089100
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,16,7794.989683
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,17,7766.870956
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,18,7816.049325
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,19,7856.438180
times,ring_modulator,classical-rk4,fixed,both,none,nan,8,15,20,7786.739463
times,ring_modulator,classical-rk4,fixed,none,none,nan,8,15,0,7755.620365
times,ring_modulator,classical-rk4,fixed,none,none,nan,8,15,1,7817.781627
times,ring_modulator,classical-rk4,fixed,none,none,nan,8,15,2,7757.195566
times,ring_modulator,classical-rk4,fixed,none,none,nan,8,15,3,7703.533872
times,ring_modulator,classical-rk4,fixed,none,none,nan,8,15,4,7751.476868
times,ring_modulator,classical-rk4,fixed,none,none,nan,8,15,5,7800.509025
times,ring_modulator,classical-rk4,fixed,none,none,nan,8,15,6,7749.060364
times,ring_modulator,classical-rk4,fixed,none,none,nan,8,15,7,7926.811125
