analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz,tsit5,fixed,none,dt,0.0625,131072,3,0,47.589300
wp,lorenz,tsit5,fixed,none,dt,0.0625,131072,3,1,37.882000
wp,lorenz,tsit5,fixed,none,dt,0.0625,131072,3,2,53.736500
wp,lorenz,tsit5,fixed,none,dt,0.0625,131072,3,3,39.177100
wp,lorenz,tsit5,fixed,none,dt,0.0625,131072,3,4,48.736300
wp,lorenz,tsit5,fixed,none,dt,0.0625,131072,3,5,40.560400
wp,lorenz,tsit5,fixed,none,dt,0.03125,131072,3,0,90.936200
wp,lorenz,tsit5,fixed,none,dt,0.03125,131072,3,1,81.751200
wp,lorenz,tsit5,fixed,none,dt,0.03125,131072,3,2,78.208700
wp,lorenz,tsit5,fixed,none,dt,0.03125,131072,3,3,106.415400
wp,lorenz,tsit5,fixed,none,dt,0.03125,131072,3,4,110.214700
wp,lorenz,tsit5,fixed,none,dt,0.03125,131072,3,5,89.206300
wp,lorenz,tsit5,fixed,none,dt,0.015625,131072,3,0,172.948700
wp,lorenz,tsit5,fixed,none,dt,0.015625,131072,3,1,161.068200
wp,lorenz,tsit5,fixed,none,dt,0.015625,131072,3,2,182.365000
wp,lorenz,tsit5,fixed,none,dt,0.015625,131072,3,3,224.526300
wp,lorenz,tsit5,fixed,none,dt,0.015625,131072,3,4,202.564700
wp,lorenz,tsit5,fixed,none,dt,0.015625,131072,3,5,184.026200
wp,lorenz,tsit5,fixed,none,dt,0.0078125,131072,3,0,366.627500
wp,lorenz,tsit5,fixed,none,dt,0.0078125,131072,3,1,353.240000
wp,lorenz,tsit5,fixed,none,dt,0.0078125,131072,3,2,362.452100
wp,lorenz,tsit5,fixed,none,dt,0.0078125,131072,3,3,333.887200
wp,lorenz,tsit5,fixed,none,dt,0.0078125,131072,3,4,343.507000
wp,lorenz,tsit5,fixed,none,dt,0.0078125,131072,3,5,343.196500
wp,lorenz,tsit5,fixed,none,dt,0.00390625,131072,3,0,711.320100
wp,lorenz,tsit5,fixed,none,dt,0.00390625,131072,3,1,673.863100
wp,lorenz,tsit5,fixed,none,dt,0.00390625,131072,3,2,699.480500
wp,lorenz,tsit5,fixed,none,dt,0.00390625,131072,3,3,705.986600
wp,lorenz,tsit5,fixed,none,dt,0.00390625,131072,3,4,778.279300
wp,lorenz,tsit5,fixed,none,dt,0.00390625,131072,3,5,829.043100
wp,lorenz,tsit5,fixed,none,dt,0.001953125,131072,3,0,1459.397700
wp,lorenz,tsit5,fixed,none,dt,0.001953125,131072,3,1,1502.141000
wp,lorenz,tsit5,fixed,none,dt,0.001953125,131072,3,2,1439.187900
wp,lorenz,tsit5,fixed,none,dt,0.001953125,131072,3,3,1414.263900
wp,lorenz,tsit5,fixed,none,dt,0.001953125,131072,3,4,1436.522700
wp,lorenz,tsit5,fixed,none,dt,0.001953125,131072,3,5,1395.764300
wp,lorenz,tsit5,fixed,none,dt,0.0009765625,131072,3,0,3124.391700
wp,lorenz,tsit5,fixed,none,dt,0.0009765625,131072,3,1,3193.604300
wp,lorenz,tsit5,fixed,none,dt,0.0009765625,131072,3,2,2795.062300
wp,lorenz,tsit5,fixed,none,dt,0.0009765625,131072,3,3,2729.507100
wp,lorenz,tsit5,fixed,none,dt,0.0009765625,131072,3,4,2863.266900
wp,lorenz,tsit5,fixed,none,dt,0.0009765625,131072,3,5,3055.248200
wp,lorenz,tsit5,fixed,none,dt,0.00048828125,131072,3,0,6274.183900
wp,lorenz,tsit5,fixed,none,dt,0.00048828125,131072,3,1,5844.051300
wp,lorenz,tsit5,fixed,none,dt,0.00048828125,131072,3,2,5780.029500
wp,lorenz,tsit5,fixed,none,dt,0.00048828125,131072,3,3,5591.731300
wp,lorenz,tsit5,fixed,none,dt,0.00048828125,131072,3,4,5943.931900
wp,lorenz,tsit5,fixed,none,dt,0.00048828125,131072,3,5,5621.863800
wp,lorenz,tsit5,fixed,none,dt,0.000244140625,131072,3,0,11821.167100
wp,lorenz,tsit5,fixed,none,dt,0.000244140625,131072,3,1,11516.887800
wp,lorenz,tsit5,fixed,none,dt,0.000244140625,131072,3,2,11517.482500
wp,lorenz,tsit5,fixed,none,dt,0.000244140625,131072,3,3,11451.770700
wp,lorenz,tsit5,fixed,none,dt,0.0001220703125,131072,3,0,22940.559600
wp,lorenz,tsit5,fixed,none,dt,0.0001220703125,131072,3,1,22997.841900
wp,lorenz,tsit5,fixed,none,dt,0.0001220703125,131072,3,2,23363.011600
wp,lorenz,tsit5,fixed,none,dt,0.0001220703125,131072,3,3,23694.467300
