analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96,tsit5,fixed,both,none,nan,8,32,0,3035.083800
times,lorenz96,tsit5,fixed,both,none,nan,8,32,1,2671.198200
times,lorenz96,tsit5,fixed,both,none,nan,8,32,2,2146.734900
times,lorenz96,tsit5,fixed,both,none,nan,8,32,3,2140.649600
times,lorenz96,tsit5,fixed,both,none,nan,8,32,4,2287.999400
times,lorenz96,tsit5,fixed,both,none,nan,8,32,5,2151.245700
times,lorenz96,tsit5,fixed,both,none,nan,8,32,6,2116.232900
times,lorenz96,tsit5,fixed,both,none,nan,8,32,7,2159.134800
times,lorenz96,tsit5,fixed,both,none,nan,8,32,8,2107.475100
times,lorenz96,tsit5,fixed,both,none,nan,8,32,9,2180.968500
times,lorenz96,tsit5,fixed,both,none,nan,8,32,10,2148.479500
times,lorenz96,tsit5,fixed,none,none,nan,8,32,0,2385.090800
times,lorenz96,tsit5,fixed,none,none,nan,8,32,1,2174.404500
times,lorenz96,tsit5,fixed,none,none,nan,8,32,2,2255.966400
times,lorenz96,tsit5,fixed,none,none,nan,8,32,3,2207.435200
times,lorenz96,tsit5,fixed,none,none,nan,8,32,4,2144.604200
times,lorenz96,tsit5,fixed,none,none,nan,8,32,5,2166.582600
times,lorenz96,tsit5,fixed,none,none,nan,8,32,6,2138.754900
times,lorenz96,tsit5,fixed,none,none,nan,8,32,7,2150.850800
times,lorenz96,tsit5,fixed,none,none,nan,8,32,8,2121.731000
times,lorenz96,tsit5,fixed,none,none,nan,8,32,9,2249.408300
times,lorenz96,tsit5,fixed,none,none,nan,8,32,10,2214.541800
times,lorenz96,tsit5,fixed,both,none,nan,32,32,0,2166.273700
times,lorenz96,tsit5,fixed,both,none,nan,32,32,1,2124.991500
times,lorenz96,tsit5,fixed,both,none,nan,32,32,2,2150.666300
times,lorenz96,tsit5,fixed,both,none,nan,32,32,3,2149.652200
times,lorenz96,tsit5,fixed,both,none,nan,32,32,4,2090.673100
times,lorenz96,tsit5,fixed,both,none,nan,32,32,5,2099.856400
times,lorenz96,tsit5,fixed,both,none,nan,32,32,6,2151.336900
times,lorenz96,tsit5,fixed,both,none,nan,32,32,7,2160.262600
times,lorenz96,tsit5,fixed,both,none,nan,32,32,8,2143.907800
times,lorenz96,tsit5,fixed,both,none,nan,32,32,9,2123.567600
times,lorenz96,tsit5,fixed,both,none,nan,32,32,10,2337.359700
times,lorenz96,tsit5,fixed,none,none,nan,32,32,0,2191.332400
times,lorenz96,tsit5,fixed,none,none,nan,32,32,1,2151.302600
times,lorenz96,tsit5,fixed,none,none,nan,32,32,2,2110.935800
times,lorenz96,tsit5,fixed,none,none,nan,32,32,3,2164.470100
times,lorenz96,tsit5,fixed,none,none,nan,32,32,4,2137.378600
times,lorenz96,tsit5,fixed,none,none,nan,32,32,5,2206.810000
times,lorenz96,tsit5,fixed,none,none,nan,32,32,6,2401.445800
times,lorenz96,tsit5,fixed,none,none,nan,32,32,7,2221.851000
times,lorenz96,tsit5,fixed,none,none,nan,32,32,8,2200.206800
times,lorenz96,tsit5,fixed,none,none,nan,32,32,9,2192.024700
times,lorenz96,tsit5,fixed,none,none,nan,32,32,10,2316.352200
times,lorenz96,tsit5,fixed,both,none,nan,128,32,0,2131.512600
times,lorenz96,tsit5,fixed,both,none,nan,128,32,1,2160.042300
