analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pleiades,tsit5,fixed,both,none,nan,8,28,0,4512.524300
times,pleiades,tsit5,fixed,both,none,nan,8,28,1,4013.250400
times,pleiades,tsit5,fixed,both,none,nan,8,28,2,4133.405800
times,pleiades,tsit5,fixed,both,none,nan,8,28,3,4519.817500
times,pleiades,tsit5,fixed,both,none,nan,8,28,4,4291.936100
times,pleiades,tsit5,fixed,both,none,nan,8,28,5,4217.886200
times,pleiades,tsit5,fixed,both,none,nan,8,28,6,4136.486200
times,pleiades,tsit5,fixed,both,none,nan,8,28,7,4130.990300
times,pleiades,tsit5,fixed,both,none,nan,8,28,8,4390.471600
times,pleiades,tsit5,fixed,both,none,nan,8,28,9,4340.443000
times,pleiades,tsit5,fixed,both,none,nan,8,28,10,4654.657700
times,pleiades,tsit5,fixed,none,none,nan,8,28,0,4638.683600
times,pleiades,tsit5,fixed,none,none,nan,8,28,1,4306.771000
times,pleiades,tsit5,fixed,none,none,nan,8,28,2,4067.801200
times,pleiades,tsit5,fixed,none,none,nan,8,28,3,4341.659100
times,pleiades,tsit5,fixed,none,none,nan,8,28,4,4098.889000
times,pleiades,tsit5,fixed,none,none,nan,8,28,5,4081.541600
times,pleiades,tsit5,fixed,both,none,nan,32,28,0,4312.059500
times,pleiades,tsit5,fixed,both,none,nan,32,28,1,4285.215200
times,pleiades,tsit5,fixed,both,none,nan,32,28,2,4296.055500
times,pleiades,tsit5,fixed,both,none,nan,32,28,3,4448.148100
times,pleiades,tsit5,fixed,both,none,nan,32,28,4,4385.466400
times,pleiades,tsit5,fixed,both,none,nan,32,28,5,4315.725300
times,pleiades,tsit5,fixed,none,none,nan,32,28,0,4142.605300
times,pleiades,tsit5,fixed,none,none,nan,32,28,1,4233.445000
times,pleiades,tsit5,fixed,none,none,nan,32,28,2,4125.521800
times,pleiades,tsit5,fixed,none,none,nan,32,28,3,4269.521200
times,pleiades,tsit5,fixed,none,none,nan,32,28,4,4151.332500
times,pleiades,tsit5,fixed,none,none,nan,32,28,5,4256.671000
times,pleiades,tsit5,fixed,none,none,nan,32,28,6,4098.915600
times,pleiades,tsit5,fixed,none,none,nan,32,28,7,4170.080800
times,pleiades,tsit5,fixed,both,none,nan,128,28,0,4395.138100
times,pleiades,tsit5,fixed,both,none,nan,128,28,1,4191.122400
times,pleiades,tsit5,fixed,both,none,nan,128,28,2,4362.434900
times,pleiades,tsit5,fixed,both,none,nan,128,28,3,4175.580800
times,pleiades,tsit5,fixed,both,none,nan,128,28,4,4261.341000
times,pleiades,tsit5,fixed,both,none,nan,128,28,5,4298.868500
times,pleiades,tsit5,fixed,both,none,nan,128,28,6,4230.838600
times,pleiades,tsit5,fixed,none,none,nan,128,28,0,4292.425200
times,pleiades,tsit5,fixed,none,none,nan,128,28,1,4060.657700
times,pleiades,tsit5,fixed,none,none,nan,128,28,2,4188.435200
times,pleiades,tsit5,fixed,none,none,nan,128,28,3,4508.756800
times,pleiades,tsit5,fixed,none,none,nan,128,28,4,4199.338500
times,pleiades,tsit5,fixed,none,none,nan,128,28,5,4456.686600
times,pleiades,tsit5,fixed,none,none,nan,128,28,6,4195.804100
times,pleiades,tsit5,fixed,none,none,nan,128,28,7,4366.949900
times,pleiades,tsit5,fixed,none,none,nan,128,28,8,4114.937300
times,pleiades,tsit5,fixed,none,none,nan,128,28,9,4343.882800
times,pleiades,tsit5,fixed,none,none,nan,128,28,10,4228.245700
times,pleiades,tsit5,fixed,both,none,nan,512,28,0,4255.884800
times,pleiades,tsit5,fixed,both,none,nan,512,28,1,4267.756200
times,pleiades,tsit5,fixed,both,none,nan,512,28,2,4166.160600
times,pleiades,tsit5,fixed,both,none,nan,512,28,3,4143.737200
times,pleiades,tsit5,fixed,both,none,nan,512,28,4,4367.317000
times,pleiades,tsit5,fixed,both,none,nan,512,28,5,4216.407600
times,pleiades,tsit5,fixed,none,none,nan,512,28,0,4207.960800
times,pleiades,tsit5,fixed,none,none,nan,512,28,1,4300.282800
times,pleiades,tsit5,fixed,none,none,nan,512,28,2,4039.983900
times,pleiades,tsit5,fixed,none,none,nan,512,28,3,4092.292800
times,pleiades,tsit5,fixed,none,none,nan,512,28,4,4155.082400
times,pleiades,tsit5,fixed,none,none,nan,512,28,5,4294.631600
times,pleiades,tsit5,fixed,none,none,nan,512,28,6,4366.322600
times,pleiades,tsit5,fixed,none,none,nan,512,28,7,4144.764100
times,pleiades,tsit5,fixed,none,none,nan,512,28,8,4097.894100
times,pleiades,tsit5,fixed,none,none,nan,512,28,9,4647.671800
times,pleiades,tsit5,fixed,none,none,nan,512,28,10,4182.881100
times,pleiades,tsit5,fixed,both,none,nan,2048,28,0,4139.542400
times,pleiades,tsit5,fixed,both,none,nan,2048,28,1,4196.037600
times,pleiades,tsit5,fixed,both,none,nan,2048,28,2,4157.475400
times,pleiades,tsit5,fixed,both,none,nan,2048,28,3,4141.974300
times,pleiades,tsit5,fixed,both,none,nan,2048,28,4,4218.125400
times,pleiades,tsit5,fixed,both,none,nan,2048,28,5,4185.158100
times,pleiades,tsit5,fixed,none,none,nan,2048,28,0,4255.302200
times,pleiades,tsit5,fixed,none,none,nan,2048,28,1,4203.133200
times,pleiades,tsit5,fixed,none,none,nan,2048,28,2,4352.446400
times,pleiades,tsit5,fixed,none,none,nan,2048,28,3,4388.335300
times,pleiades,tsit5,fixed,none,none,nan,2048,28,4,4271.913100
times,pleiades,tsit5,fixed,none,none,nan,2048,28,5,4195.275700
times,pleiades,tsit5,fixed,both,none,nan,8192,28,0,4283.298700
times,pleiades,tsit5,fixed,both,none,nan,8192,28,1,4182.568600
times,pleiades,tsit5,fixed,both,none,nan,8192,28,2,4079.126500
times,pleiades,tsit5,fixed,both,none,nan,8192,28,3,4243.609300
times,pleiades,tsit5,fixed,both,none,nan,8192,28,4,4115.680700
times,pleiades,tsit5,fixed,both,none,nan,8192,28,5,4142.731000
times,pleiades,tsit5,fixed,none,none,nan,8192,28,0,4259.626600
times,pleiades,tsit5,fixed,none,none,nan,8192,28,1,4167.775700
times,pleiades,tsit5,fixed,none,none,nan,8192,28,2,4110.705800
times,pleiades,tsit5,fixed,none,none,nan,8192,28,3,4090.501200
times,pleiades,tsit5,fixed,none,none,nan,8192,28,4,4396.207100
times,pleiades,tsit5,fixed,none,none,nan,8192,28,5,4432.329600
times,pleiades,tsit5,fixed,both,none,nan,32768,28,0,4742.709700
times,pleiades,tsit5,fixed,both,none,nan,32768,28,1,4549.091900
times,pleiades,tsit5,fixed,both,none,nan,32768,28,2,4410.976100
times,pleiades,tsit5,fixed,both,none,nan,32768,28,3,4430.821300
times,pleiades,tsit5,fixed,both,none,nan,32768,28,4,4204.359600
times,pleiades,tsit5,fixed,both,none,nan,32768,28,5,4291.854100
times,pleiades,tsit5,fixed,both,none,nan,32768,28,6,4258.002700
times,pleiades,tsit5,fixed,both,none,nan,32768,28,7,4351.712100
times,pleiades,tsit5,fixed,both,none,nan,32768,28,8,4390.668300
times,pleiades,tsit5,fixed,both,none,nan,32768,28,9,4280.257500
times,pleiades,tsit5,fixed,both,none,nan,32768,28,10,4306.970800
times,pleiades,tsit5,fixed,none,none,nan,32768,28,0,4278.525800
times,pleiades,tsit5,fixed,none,none,nan,32768,28,1,4515.767700
times,pleiades,tsit5,fixed,none,none,nan,32768,28,2,4616.797300
times,pleiades,tsit5,fixed,none,none,nan,32768,28,3,4341.654500
times,pleiades,tsit5,fixed,none,none,nan,32768,28,4,4304.455600
times,pleiades,tsit5,fixed,none,none,nan,32768,28,5,4436.204000
times,pleiades,tsit5,fixed,none,none,nan,32768,28,6,4275.985800
times,pleiades,tsit5,fixed,none,none,nan,32768,28,7,4277.785000
times,pleiades,tsit5,fixed,both,none,nan,131072,28,0,13846.178400
times,pleiades,tsit5,fixed,both,none,nan,131072,28,1,13845.135000
times,pleiades,tsit5,fixed,both,none,nan,131072,28,2,13941.995100
times,pleiades,tsit5,fixed,both,none,nan,131072,28,3,13848.030100
times,pleiades,tsit5,fixed,none,none,nan,131072,28,0,13842.052800
times,pleiades,tsit5,fixed,none,none,nan,131072,28,1,13835.851900
times,pleiades,tsit5,fixed,none,none,nan,131072,28,2,13893.465100
times,pleiades,tsit5,fixed,none,none,nan,131072,28,3,13908.800200
times,pleiades,tsit5,fixed,both,none,nan,524288,28,0,77103.047100
times,pleiades,tsit5,fixed,both,none,nan,524288,28,1,77152.798200
times,pleiades,tsit5,fixed,both,none,nan,524288,28,2,77178.282600
times,pleiades,tsit5,fixed,both,none,nan,524288,28,3,77120.722800
times,pleiades,tsit5,fixed,none,none,nan,524288,28,0,77101.502000
times,pleiades,tsit5,fixed,none,none,nan,524288,28,1,77058.249300
times,pleiades,tsit5,fixed,none,none,nan,524288,28,2,77121.773200
times,pleiades,tsit5,fixed,none,none,nan,524288,28,3,77068.533600
times,pleiades,tsit5,fixed,both,none,nan,2097152,28,0,311233.586200
