analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,pleiades,classical-rk4,fixed,none,dt,0.1875,131072,28,0,112.593300
wp,pleiades,classical-rk4,fixed,none,dt,0.1875,131072,28,1,114.086000
wp,pleiades,classical-rk4,fixed,none,dt,0.1875,131072,28,2,111.160900
wp,pleiades,classical-rk4,fixed,none,dt,0.1875,131072,28,3,111.712800
wp,pleiades,classical-rk4,fixed,none,dt,0.1875,131072,28,4,113.890900
wp,pleiades,classical-rk4,fixed,none,dt,0.1875,131072,28,5,110.891800
wp,pleiades,classical-rk4,fixed,none,dt,0.09375,131072,28,0,219.382800
wp,pleiades,classical-rk4,fixed,none,dt,0.09375,131072,28,1,220.811900
wp,pleiades,classical-rk4,fixed,none,dt,0.09375,131072,28,2,222.334500
wp,pleiades,classical-rk4,fixed,none,dt,0.09375,131072,28,3,224.428300
wp,pleiades,classical-rk4,fixed,none,dt,0.09375,131072,28,4,221.916600
wp,pleiades,classical-rk4,fixed,none,dt,0.09375,131072,28,5,224.600100
wp,pleiades,classical-rk4,fixed,none,dt,0.046875,131072,28,0,448.005100
wp,pleiades,classical-rk4,fixed,none,dt,0.046875,131072,28,1,449.579400
wp,pleiades,classical-rk4,fixed,none,dt,0.046875,131072,28,2,440.065900
wp,pleiades,classical-rk4,fixed,none,dt,0.046875,131072,28,3,461.149500
wp,pleiades,classical-rk4,fixed,none,dt,0.046875,131072,28,4,438.391800
wp,pleiades,classical-rk4,fixed,none,dt,0.046875,131072,28,5,445.622000
wp,pleiades,classical-rk4,fixed,none,dt,0.0234375,131072,28,0,890.078700
wp,pleiades,classical-rk4,fixed,none,dt,0.0234375,131072,28,1,889.197000
wp,pleiades,classical-rk4,fixed,none,dt,0.0234375,131072,28,2,886.864200
wp,pleiades,classical-rk4,fixed,none,dt,0.0234375,131072,28,3,891.143100
wp,pleiades,classical-rk4,fixed,none,dt,0.0234375,131072,28,4,888.061400
wp,pleiades,classical-rk4,fixed,none,dt,0.0234375,131072,28,5,887.176100
wp,pleiades,classical-rk4,fixed,none,dt,0.01171875,131072,28,0,1780.945700
wp,pleiades,classical-rk4,fixed,none,dt,0.01171875,131072,28,1,1786.666700
wp,pleiades,classical-rk4,fixed,none,dt,0.01171875,131072,28,2,1773.887900
wp,pleiades,classical-rk4,fixed,none,dt,0.01171875,131072,28,3,1792.023300
wp,pleiades,classical-rk4,fixed,none,dt,0.01171875,131072,28,4,1800.779200
wp,pleiades,classical-rk4,fixed,none,dt,0.01171875,131072,28,5,1804.485400
wp,pleiades,classical-rk4,fixed,none,dt,0.005859375,131072,28,0,3524.842400
wp,pleiades,classical-rk4,fixed,none,dt,0.005859375,131072,28,1,3554.399200
wp,pleiades,classical-rk4,fixed,none,dt,0.005859375,131072,28,2,3555.346700
wp,pleiades,classical-rk4,fixed,none,dt,0.005859375,131072,28,3,3587.455900
wp,pleiades,classical-rk4,fixed,none,dt,0.005859375,131072,28,4,3551.508400
wp,pleiades,classical-rk4,fixed,none,dt,0.005859375,131072,28,5,3570.223700
wp,pleiades,classical-rk4,fixed,none,dt,0.0029296875,131072,28,0,7074.368700
wp,pleiades,classical-rk4,fixed,none,dt,0.0029296875,131072,28,1,7171.104000
wp,pleiades,classical-rk4,fixed,none,dt,0.0029296875,131072,28,2,7097.860400
wp,pleiades,classical-rk4,fixed,none,dt,0.0029296875,131072,28,3,7167.256700
wp,pleiades,classical-rk4,fixed,none,dt,0.00146484375,131072,28,0,14149.710000
wp,pleiades,classical-rk4,fixed,none,dt,0.00146484375,131072,28,1,14287.189600
wp,pleiades,classical-rk4,fixed,none,dt,0.00146484375,131072,28,2,14168.278900
wp,pleiades,classical-rk4,fixed,none,dt,0.00146484375,131072,28,3,14276.298700
wp,pleiades,classical-rk4,fixed,none,dt,0.000732421875,131072,28,0,28474.691500
wp,pleiades,classical-rk4,fixed,none,dt,0.000732421875,131072,28,1,28781.968600
wp,pleiades,classical-rk4,fixed,none,dt,0.000732421875,131072,28,2,28412.475100
wp,pleiades,classical-rk4,fixed,none,dt,0.000732421875,131072,28,3,28756.117500
wp,pleiades,classical-rk4,fixed,none,dt,0.0003662109375,131072,28,0,56565.848100
wp,pleiades,classical-rk4,fixed,none,dt,0.0003662109375,131072,28,1,57049.728300
wp,pleiades,classical-rk4,fixed,none,dt,0.0003662109375,131072,28,2,56828.527000
wp,pleiades,classical-rk4,fixed,none,dt,0.0003662109375,131072,28,3,56989.472600
