analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pollu,classical-rk4,fixed,both,none,nan,8,20,0,7362.947000
times,pollu,classical-rk4,fixed,both,none,nan,8,20,1,7190.398800
times,pollu,classical-rk4,fixed,both,none,nan,8,20,2,7172.414200
times,pollu,classical-rk4,fixed,both,none,nan,8,20,3,7347.682900
times,pollu,classical-rk4,fixed,none,none,nan,8,20,0,7189.779800
times,pollu,classical-rk4,fixed,none,none,nan,8,20,1,7112.791600
times,pollu,classical-rk4,fixed,none,none,nan,8,20,2,7089.397500
times,pollu,classical-rk4,fixed,none,none,nan,8,20,3,7253.522100
times,pollu,classical-rk4,fixed,both,none,nan,32,20,0,7117.100200
times,pollu,classical-rk4,fixed,both,none,nan,32,20,1,7372.612200
times,pollu,classical-rk4,fixed,both,none,nan,32,20,2,7672.040200
times,pollu,classical-rk4,fixed,both,none,nan,32,20,3,7572.768100
times,pollu,classical-rk4,fixed,both,none,nan,32,20,4,7072.614800
times,pollu,classical-rk4,fixed,both,none,nan,32,20,5,7020.840000
times,pollu,classical-rk4,fixed,both,none,nan,32,20,6,7180.628400
times,pollu,classical-rk4,fixed,both,none,nan,32,20,7,7214.707000
times,pollu,classical-rk4,fixed,both,none,nan,32,20,8,7046.952300
times,pollu,classical-rk4,fixed,both,none,nan,32,20,9,7272.482200
times,pollu,classical-rk4,fixed,both,none,nan,32,20,10,7339.259400
times,pollu,classical-rk4,fixed,none,none,nan,32,20,0,7059.422500
times,pollu,classical-rk4,fixed,none,none,nan,32,20,1,7173.601500
times,pollu,classical-rk4,fixed,none,none,nan,32,20,2,7211.177100
times,pollu,classical-rk4,fixed,none,none,nan,32,20,3,7039.485100
times,pollu,classical-rk4,fixed,both,none,nan,128,20,0,7383.315700
times,pollu,classical-rk4,fixed,both,none,nan,128,20,1,7131.260500
times,pollu,classical-rk4,fixed,both,none,nan,128,20,2,7412.154200
times,pollu,classical-rk4,fixed,both,none,nan,128,20,3,7240.090200
times,pollu,classical-rk4,fixed,none,none,nan,128,20,0,7151.097500
times,pollu,classical-rk4,fixed,none,none,nan,128,20,1,7100.763400
times,pollu,classical-rk4,fixed,none,none,nan,128,20,2,7031.924300
times,pollu,classical-rk4,fixed,none,none,nan,128,20,3,7063.357300
times,pollu,classical-rk4,fixed,both,none,nan,512,20,0,7069.614200
times,pollu,classical-rk4,fixed,both,none,nan,512,20,1,7373.257100
times,pollu,classical-rk4,fixed,both,none,nan,512,20,2,7129.557900
times,pollu,classical-rk4,fixed,both,none,nan,512,20,3,7416.967900
times,pollu,classical-rk4,fixed,both,none,nan,512,20,4,7283.191100
times,pollu,classical-rk4,fixed,both,none,nan,512,20,5,7694.851200
times,pollu,classical-rk4,fixed,both,none,nan,512,20,6,7105.694500
times,pollu,classical-rk4,fixed,both,none,nan,512,20,7,7052.474400
times,pollu,classical-rk4,fixed,both,none,nan,512,20,8,7183.040100
times,pollu,classical-rk4,fixed,both,none,nan,512,20,9,7269.374400
times,pollu,classical-rk4,fixed,both,none,nan,512,20,10,7202.036800
