analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,0,112.713400
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,1,151.279700
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,2,108.378300
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,3,125.767900
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,4,136.822300
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,5,135.458000
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,0,259.463200
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,1,284.045100
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,2,253.234100
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,3,281.811100
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,4,234.293300
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,5,241.248700
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,0,515.464200
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,1,508.007200
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,2,476.229400
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,3,505.458300
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,4,527.559500
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,5,481.428200
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,0,1193.836700
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,1,1028.182300
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,2,1139.539700
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,3,1129.247200
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,4,1415.764100
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,5,1048.025100
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,0,2150.905800
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,1,2003.948700
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,2,1984.417300
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,3,2028.876800
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,4,2034.918300
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,5,2013.653800
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,0,3988.872300
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,1,3840.686100
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,2,4120.613100
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,3,4057.721800
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,4,3909.195300
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,5,4161.756200
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,0,8539.344300
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,1,8161.747800
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,2,9036.482700
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,3,8230.180200
wp,pollu,classical-rk4,fixed,none,dt,0.029296875,131072,20,0,17096.450200
wp,pollu,classical-rk4,fixed,none,dt,0.029296875,131072,20,1,15767.686500
wp,pollu,classical-rk4,fixed,none,dt,0.029296875,131072,20,2,16832.898500
wp,pollu,classical-rk4,fixed,none,dt,0.029296875,131072,20,3,15801.059400
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,0,32633.978100
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,1,33690.743100
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,2,34610.083500
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,3,32866.682900
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,4,33508.925600
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,5,32401.687600
wp,pollu,classical-rk4,fixed,none,dt,0.00732421875,131072,20,0,65807.505000
wp,pollu,classical-rk4,fixed,none,dt,0.00732421875,131072,20,1,65700.529300
wp,pollu,classical-rk4,fixed,none,dt,0.00732421875,131072,20,2,66692.147000
wp,pollu,classical-rk4,fixed,none,dt,0.00732421875,131072,20,3,67246.960100
