analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,ring_modulator,classical-rk4,fixed,none,dt,6.25e-05,131072,15,0,149.142600
wp,ring_modulator,classical-rk4,fixed,none,dt,6.25e-05,131072,15,1,136.003500
wp,ring_modulator,classical-rk4,fixed,none,dt,6.25e-05,131072,15,2,141.206400
wp,ring_modulator,classical-rk4,fixed,none,dt,6.25e-05,131072,15,3,139.937000
wp,ring_modulator,classical-rk4,fixed,none,dt,6.25e-05,131072,15,4,147.021800
wp,ring_modulator,classical-rk4,fixed,none,dt,6.25e-05,131072,15,5,161.794200
wp,ring_modulator,classical-rk4,fixed,none,dt,3.125e-05,131072,15,0,362.638300
wp,ring_modulator,classical-rk4,fixed,none,dt,3.125e-05,131072,15,1,417.422600
wp,ring_modulator,classical-rk4,fixed,none,dt,3.125e-05,131072,15,2,284.795400
wp,ring_modulator,classical-rk4,fixed,none,dt,3.125e-05,131072,15,3,304.802300
wp,ring_modulator,classical-rk4,fixed,none,dt,3.125e-05,131072,15,4,307.183500
wp,ring_modulator,classical-rk4,fixed,none,dt,3.125e-05,131072,15,5,301.339900
wp,ring_modulator,classical-rk4,fixed,none,dt,1.5625e-05,131072,15,0,861.156400
wp,ring_modulator,classical-rk4,fixed,none,dt,1.5625e-05,131072,15,1,608.573300
wp,ring_modulator,classical-rk4,fixed,none,dt,1.5625e-05,131072,15,2,568.643900
wp,ring_modulator,classical-rk4,fixed,none,dt,1.5625e-05,131072,15,3,563.935000
wp,ring_modulator,classical-rk4,fixed,none,dt,1.5625e-05,131072,15,4,590.998200
wp,ring_modulator,classical-rk4,fixed,none,dt,1.5625e-05,131072,15,5,573.356800
wp,ring_modulator,classical-rk4,fixed,none,dt,7.8125e-06,131072,15,0,1225.782500
wp,ring_modulator,classical-rk4,fixed,none,dt,7.8125e-06,131072,15,1,1147.624400
wp,ring_modulator,classical-rk4,fixed,none,dt,7.8125e-06,131072,15,2,1115.545400
wp,ring_modulator,classical-rk4,fixed,none,dt,7.8125e-06,131072,15,3,1213.638300
wp,ring_modulator,classical-rk4,fixed,none,dt,7.8125e-06,131072,15,4,1176.618500
wp,ring_modulator,classical-rk4,fixed,none,dt,7.8125e-06,131072,15,5,1375.693300
wp,ring_modulator,classical-rk4,fixed,none,dt,3.90625e-06,131072,15,0,2863.652500
wp,ring_modulator,classical-rk4,fixed,none,dt,3.90625e-06,131072,15,1,2611.359600
wp,ring_modulator,classical-rk4,fixed,none,dt,3.90625e-06,131072,15,2,2345.405800
wp,ring_modulator,classical-rk4,fixed,none,dt,3.90625e-06,131072,15,3,2392.162200
wp,ring_modulator,classical-rk4,fixed,none,dt,3.90625e-06,131072,15,4,2374.406500
wp,ring_modulator,classical-rk4,fixed,none,dt,3.90625e-06,131072,15,5,2306.177400
wp,ring_modulator,classical-rk4,fixed,none,dt,1.953125e-06,131072,15,0,4757.823800
wp,ring_modulator,classical-rk4,fixed,none,dt,1.953125e-06,131072,15,1,4671.132100
wp,ring_modulator,classical-rk4,fixed,none,dt,1.953125e-06,131072,15,2,5034.848500
wp,ring_modulator,classical-rk4,fixed,none,dt,1.953125e-06,131072,15,3,4852.001900
wp,ring_modulator,classical-rk4,fixed,none,dt,1.953125e-06,131072,15,4,4981.403300
wp,ring_modulator,classical-rk4,fixed,none,dt,1.953125e-06,131072,15,5,4737.717900
wp,ring_modulator,classical-rk4,fixed,none,dt,9.765625e-07,131072,15,0,9741.887600
wp,ring_modulator,classical-rk4,fixed,none,dt,9.765625e-07,131072,15,1,10439.148600
wp,ring_modulator,classical-rk4,fixed,none,dt,9.765625e-07,131072,15,2,9875.267100
wp,ring_modulator,classical-rk4,fixed,none,dt,9.765625e-07,131072,15,3,9418.035600
wp,ring_modulator,classical-rk4,fixed,none,dt,9.765625e-07,131072,15,4,10074.485700
wp,ring_modulator,classical-rk4,fixed,none,dt,9.765625e-07,131072,15,5,9289.252500
wp,ring_modulator,classical-rk4,fixed,none,dt,4.8828125e-07,131072,15,0,19749.544400
wp,ring_modulator,classical-rk4,fixed,none,dt,4.8828125e-07,131072,15,1,19317.147300
wp,ring_modulator,classical-rk4,fixed,none,dt,4.8828125e-07,131072,15,2,18578.280600
wp,ring_modulator,classical-rk4,fixed,none,dt,4.8828125e-07,131072,15,3,19004.784100
wp,ring_modulator,classical-rk4,fixed,none,dt,4.8828125e-07,131072,15,4,20213.056100
wp,ring_modulator,classical-rk4,fixed,none,dt,4.8828125e-07,131072,15,5,19036.989800
wp,ring_modulator,classical-rk4,fixed,none,dt,2.44140625e-07,131072,15,0,39896.873400
wp,ring_modulator,classical-rk4,fixed,none,dt,2.44140625e-07,131072,15,1,38636.639500
wp,ring_modulator,classical-rk4,fixed,none,dt,2.44140625e-07,131072,15,2,39195.595500
wp,ring_modulator,classical-rk4,fixed,none,dt,2.44140625e-07,131072,15,3,38257.709200
wp,ring_modulator,classical-rk4,fixed,none,dt,1.220703125e-07,131072,15,0,78051.056000
wp,ring_modulator,classical-rk4,fixed,none,dt,1.220703125e-07,131072,15,1,77371.412000
wp,ring_modulator,classical-rk4,fixed,none,dt,1.220703125e-07,131072,15,2,77630.598100
wp,ring_modulator,classical-rk4,fixed,none,dt,1.220703125e-07,131072,15,3,78923.868300
