timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, power.draw [W], utilization.gpu [%], clocks_event_reasons.active
2026/07/30 22:37:57.147, 210, 405, 29, 5.10, 3, 0x0000000000000001
2026/07/30 22:37:58.164, 210, 405, 29, 5.05, 2, 0x0000000000000001
2026/07/30 22:37:59.176, 210, 405, 29, 5.09, 6, 0x0000000000000001
2026/07/30 22:38:00.187, 210, 405, 29, 5.45, 7, 0x0000000000000001
2026/07/30 22:38:01.194, 2475, 10251, 43, 126.25, 100, 0x0000000000000004
2026/07/30 22:38:02.207, 2475, 10251, 44, 168.90, 100, 0x0000000000000004
2026/07/30 22:38:03.208, 2475, 10251, 44, 168.80, 100, 0x0000000000000004
2026/07/30 22:38:04.210, 2475, 10251, 45, 169.01, 100, 0x0000000000000004
2026/07/30 22:38:05.225, 2475, 10251, 45, 169.25, 100, 0x0000000000000004
2026/07/30 22:38:06.228, 2475, 10251, 46, 169.55, 100, 0x0000000000000004
2026/07/30 22:38:07.231, 2475, 10251, 46, 169.69, 100, 0x0000000000000004
2026/07/30 22:38:08.245, 2475, 10251, 47, 169.59, 100, 0x0000000000000004
2026/07/30 22:38:09.246, 2490, 10251, 47, 169.45, 100, 0x0000000000000004
2026/07/30 22:38:10.260, 2475, 10251, 47, 170.32, 100, 0x0000000000000004
2026/07/30 22:38:11.266, 2475, 10251, 47, 170.09, 100, 0x0000000000000004
2026/07/30 22:38:12.281, 2460, 10251, 48, 170.29, 100, 0x0000000000000004
2026/07/30 22:38:13.296, 2475, 10251, 48, 171.54, 100, 0x0000000000000004
2026/07/30 22:38:14.308, 2475, 10251, 48, 169.74, 100, 0x0000000000000004
2026/07/30 22:38:15.312, 2460, 10251, 49, 170.38, 100, 0x0000000000000004
2026/07/30 22:38:16.315, 2460, 10251, 49, 170.37, 100, 0x0000000000000004
2026/07/30 22:38:17.315, 2460, 10251, 49, 170.65, 100, 0x0000000000000004
2026/07/30 22:38:18.318, 2460, 10251, 49, 170.67, 99, 0x0000000000000004
2026/07/30 22:38:19.324, 2460, 10251, 49, 170.68, 100, 0x0000000000000004
2026/07/30 22:38:20.326, 2460, 10251, 50, 170.69, 100, 0x0000000000000004
2026/07/30 22:38:21.337, 2460, 10251, 50, 170.55, 100, 0x0000000000000004
2026/07/30 22:38:22.340, 2460, 10251, 50, 170.89, 100, 0x0000000000000004
2026/07/30 22:38:23.355, 2460, 10251, 50, 170.84, 100, 0x0000000000000004
2026/07/30 22:38:24.361, 2460, 10251, 50, 170.89, 100, 0x0000000000000004
2026/07/30 22:38:25.367, 2460, 10251, 50, 170.82, 100, 0x0000000000000004
2026/07/30 22:38:26.368, 2460, 10251, 51, 170.56, 100, 0x0000000000000004
2026/07/30 22:38:27.371, 2460, 10251, 51, 171.16, 100, 0x0000000000000004
2026/07/30 22:38:28.373, 2460, 10251, 51, 171.05, 100, 0x0000000000000004
2026/07/30 22:38:29.383, 2460, 10251, 51, 170.84, 100, 0x0000000000000004
2026/07/30 22:38:30.384, 2460, 10251, 51, 170.52, 100, 0x0000000000000004
2026/07/30 22:38:31.385, 2475, 10251, 51, 171.09, 100, 0x0000000000000004
2026/07/30 22:38:32.399, 2460, 10251, 51, 170.88, 100, 0x0000000000000004
2026/07/30 22:38:33.410, 2460, 10251, 52, 171.10, 100, 0x0000000000000004
2026/07/30 22:38:34.424, 2460, 10251, 52, 171.06, 100, 0x0000000000000004
2026/07/30 22:38:35.438, 2475, 10251, 52, 171.43, 100, 0x0000000000000004
2026/07/30 22:38:36.450, 2460, 10251, 52, 171.33, 99, 0x0000000000000004
2026/07/30 22:38:37.465, 2460, 10251, 52, 171.14, 100, 0x0000000000000004
2026/07/30 22:38:38.466, 2460, 10251, 52, 171.16, 100, 0x0000000000000004
2026/07/30 22:38:39.480, 2460, 10251, 52, 170.99, 100, 0x0000000000000004
2026/07/30 22:38:40.492, 2460, 10251, 53, 170.73, 100, 0x0000000000000004
2026/07/30 22:38:41.503, 2460, 10251, 53, 171.24, 100, 0x0000000000000004
2026/07/30 22:38:42.504, 2460, 10251, 53, 170.94, 100, 0x0000000000000004
2026/07/30 22:38:43.518, 2460, 10251, 53, 171.28, 100, 0x0000000000000004
2026/07/30 22:38:44.534, 2475, 10251, 53, 171.01, 100, 0x0000000000000004
2026/07/30 22:38:45.544, 2460, 10251, 53, 171.31, 100, 0x0000000000000004
2026/07/30 22:38:46.555, 2460, 10251, 53, 170.81, 100, 0x0000000000000004
2026/07/30 22:38:47.570, 2460, 10251, 53, 171.68, 100, 0x0000000000000004
2026/07/30 22:38:48.580, 2460, 10251, 54, 171.40, 100, 0x0000000000000004
2026/07/30 22:38:49.581, 2460, 10251, 54, 171.54, 100, 0x0000000000000004
2026/07/30 22:38:50.596, 2445, 10251, 54, 171.28, 100, 0x0000000000000004
2026/07/30 22:38:51.610, 2445, 10251, 54, 170.78, 100, 0x0000000000000004
2026/07/30 22:38:52.611, 2460, 10251, 54, 170.89, 100, 0x0000000000000004
2026/07/30 22:38:53.626, 2475, 10251, 54, 170.90, 100, 0x0000000000000004
2026/07/30 22:38:54.639, 2445, 10251, 54, 171.64, 100, 0x0000000000000004
2026/07/30 22:38:55.654, 2445, 10251, 54, 171.37, 100, 0x0000000000000004
2026/07/30 22:38:56.669, 2445, 10251, 54, 171.40, 100, 0x0000000000000004
2026/07/30 22:38:57.682, 2445, 10251, 55, 170.64, 100, 0x0000000000000004
2026/07/30 22:38:58.696, 2460, 10251, 54, 170.39, 100, 0x0000000000000004
2026/07/30 22:38:59.709, 2460, 10251, 55, 170.86, 100, 0x0000000000000004
2026/07/30 22:39:00.724, 2460, 10251, 55, 170.30, 100, 0x0000000000000004
2026/07/30 22:39:01.734, 2445, 10251, 55, 170.67, 100, 0x0000000000000004
2026/07/30 22:39:02.736, 2460, 10251, 55, 171.21, 100, 0x0000000000000004
2026/07/30 22:39:03.737, 2445, 10251, 55, 170.21, 100, 0x0000000000000004
2026/07/30 22:39:04.750, 2460, 10251, 55, 170.00, 100, 0x0000000000000004
2026/07/30 22:39:05.755, 2445, 10251, 55, 170.41, 100, 0x0000000000000004
2026/07/30 22:39:06.769, 2445, 10251, 55, 170.32, 100, 0x0000000000000004
2026/07/30 22:39:07.771, 2445, 10251, 56, 171.41, 100, 0x0000000000000004
2026/07/30 22:39:08.773, 2445, 10251, 56, 171.08, 100, 0x0000000000000004
2026/07/30 22:39:09.787, 2460, 10251, 56, 169.81, 100, 0x0000000000000004
2026/07/30 22:39:10.803, 2445, 10251, 56, 170.44, 100, 0x0000000000000004
2026/07/30 22:39:11.816, 2475, 10251, 56, 170.01, 100, 0x0000000000000004
2026/07/30 22:39:12.830, 2460, 10251, 56, 171.27, 100, 0x0000000000000004
2026/07/30 22:39:13.845, 2445, 10251, 56, 171.77, 100, 0x0000000000000004
2026/07/30 22:39:14.860, 2445, 10251, 56, 170.46, 100, 0x0000000000000004
