timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, power.draw [W], utilization.gpu [%], clocks_event_reasons.active
2026/07/30 16:27:56.409, 300, 405, 40, 14.85, 0, 0x0000000000000001
2026/07/30 16:27:57.445, 1470, 6801, 43, 66.65, 0, 0x0000000000000000
2026/07/30 16:27:58.463, 1470, 6801, 43, 66.69, 84, 0x0000000000000000
2026/07/30 16:27:59.483, 1470, 6801, 44, 66.86, 93, 0x0000000000000000
2026/07/30 16:28:00.500, 1470, 6801, 44, 66.90, 93, 0x0000000000000000
2026/07/30 16:28:01.517, 1470, 6801, 44, 67.00, 93, 0x0000000000000000
2026/07/30 16:28:02.535, 1470, 6801, 44, 66.94, 93, 0x0000000000000000
2026/07/30 16:28:03.552, 1470, 6801, 45, 66.90, 93, 0x0000000000000000
2026/07/30 16:28:04.568, 1470, 6801, 45, 66.80, 93, 0x0000000000000000
2026/07/30 16:28:05.588, 1470, 6801, 45, 67.16, 93, 0x0000000000000000
2026/07/30 16:28:06.606, 1470, 6801, 45, 67.18, 93, 0x0000000000000000
2026/07/30 16:28:07.623, 1470, 6801, 45, 67.08, 93, 0x0000000000000000
2026/07/30 16:28:08.640, 1470, 6801, 46, 67.04, 93, 0x0000000000000000
2026/07/30 16:28:09.658, 1470, 6801, 46, 67.32, 93, 0x0000000000000000
2026/07/30 16:28:10.675, 1470, 6801, 46, 67.16, 93, 0x0000000000000000
2026/07/30 16:28:11.692, 1470, 6801, 46, 67.09, 93, 0x0000000000000000
2026/07/30 16:28:12.711, 1470, 6801, 46, 65.82, 93, 0x0000000000000000
2026/07/30 16:28:13.727, 1470, 6801, 46, 67.24, 93, 0x0000000000000000
2026/07/30 16:28:14.745, 1470, 6801, 46, 67.23, 93, 0x0000000000000000
2026/07/30 16:28:15.763, 1470, 6801, 47, 67.17, 93, 0x0000000000000000
2026/07/30 16:28:16.780, 1470, 6801, 47, 67.30, 93, 0x0000000000000000
2026/07/30 16:28:17.800, 1470, 6801, 47, 67.22, 93, 0x0000000000000000
2026/07/30 16:28:18.818, 1470, 6801, 47, 67.30, 93, 0x0000000000000000
2026/07/30 16:28:19.836, 1470, 6801, 47, 67.17, 93, 0x0000000000000000
2026/07/30 16:28:20.852, 1470, 6801, 47, 67.32, 93, 0x0000000000000000
2026/07/30 16:28:21.869, 1470, 6801, 47, 67.36, 93, 0x0000000000000000
