framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,,8,0,
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,,8,0,
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,,32,0,
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,,32,0,
cubie,tsit5,performance,fixed,fixed,128,dt,0.0009765625,,128,0,
cubie,tsit5,performance,adaptive,default,128,tol,1e-08,,128,0,
cubie,tsit5,performance,adaptive,pi,128,tol,1e-08,,128,0,
cubie,tsit5,performance,fixed,fixed,512,dt,0.0009765625,,512,0,
cubie,tsit5,performance,adaptive,default,512,tol,1e-08,,512,0,
cubie,tsit5,performance,adaptive,pi,512,tol,1e-08,,512,0,
cubie,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,,2048,0,
cubie,tsit5,performance,adaptive,default,2048,tol,1e-08,,2048,0,
cubie,tsit5,performance,adaptive,pi,2048,tol,1e-08,,2048,0,
cubie,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,,8192,0,
cubie,tsit5,performance,adaptive,default,8192,tol,1e-08,,8192,0,
cubie,tsit5,performance,adaptive,pi,8192,tol,1e-08,,8192,0,
cubie,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,,32768,0,
cubie,tsit5,performance,adaptive,default,32768,tol,1e-08,,32768,0,
cubie,tsit5,performance,adaptive,pi,32768,tol,1e-08,,32768,0,
cubie,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
cubie,tsit5,performance,adaptive,default,131072,tol,1e-08,,131072,0,
cubie,tsit5,performance,adaptive,pi,131072,tol,1e-08,,131072,0,
cubie,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
cubie,tsit5,performance,adaptive,default,524288,tol,1e-08,,524288,0,
cubie,tsit5,performance,adaptive,pi,524288,tol,1e-08,,524288,0,
cubie,tsit5,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
cubie,tsit5,performance,adaptive,default,2097152,tol,1e-08,,2097152,0,
cubie,tsit5,performance,adaptive,pi,2097152,tol,1e-08,,2097152,0,
cubie,tsit5,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
cubie,tsit5,performance,adaptive,default,8388608,tol,1e-08,,8388608,0,
cubie,tsit5,performance,adaptive,pi,8388608,tol,1e-08,,8388608,0,
cubie,tsit5,performance,fixed,fixed,33554432,dt,0.0009765625,,33554432,0,
cubie,tsit5,performance,adaptive,default,33554432,tol,1e-08,,33554432,0,
cubie,tsit5,performance,adaptive,pi,33554432,tol,1e-08,,33554432,0,
cubie,tsit5,performance,fixed,fixed,134217728,dt,0.0009765625,,134217728,0,
