algorithm,phase,mode,cubie_tier,n,setting_kind,setting,cubie_median_ms,julia_median_ms,julia_over_cubie_speedup
tsit5,performance,adaptive,default,128,tol,1e-08,4.248131499480223,0.3674705,0.08650167727740103
tsit5,performance,adaptive,default,131072,tol,1e-08,4.078411999216769,4.437450999999999,1.0880340193320786
tsit5,performance,adaptive,default,2048,tol,1e-08,4.325444999267347,0.46169899999999997,0.10674023136999858
tsit5,performance,adaptive,default,2097152,tol,1e-08,32.082154000818264,74.6246595,2.3260489148607877
tsit5,performance,adaptive,default,32,tol,1e-08,3.3919525012606755,0.30399750000000003,0.08962315948911853
tsit5,performance,adaptive,default,32768,tol,1e-08,3.929629001504509,1.4382865,0.3660107606721483
tsit5,performance,adaptive,default,33554432,tol,1e-08,506.3503325000056,1396.895245,2.7587524986961167
tsit5,performance,adaptive,default,512,tol,1e-08,3.227679495466873,0.40669299999999997,0.12600166793858608
tsit5,performance,adaptive,default,524288,tol,1e-08,9.040008502779528,18.909689,2.091777789167548
tsit5,performance,adaptive,default,8,tol,1e-08,4.30547400173964,0.3084835,0.07164913778955728
tsit5,performance,adaptive,default,8192,tol,1e-08,3.86640899523627,0.699731,0.18097697394717563
tsit5,performance,adaptive,default,8388608,tol,1e-08,130.20849299573456,350.398446,2.691056765486707
tsit5,performance,adaptive,pi,128,tol,1e-08,4.027934501209529,0.3674705,0.09123050533459619
tsit5,performance,adaptive,pi,131072,tol,1e-08,4.372159502963768,4.437450999999999,1.0149334664007503
tsit5,performance,adaptive,pi,2048,tol,1e-08,3.1906809999782126,0.46169899999999997,0.144702337840465
tsit5,performance,adaptive,pi,2097152,tol,1e-08,28.59904750221176,74.6246595,2.6093407304641447
tsit5,performance,adaptive,pi,32,tol,1e-08,3.233790001104353,0.30399750000000003,0.09400656811239555
tsit5,performance,adaptive,pi,32768,tol,1e-08,3.7388855016615707,1.4382865,0.38468321625811264
tsit5,performance,adaptive,pi,33554432,tol,1e-08,441.235192502063,1396.895245,3.1658745012581213
tsit5,performance,adaptive,pi,512,tol,1e-08,4.360811497463146,0.40669299999999997,0.09326085299412486
tsit5,performance,adaptive,pi,524288,tol,1e-08,8.159890996466856,18.909689,2.317394804438894
tsit5,performance,adaptive,pi,8,tol,1e-08,4.227341498335591,0.3084835,0.0729734042356071
tsit5,performance,adaptive,pi,8192,tol,1e-08,3.368151003087405,0.699731,0.20774929608517959
tsit5,performance,adaptive,pi,8388608,tol,1e-08,115.638832001423,350.398446,3.0301105600555367
tsit5,performance,fixed,fixed,128,dt,0.0009765625,3.637828500359319,0.467065,0.12839115421572694
tsit5,performance,fixed,fixed,131072,dt,0.0009765625,8.064794001256814,9.898334,1.2273511261983192
tsit5,performance,fixed,fixed,2048,dt,0.0009765625,3.5711284981516656,0.4785815,0.1340140799323527
tsit5,performance,fixed,fixed,2097152,dt,0.0009765625,117.68698200103245,163.97025250000002,1.3932743427693772
tsit5,performance,fixed,fixed,32,dt,0.0009765625,3.6122834972047713,0.462388,0.12800434970228705
tsit5,performance,fixed,fixed,32768,dt,0.0009765625,3.9789674992789514,2.6168329999999997,0.657666341952833
tsit5,performance,fixed,fixed,33554432,dt,0.0009765625,1802.462422499957,2765.3783320000002,1.5342224600524599
tsit5,performance,fixed,fixed,512,dt,0.0009765625,4.451001001143595,0.469164,0.10540640181376229
tsit5,performance,fixed,fixed,524288,dt,0.0009765625,29.685465502552688,42.373772,1.427424878897595
tsit5,performance,fixed,fixed,8,dt,0.0009765625,3.7047539990453515,0.46071850000000003,0.1243587293835755
tsit5,performance,fixed,fixed,8192,dt,0.0009765625,3.8267339950834867,0.743031,0.1941684478081392
tsit5,performance,fixed,fixed,8388608,dt,0.0009765625,467.535081996175,700.3618240000001,1.4979877467371099
