traj,x,y,z
0,4.42625715e-05,0,0
1,0.000988397747,0.000852799742,1.03366938e-05
2,0.00196142378,0.00173592323,2.16651879e-05
3,0.00296379812,0.00265001156,3.4037661e-05
4,0.00399603369,0.00359571213,4.75079796e-05
5,0.00505868392,0.00457368046,6.21326253e-05
6,0.00615229597,0.0055845906,7.79701732e-05
7,0.00727741653,0.00662911544,9.50813846e-05
8,0.00843461696,0.00770795252,0.000113529561
9,0.00962445699,0.00882179104,0.000133380338
10,0.0108475117,0.00997134205,0.000154701935
11,0.0121043744,0.0111573348,0.000177565482
12,0.0133956289,0.0123804919,0.00020204435
13,0.0147218723,0.0136415558,0.000228214936
14,0.0160837136,0.0149412705,0.000256156665
15,0.0174818095,0.0162804145,0.000285954215
16,0.0189167541,0.0176597517,0.000317691767
17,0.0203891601,0.0190800689,0.000351456954
18,0.0218996536,0.0205421634,0.000387340697
19,0.023448877,0.0220468361,0.000425438222
20,0.0250374861,0.0235949047,0.000465848309
21,0.0266661514,0.025187213,0.000508672965
22,0.0283355266,0.0268245824,0.000554017839
23,0.0300462954,0.028507879,0.00060199271
24,0.0317991488,0.0302379709,0.000652710849
25,0.0335947573,0.0320157148,0.000706289429
26,0.0354338735,0.0338420458,0.000762851792
27,0.0373171493,0.0357178077,0.000822521339
28,0.0392453372,0.0376439504,0.000885430782
29,0.0412191637,0.0396214053,0.000951714115
30,0.0432393998,0.0416510738,0.00102151535
31,0.0453067757,0.0437339507,0.00109497563
32,0.047422003,0.0458709784,0.00117224222
33,0.0495858453,0.0480631255,0.00125346985
34,0.0517990999,0.0503114052,0.00133881881
35,0.0540625341,0.0526168123,0.00142845383
36,0.056376949,0.0549803674,0.00152254617
37,0.058743123,0.0574030913,0.00162126962
38,0.0611618795,0.0598860309,0.00172480952
39,0.0636340305,0.0624302551,0.00183335273
40,0.0661603659,0.0650367588,0.00194709189
41,0.0687418208,0.0677067712,0.00206623203
42,0.0713791773,0.0704412982,0.0021909785
43,0.0740733072,0.0732414797,0.00232154573
44,0.0768250152,0.0761083737,0.00245815353
45,0.0796353146,0.0790432617,0.00260103378
46,0.0825049505,0.0820471346,0.00275041861
47,0.0854349211,0.0851212665,0.00290655554
48,0.0884261057,0.0882668495,0.00306969299
49,0.0914793462,0.0914849937,0.00324008684
50,0.0945956558,0.0947770253,0.00341800926
51,0.0977759212,0.098144114,0.00360373245
52,0.101021111,0.101587527,0.00379754254
53,0.104332156,0.105108492,0.00399972918
54,0.107709982,0.108708255,0.00421059597
55,0.111155659,0.112388179,0.00443045748
56,0.11467015,0.116149567,0.00465963455
57,0.118254438,0.119993716,0.00489845686
58,0.121909499,0.123921946,0.0051472648
59,0.125636369,0.127935603,0.00540640764
60,0.12943612,0.132036105,0.00567625416
61,0.133309767,0.136224791,0.00595717365
62,0.137258351,0.140503109,0.00624955306
63,0.141282842,0.144872338,0.00655377423
64,0.145384505,0.149334118,0.00687026558
65,0.149564356,0.153889775,0.00719944341
66,0.153823435,0.158540741,0.00754175242
67,0.158162877,0.163288563,0.00789762102
68,0.162583798,0.168134719,0.00826751627
69,0.167087212,0.173080623,0.00865189452
70,0.171674505,0.178128064,0.00905126613
71,0.17634666,0.183278367,0.00946611259
72,0.181104809,0.188533127,0.009896948
73,0.185950115,0.19389388,0.0103442976
74,0.190884009,0.199362502,0.0108087361
75,0.19590728,0.204940125,0.011290784
76,0.201021418,0.210628733,0.0117910411
77,0.206227705,0.216430023,0.0123101147
78,0.21152705,0.222345307,0.0128485831
79,0.216921017,0.228376612,0.0134071093
80,0.222410619,0.234525397,0.01398631
81,0.227997184,0.240793467,0.0145868575
82,0.233682066,0.247182548,0.0152094392
83,0.239466444,0.253694355,0.015854748
84,0.245351791,0.260330796,0.0165235233
85,0.251339018,0.267093271,0.0172164608
86,0.257429868,0.273984015,0.0179343708
87,0.263625473,0.281004578,0.0186780039
88,0.269927263,0.288156956,0.0194481835
89,0.276336432,0.29544276,0.0202457104
90,0.282854587,0.302864134,0.0210714508
91,0.289482594,0.31042245,0.0219262205
92,0.296222478,0.318120241,0.0228109919
93,0.303075224,0.325958967,0.0237266142
94,0.31004253,0.333940893,0.0246740635
95,0.317125529,0.342067659,0.0256542712
96,0.32432583,0.350341439,0.0266682841
97,0.331644624,0.358763844,0.0277171247
98,0.339083284,0.36733678,0.0288018268
99,0.346643865,0.376062989,0.0299235042
100,0.3543275,0.384944052,0.0310831852
101,0.3621355,0.393981844,0.0322819948
102,0.370069534,0.403178573,0.033521086
103,0.378130943,0.412536144,0.0348016135
