traj,x,y,z
0,4.53929097e-05,0,0
1,0.000989560154,0.000852817204,1.03409675e-05
2,0.00196255068,0.00173595629,2.16733752e-05
3,0.00296488591,0.0026500551,3.40493534e-05
4,0.00399710424,0.00359576591,4.75231755e-05
5,0.00505974144,0.00457374705,6.21512227e-05
6,0.00615333859,0.00558465999,7.79919792e-05
7,0.00727845496,0.0066291932,9.51065085e-05
8,0.00843565445,0.00770803401,0.000113558053
9,0.00962550007,0.00882187858,0.000133412323
10,0.0108485706,0.00997143891,0.000154737863
11,0.0121054398,0.0111574279,0.000177605107
12,0.0133967185,0.0123805953,0.000202088064
13,0.0147229759,0.0136416545,0.000228262899
14,0.0160848256,0.0149413589,0.000256208819
15,0.0174829196,0.0162805207,0.000286008872
16,0.0189178046,0.0176598411,0.000317747006
17,0.0203901902,0.0190801714,0.000351513037
18,0.0219006445,0.0205422528,0.000387397653
19,0.0234498549,0.0220469311,0.000425496488
20,0.0250384156,0.0235949643,0.000465907244
21,0.0266670752,0.0251872726,0.000508733559
22,0.0283364505,0.0268246531,0.000554079772
23,0.0300471764,0.0285079088,0.00060205569
24,0.031800054,0.0302380212,0.000652776507
25,0.0335956626,0.0320157371,0.000706357358
26,0.0354347788,0.0338420607,0.000762921467
27,0.0373181179,0.0357178748,0.00082259503
28,0.0392462909,0.0376439802,0.000885506219
29,0.0412201434,0.0396214314,0.000951791357
30,0.0432403274,0.0416510887,0.00102159067
31,0.0453076772,0.0437339954,0.00109504745
32,0.0474228226,0.0458709747,0.00117231137
33,0.0495866388,0.0480631068,0.00125353679
34,0.0517999046,0.0503114089,0.00133888412
35,0.0540633127,0.0526168048,0.00142851751
36,0.0563777164,0.0549803637,0.0015226074
37,0.0587438866,0.0574030727,0.00162133051
38,0.0611626282,0.0598860197,0.00172486866
39,0.0636347681,0.0624302477,0.00183341035
40,0.0661611632,0.0650367811,0.0019471522
41,0.0687426105,0.0677067414,0.0020662928
42,0.0713799521,0.0704412833,0.00219103741
43,0.0740740746,0.0732414126,0.00232160417
44,0.0768258944,0.0761084184,0.00245821616
45,0.0796361119,0.0790432021,0.00260109385
46,0.0825057328,0.0820470527,0.00275047706
47,0.0854356363,0.0851211548,0.00290661119
48,0.088426806,0.0882667601,0.00306974584
49,0.0914800465,0.0914849713,0.00324014085
50,0.0945962742,0.094776921,0.00341805792
51,0.0977765173,0.0981439725,0.00360378157
52,0.1010217,0.1015874,0.00379759516
53,0.104332745,0.105108373,0.00399978366
54,0.10771063,0.108708203,0.00421065697
55,0.111156285,0.112388127,0.00443051988
56,0.114670791,0.11614953,0.0046597058
57,0.118255019,0.11999362,0.00489853555
58,0.121910155,0.123921931,0.00514735142
59,0.125636905,0.127935365,0.00540650589
60,0.129436716,0.132035986,0.00567636872
61,0.133310303,0.136224598,0.00595730077
62,0.137258932,0.140502915,0.00624970067
63,0.141283482,0.144872189,0.00655395631
64,0.145385206,0.149334073,0.0068704891
65,0.149564832,0.153889462,0.00719967624
66,0.153823912,0.158540547,0.00754201273
67,0.158163249,0.163288221,0.0078978939
68,0.162584081,0.168134302,0.00826781057
69,0.167087406,0.173080146,0.00865221582
70,0.171674863,0.178127751,0.00905164238
71,0.176346898,0.183277935,0.00946650747
72,0.181104928,0.188532561,0.0098973792
73,0.18595022,0.193893313,0.0103447819
74,0.190884069,0.199361876,0.010809279
75,0.19590731,0.204939485,0.0112913884
76,0.201021373,0.210627973,0.0117917201
77,0.206227288,0.216428936,0.0123108318
78,0.211526632,0.222344205,0.012849384
79,0.216920525,0.22837542,0.0134079764
80,0.222409919,0.234523967,0.0139872348
81,0.227996305,0.240791872,0.0145878559
82,0.233681217,0.247181043,0.0152105233
83,0.239465311,0.253692567,0.0158558879
84,0.245350584,0.260328948,0.0165247433
85,0.251337588,0.267091125,0.0172177535
86,0.257428288,0.273981661,0.0179357305
87,0.263623625,0.281002045,0.0186794419
88,0.269925296,0.288154125,0.0194496978
