traj,x,y,z
0,4.53999673e-05,0,0
1,0.000989567372,0.00085281732,1.03409102e-05
2,0.0019625565,0.00173595606,2.16732697e-05
3,0.00296489499,0.0026500572,3.40492188e-05
4,0.0039971103,0.00359576615,4.75229936e-05
5,0.00505974377,0.00457374332,6.21508952e-05
6,0.00615334464,0.00558466092,7.79916809e-05
7,0.00727846473,0.0066291946,9.51061302e-05
8,0.00843565911,0.00770803215,0.00011355766
9,0.00962550566,0.00882187672,0.000133411886
10,0.0108485771,0.00997143704,0.000154737238
11,0.0121054566,0.0111574344,0.000177604641
12,0.013396726,0.0123805953,0.000202087482
13,0.014722988,0.0136416564,0.000228262405
14,0.016084848,0.0149413776,0.000256208441
15,0.0174829271,0.0162805226,0.000286007999
16,0.0189178307,0.0176598597,0.000317746337
17,0.0203901827,0.0190801639,0.000351511728
18,0.0219006501,0.0205422528,0.000387396722
19,0.0234498475,0.022046918,0.000425495266
20,0.0250384454,0.0235949904,0.000465906603
21,0.0266670734,0.0251872689,0.000508732162
22,0.0283364486,0.0268246438,0.000554078724
23,0.0300472211,0.0285079405,0.000602055632
24,0.0318000689,0.0302380212,0.000652775285
25,0.0335956961,0.0320157744,0.00070635631
26,0.0354348123,0.0338420942,0.000762920536
27,0.0373180918,0.035717845,0.000822592818
28,0.0392462797,0.0376439765,0.00088550424
29,0.0412201099,0.0396214053,0.000951790018
30,0.0432403609,0.0416511185,0.00102158985
31,0.0453076512,0.0437339619,0.00109504594
32,0.0474228263,0.0458709672,0.00117230951
33,0.0495866872,0.0480631404,0.00125353562
34,0.0517999008,0.0503114015,0.00133888249
35,0.0540633239,0.052616816,0.00142851553
36,0.0563777052,0.0549803451,0.00152260531
37,0.0587438643,0.0574030504,0.00162132806
38,0.0611626543,0.0598860271,0.00172486831
39,0.0636347681,0.0624302067,0.00183340965
40,0.0661611259,0.0650367364,0.00194714894
41,0.0687426031,0.0677067488,0.00206628954
42,0.0713799819,0.0704412907,0.00219103601
43,0.0740741044,0.0732414573,0.00232160371
44,0.0768258125,0.076108329,0.00245820964
45,0.0796360821,0.0790431723,0.00260108942
46,0.0825057924,0.0820471346,0.00275047706
47,0.0854357257,0.085121274,0.00290661072
48,0.0884268284,0.0882667899,0.00306974398
49,0.0914800763,0.0914849713,0.00324013899
50,0.0945963711,0.0947770104,0.00341806118
51,0.0977765769,0.098144047,0.00360378181
52,0.101021759,0.101587467,0.00379759329
53,0.104332775,0.10510841,0.00399978226
54,0.107710667,0.108708248,0.00421065651
55,0.11115633,0.112388164,0.00443052314
56,0.114670813,0.116149545,0.00465970486
57,0.118255056,0.119993649,0.00489853323
58,0.121910177,0.123921938,0.00514735049
59,0.125637054,0.127935618,0.00540650822
60,0.129436776,0.132036045,0.00567636685
61,0.133310348,0.136224642,0.00595729845
62,0.137258962,0.140502989,0.00624969881
63,0.141283482,0.144872189,0.00655395072
64,0.145385161,0.149333984,0.0068704756
65,0.149564967,0.153889596,0.00719968369
66,0.153823987,0.158540532,0.00754201226
