traj,x,y,z
0,4.6005789e-05,0,0
1,0.000990116736,0.00085281604,1.03413295e-05
2,0.00196307735,0.00173595326,2.16740827e-05
3,0.00296543073,0.00265005184,3.40504448e-05
4,0.00399768446,0.00359575916,4.75245943e-05
5,0.00506031932,0.00457373727,6.21529471e-05
6,0.00615399983,0.00558465347,7.79942202e-05
7,0.00727911294,0.00662918575,9.51090915e-05
8,0.00843630452,0.00770802237,0.000113560964
9,0.00962632149,0.00882186461,0.000133415801
10,0.0108490558,0.0099714268,0.000154741123
11,0.0121059939,0.0111574195,0.000177608919
12,0.0133973286,0.0123805711,0.000202092124
13,0.0147234648,0.0136416396,0.00022826725
14,0.016085295,0.0149413617,0.000256213651
15,0.0174833909,0.0162804984,0.000286013528
16,0.0189184025,0.0176598281,0.000317752536
17,0.0203906894,0.0190801434,0.000351518305
18,0.0219012238,0.020542223,0.000387403328
19,0.0234502759,0.0220468938,0.000425504579
20,0.0250389241,0.023594955,0.000465913647
21,0.0266676396,0.0251872502,0.000508739846
22,0.0283368994,0.0268246271,0.000554086582
23,0.0300477557,0.0285079014,0.000602063257
24,0.0318005085,0.0302380063,0.000652783958
25,0.0335961133,0.0320157409,0.000706364808
26,0.0354352407,0.0338420272,0.000762928801
27,0.0373185389,0.0357178077,0.000822602189
28,0.0392468125,0.0376439467,0.000885514135
29,0.0412205979,0.0396214053,0.000951800437
30,0.0432407856,0.0416510664,0.00102159951
31,0.0453081541,0.0437339135,0.00109505642
32,0.0474233516,0.0458709374,0.00117232092
33,0.0495870635,0.0480630957,0.00125354622
34,0.0518002883,0.0503113642,0.00133889331
35,0.054063797,0.0526167564,0.00142852671
36,0.0563781224,0.0549803115,0.0015226173
37,0.0587442331,0.0574030168,0.00162133982
38,0.061162997,0.0598859601,0.00172487879
39,0.0636352003,0.0624301843,0.00183342258
40,0.0661615431,0.0650367215,0.00194716232
41,0.0687429905,0.0677067116,0.00206630211
42,0.0713803396,0.0704412162,0.00219104835
43,0.0740744174,0.0732413679,0.00232161512
44,0.0768263862,0.0761082992,0.0024582257
45,0.0796364248,0.079043135,0.00260110269
46,0.0825061277,0.0820470452,0.0027504894
47,0.0854360908,0.0851212069,0.00290662516
48,0.0884271562,0.0882667527,0.00306975888
49,0.0914804265,0.0914849192,0.00324015273
50,0.0945966765,0.0947769359,0.00341807306
51,0.0977769345,0.0981440321,0.0036037981
52,0.101022169,0.101587407,0.00379760703
53,0.104333177,0.105108365,0.00399979902
54,0.107711107,0.108708128,0.00421066955
55,0.111156613,0.112388082,0.00443053525
