traj,x,y,z
0,4.54322471e-05,0,0
1,0.000989599153,0.000852817611,1.03409593e-05
2,0.00196258724,0.00173595536,2.16733661e-05
3,0.00296492665,0.00265005697,3.40493716e-05
4,0.00399713917,0.00359576289,4.75231536e-05
5,0.00505977403,0.00457374286,6.21511863e-05
6,0.00615337305,0.00558465859,7.79919937e-05
7,0.00727849547,0.00662919553,9.51064721e-05
8,0.00843569729,0.00770803681,0.000113558162
9,0.00962554198,0.00882187951,0.000133412439
10,0.0108486051,0.00997143518,0.00015473766
11,0.0121054836,0.0111574335,0.000177605136
12,0.0133967502,0.0123805888,0.000202088078
13,0.0147230141,0.0136416554,0.000228262914
14,0.0160848834,0.0149413841,0.000256209227
15,0.0174829513,0.0162805207,0.000286008697
16,0.0189178456,0.0176598448,0.000317746948
17,0.0203902125,0.019080162,0.000351512776
18,0.0219006762,0.0205422509,0.00038739742
19,0.0234498885,0.0220469236,0.000425496226
20,0.0250384752,0.0235949904,0.000465907564
21,0.0266671237,0.0251872856,0.000508733559
22,0.028336484,0.0268246476,0.000554079888
23,0.0300472621,0.0285079535,0.000602056505
24,0.031800095,0.0302380249,0.000652776274
25,0.0335957259,0.0320157781,0.000706357532
26,0.0354348421,0.0338421054,0.000762921933
27,0.0373181067,0.0357178338,0.000822593633
28,0.0392463058,0.0376439653,0.000885505287
29,0.0412201509,0.0396214165,0.000951791124
30,0.0432403609,0.0416510962,0.00102159067
31,0.0453076623,0.0437339395,0.00109504652
32,0.0474228784,0.0458709821,0.00117231219
33,0.0495866798,0.048063118,0.00125353655
34,0.0517999306,0.0503114089,0.00133888377
35,0.0540633276,0.0526167899,0.0014285167
36,0.0563777275,0.0549803488,0.00152260659
37,0.0587439165,0.0574030876,0.00162133109
38,0.0611626431,0.0598859936,0.00172486843
39,0.0636347756,0.0624301918,0.00183341012
40,0.0661611408,0.0650367215,0.00194715022
41,0.0687425882,0.0677067041,0.00206629001
42,0.0713799819,0.0704412684,0.00219103717
43,0.0740741044,0.073241435,0.00232160371
44,0.0768258497,0.0761083364,0.00245821173
45,0.0796361268,0.0790432021,0.00260109222
46,0.0825057328,0.0820470452,0.00275047543
47,0.0854356959,0.0851211995,0.00290661119
48,0.0884268805,0.0882668123,0.00306974747
49,0.0914800912,0.0914849713,0.00324014015
50,0.0945963487,0.0947769657,0.00341806025
51,0.097776629,0.0981440917,0.00360378553
52,0.101021804,0.101587489,0.00379759562
53,0.104332827,0.105108432,0.00399978505
54,0.107710689,0.108708248,0.00421065837
55,0.111156337,0.112388149,0.00443052128
56,0.114670776,0.116149485,0.00465970254
57,0.118255064,0.119993627,0.00489853276
58,0.121910162,0.123921879,0.00514735002
59,0.125637025,0.127935529,0.00540650822
60,0.129436791,0.132036015,0.00567637011
61,0.133310363,0.136224657,0.00595730171
62,0.137258977,0.140502989,0.00624970254
63,0.141283572,0.144872278,0.00655396143
64,0.145385131,0.149333909,0.0068704742
65,0.149565056,0.153889671,0.00719969021
66,0.153823972,0.158540517,0.0075420104
67,0.158163399,0.163288325,0.00789790414
68,0.162584186,0.168134391,0.00826781802
69,0.167087659,0.173080355,0.00865223072
70,0.171674877,0.178127736,0.00905163307
71,0.176346883,0.183277905,0.00946650747
72,0.181105047,0.188532665,0.00989739038
73,0.185950339,0.193893403,0.0103447977
74,0.190883949,0.199361727,0.0108092669
75,0.195907265,0.204939395,0.0112913847
76,0.201021299,0.210627899,0.0117917079
77,0.206227407,0.216428995,0.0123108402
78,0.211526692,0.22234422,0.0128493784
79,0.21692045,0.228375345,0.0134079624
80,0.222409889,0.234523937,0.0139872301
81,0.227996469,0.240792006,0.0145878689
82,0.233681068,0.24718082,0.0152105028
83,0.239465371,0.253692538,0.0158558898
84,0.245350361,0.260328591,0.0165247172
85,0.251337588,0.267091125,0.0172177479
86,0.257428288,0.273981661,0.0179357361
87,0.263623685,0.281002045,0.0186794456
88,0.269925267,0.288154185,0.0194496941
89,0.276334196,0.29543972,0.0202472918
90,0.282852054,0.302860826,0.0210731123
91,0.289479941,0.310418993,0.0219279826
92,0.296219558,0.318116516,0.0228128359
93,0.303072006,0.325954914,0.0237285569
94,0.310038865,0.333936334,0.024676105
95,0.317121714,0.342062891,0.0256564729
96,0.324321538,0.350336105,0.0266705994
97,0.331639975,0.358758152,0.0277195107
98,0.339078724,0.367331237,0.0288042948
99,0.346638978,0.376057029,0.0299259797
100,0.354322314,0.384937793,0.0310856942
101,0.362129897,0.393975109,0.0322845243
102,0.370063722,0.403171569,0.0335236639
103,0.378124803,0.412528783,0.0348042697
104,0.386315018,0.422049224,0.0361275971
105,0.394635499,0.431734353,0.0374948196
106,0.403088301,0.44158721,0.0389073305
107,0.411674738,0.451609194,0.0403663851
108,0.42039603,0.461802483,0.0418732613
109,0.429254055,0.47216928,0.0434294268
110,0.438250393,0.482711941,0.0450362675
111,0.447386414,0.493432254,0.0466952175
112,0.456663966,0.504332781,0.0484077595
113,0.46608445,0.51541549,0.0501754433
114,0.475649565,0.526682496,0.0519997999
115,0.485360652,0.538136005,0.0538823865
116,0.495220006,0.5497787,0.0558249727
117,0.505228281,0.561611831,0.057829015
118,0.515387893,0.573638558,0.0598964244
