traj,x,y,z
0,0.00183606613,0,0
1,0.00278567034,0.000849424629,1.05786703e-05
2,0.00376412761,0.00172914099,2.32767961e-05
3,0.0047720708,0.00263991277,3.64655716e-05
4,0.00580999907,0.00358235021,5.07595687e-05
5,0.00687836669,0.00455703959,6.5960965e-05
6,0.00797787867,0.00556477299,8.27932527e-05
7,0.00910901092,0.00660619419,0.000100740603
8,0.0102723343,0.00768198585,0.000120034107
9,0.0114684161,0.00879284646,0.000140739721
10,0.012697028,0.00993873924,0.000162817887
11,0.0139601789,0.0111217145,0.000186530175
12,0.0152578242,0.01234191,0.000211864128
13,0.0165905468,0.0136000589,0.000238895998
14,0.0179589726,0.0148969237,0.000267704949
15,0.0193637013,0.0162332654,0.00029837311
16,0.0208053552,0.0176098533,0.000330985698
17,0.0222845655,0.0190274846,0.000365630898
18,0.0238019787,0.0204869509,0.000402400561
19,0.0253582317,0.0219890624,0.000441389333
20,0.0269539729,0.0235346407,0.000482695701
21,0.0285898708,0.0251245089,0.00052642182
22,0.0302665941,0.0267595332,0.000572673278
23,0.0319848247,0.0284405425,0.000621559506
24,0.0337452441,0.0301684253,0.000673194299
25,0.0355485491,0.0319440477,0.000727694482
26,0.03739544,0.0337683037,0.000785181997
27,0.0392866358,0.0356421098,0.000845782983
28,0.0412228405,0.0375663638,0.000909627066
29,0.0432048067,0.0395420119,0.000976849697
30,0.0452332459,0.0415699743,0.00104759005
31,0.0473089367,0.0436512381,0.00112199283
32,0.0494326092,0.0457867421,0.00120020716
33,0.0516050383,0.0479774773,0.00128238753
34,0.0538269989,0.0502244234,0.00136869308
35,0.0560992584,0.0525286049,0.00145928969
36,0.05842264,0.0548910499,0.00155434839
37,0.060797926,0.0573127754,0.00165404519
38,0.0632259101,0.0597948134,0.0017585617
39,0.0657074675,0.062338274,0.00186808791
40,0.0682433769,0.0649441853,0.00198281696
41,0.0708344728,0.0676136464,0.00210295059
42,0.0734816492,0.070347771,0.00222869706
43,0.0761857256,0.073147662,0.00236026989
44,0.0789475664,0.076014474,0.00249789818
45,0.0817681029,0.0789493322,0.00264179823
46,0.0846481696,0.0819533765,0.00279220985
47,0.0875886977,0.0850278437,0.00294938008
48,0.0905905515,0.0881738514,0.00311355712
49,0.0936545655,0.0913925394,0.00328461267
50,0.0967819095,0.094685331,0.00346358377
51,0.099973388,0.0980533436,0.00365036586
52,0.10322997,0.101497844,0.00384524697
53,0.106552579,0.105020076,0.00404851744
54,0.10994222,0.108621329,0.0042604818
55,0.113399856,0.112302892,0.00448145252
56,0.116926476,0.116066098,0.00471175369
57,0.12052308,0.119912244,0.00495171454
58,0.124190718,0.123842716,0.00520168105
59,0.127930343,0.127858803,0.00546200201
60,0.131743014,0.131961882,0.00573304296
61,0.135629803,0.136153415,0.00601517828
62,0.139591753,0.140434757,0.00630879495
63,0.143629909,0.144807324,0.00661428971
64,0.147745401,0.149272621,0.00693207467
65,0.151939213,0.153831974,0.00726256752
66,0.156212524,0.158486933,0.00760620506
67,0.160566434,0.163238972,0.00796343386
68,0.165002078,0.168089643,0.00833471585
69,0.169520542,0.173040375,0.00872052182
70,0.174123004,0.178092778,0.00912134442
71,0.178810567,0.183248341,0.00953768007
72,0.183584481,0.188508704,0.00997005031
73,0.188445896,0.193875372,0.0104189869
74,0.193395898,0.199349955,0.01088503
75,0.198435843,0.204934195,0.0113687562
76,0.203566775,0.210629508,0.0118707232
77,0.208790109,0.216437787,0.0123915505
78,0.214106962,0.222360581,0.0129318368
79,0.219518527,0.22839947,0.0134922042
80,0.225026131,0.234556332,0.0140733132
81,0.230631024,0.240832791,0.0146758258
82,0.236334547,0.247230664,0.0153004257
83,0.242137954,0.253751636,0.0159478188
84,0.248042479,0.260397494,0.0166187175
85,0.25404942,0.267169893,0.0173138641
86,0.260160208,0.274070889,0.0180340316
87,0.266376197,0.281102151,0.0187800061
88,0.272698581,0.288265526,0.0195525791
89,0.279128879,0.295562893,0.0203525908
90,0.285668314,0.302996039,0.0211808719
91,0.292318344,0.310566902,0.0220383108
92,0.29907918,0.318275332,0.0229298677
93,0.305954397,0.326127112,0.0238487758
94,0.312944442,0.33412236,0.0247996431
95,0.320050746,0.342263103,0.0257834326
96,0.327274561,0.350551069,0.0268011224
97,0.334617496,0.358988404,0.0278537646
98,0.342080981,0.367577046,0.0289423876
99,0.349666446,0.376319051,0.0300680883
100,0.357375354,0.385216326,0.031231951
101,0.365209222,0.394271076,0.0324351303
102,0.373169482,0.40348509,0.0336787701
103,0.381257713,0.412860692,0.034964066
104,0.389475614,0.422400057,0.0362922922
105,0.397824317,0.432104826,0.0376646258
106,0.406305581,0.441977471,0.0390823968
107,0.414920777,0.45201984,0.0405468903
108,0.423671842,0.462234378,0.0420595184
109,0.432559937,0.472622991,0.0436216183
110,0.441586733,0.483187824,0.0452346131
111,0.450753957,0.493931234,0.046899993
112,0.460062951,0.504855096,0.0486191884
113,0.469515443,0.515961766,0.0503937751
114,0.479113191,0.527253568,0.0522253215
115,0.488857567,0.538732409,0.0541154072
116,0.498750478,0.550400913,0.0560657084
117,0.508796751,0.562265456,0.0580719039
118,0.518991113,0.574319363,0.0601475909
119,0.529338717,0.586569369,0.0622886382
120,0.539841235,0.599017739,0.0644968599
121,0.550500154,0.61166656,0.0667740554
122,0.561317265,0.624518216,0.069122158
123,0.572294116,0.637574852,0.0715430826
124,0.583432674,0.650838912,0.0740388483
125,0.594734073,0.664312363,0.0766114071
126,0.606200457,0.677997768,0.0792628825
127,0.617833257,0.691897154,0.081995368
128,0.629634321,0.706012964,0.0848110765
129,0.64160502,0.720347166,0.087712124
130,0.65374732,0.734902322,0.0907008648
131,0.666062713,0.7496804,0.0937795639
132,0.678552926,0.764683843,0.0969505906
133,0.691219509,0.779914677,0.100216344
134,0.704064429,0.795375407,0.10357935
135,0.717089176,0.811068058,0.107042089
136,0.73029536,0.826994896,0.110607162
137,0.743684649,0.843158007,0.11427711
138,0.757258952,0.859559834,0.118054777
139,0.771019578,0.876202226,0.121942759
140,0.784968257,0.893087447,0.125943899
141,0.799106956,0.910218,0.13006115
142,0.813436866,0.927595377,0.134297296
143,0.827959955,0.945222259,0.138655379
144,0.842677355,0.963099957,0.143138334
145,0.857591152,0.981231213,0.147749409
146,0.872702837,0.999617934,0.152491689
147,0.888013721,1.01826179,0.157368362
148,0.903525889,1.03716528,0.162382811
149,0.919240296,1.05632973,0.167538255
150,0.935158968,1.07575762,0.172838211
151,0.951283097,1.0954504,0.178286076
152,0.967614353,1.11541009,0.183885485
153,0.984154522,1.13563883,0.189640045
154,1.00090468,1.1561377,0.195553333
155,1.0178659,1.17690837,0.201629043
156,1.0350405,1.19795322,0.207871199
157,1.0524292,1.21927345,0.214283511
158,1.07003379,1.24087059,0.220870018
159,1.08785546,1.26274621,0.227634639
160,1.10589576,1.28490222,0.234581679
161,1.12415576,1.30733931,0.241715133
162,1.14263713,1.33005929,0.249039322
163,1.16134036,1.35306334,0.256558359
164,1.18026733,1.37635243,0.264276862
165,1.19941914,1.39992845,0.272199184
166,1.21879709,1.42379177,0.280329943
167,1.23840213,1.44794369,0.288673639
168,1.25823522,1.47238517,0.297234982
169,1.27829778,1.49711716,0.306018829
170,1.29859066,1.5221405,0.3150298
171,1.31911492,1.54745579,0.32427299
172,1.33987164,1.57306385,0.333753407
173,1.36086202,1.59896517,0.343476117
174,1.38208687,1.62516081,0.353447199
175,1.40354657,1.65165031,0.363670111
176,1.42524219,1.6784339,0.374150842
177,1.44717491,1.70551288,0.384895205
178,1.46934521,1.73288655,0.395908356
179,1.49175382,1.76055503,0.407195866
180,1.51440096,1.78851795,0.41876322
181,1.53728819,1.8167758,0.430616528
182,1.56041574,1.84532833,0.44276154
183,1.58378398,1.87417459,0.455203831
184,1.60739398,1.90331483,0.467949778
185,1.63124549,1.93274784,0.481005073
186,1.65533972,1.96247339,0.494376302
187,1.67967641,1.99249017,0.508069277
188,1.70425606,2.02279735,0.522090316
189,1.72907984,2.05339479,0.536446452
190,1.7541467,2.08427978,0.551143289
191,1.77945769,2.11545205,0.566188097
192,1.8050127,2.14691019,0.581587195
193,1.83081198,2.17865181,0.59734726
194,1.85685527,2.21067572,0.613475263
195,1.88314307,2.24298,0.62997818
196,1.90967488,2.275563,0.646862745
197,1.93645084,2.30842185,0.664136171
198,1.96347094,2.34155512,0.68180573
199,1.9907341,2.37495899,0.699878097
200,2.01824045,2.40863132,0.718360424
