traj,x,y,z
0,4.53998946e-05,0,0
1,0.000989567372,0.000852818193,1.03409029e-05
2,0.0019625593,0.00173595746,2.16732351e-05
3,0.00296488963,0.00265005114,3.4049157e-05
4,0.00399711728,0.00359577173,4.7523019e-05
5,0.00505974609,0.00457374519,6.21508589e-05
6,0.00615335163,0.00558466744,7.79919137e-05
7,0.0072784638,0.00662919413,9.51059046e-05
8,0.00843565166,0.00770802889,0.000113557449
9,0.00962550193,0.00882188044,0.00013341161
10,0.0108485967,0.00997145474,0.000154737514
11,0.0121054333,0.0111574177,0.00017760451
12,0.0133966794,0.0123805515,0.000202087205
13,0.0147230066,0.013641675,0.000228263074
14,0.0160848275,0.0149413599,0.000256207539
15,0.0174828973,0.0162805021,0.000286007358
16,0.0189177878,0.0176598169,0.000317745318
17,0.0203901827,0.0190801583,0.000351511524
18,0.021900624,0.0205422267,0.000387395732
19,0.0234498959,0.0220469665,0.000425496633
20,0.0250384137,0.0235949606,0.000465905468
21,0.0266671013,0.0251872893,0.000508732977
22,0.0283364411,0.0268246382,0.000554078666
23,0.0300472081,0.0285079274,0.000602054701
24,0.0318001397,0.0302380919,0.000652776565
25,0.0335956961,0.0320157893,0.000706356601
26,0.0354347304,0.033842016,0.000762918557
27,0.0373182446,0.0357179902,0.000822596659
28,0.0392463654,0.0376440622,0.000885505113
29,0.0412201919,0.0396214761,0.000951790891
30,0.0432402305,0.0416509993,0.00102158647
31,0.0453077368,0.0437340476,0.00109504827
32,0.0474227779,0.0458708964,0.00117230834
33,0.0495868139,0.0480632633,0.00125354063
34,0.0517999195,0.0503114387,0.00133888354
35,0.0540633127,0.0526168048,0.00142851623
36,0.0563778318,0.0549804643,0.00152260892
37,0.0587437265,0.0574029163,0.00162132527
38,0.0611624122,0.0598857887,0.00172486086
39,0.0636351705,0.0624306053,0.00183341536
40,0.0661609843,0.0650366023,0.00194714614
41,0.0687431768,0.0677073747,0.00206629909
42,0.0713796318,0.0704409108,0.00219102926
43,0.0740744323,0.0732419416,0.00232160185
44,0.0768260211,0.076108627,0.0024582136
45,0.0796356052,0.0790424794,0.00260107988
46,0.082505852,0.0820472389,0.00275048008
47,0.0854357034,0.0851215422,0.00290660537
48,0.0884267017,0.0882666036,0.00306974212
49,0.0914801732,0.0914851576,0.00324014435
50,0.0945963562,0.0947767869,0.00341805397
51,0.0977765843,0.0981442779,0.00360378716
52,0.101021595,0.101587072,0.00379758724
53,0.10433279,0.105108343,0.00399978273
54,0.107710384,0.108707793,0.00421064952
55,0.111156017,0.112387761,0.00443051197
56,0.114670679,0.116149403,0.00465970533
57,0.118255287,0.11999388,0.0048985458
58,0.121910192,0.123921953,0.00514734909
59,0.125636801,0.12793535,0.00540650124
60,0.129437059,0.132036284,0.00567637663
61,0.133310229,0.136224568,0.00595729426
62,0.137258798,0.14050284,0.00624969695
63,0.141283169,0.144871876,0.00655393209
64,0.145384803,0.149333566,0.00687044859
65,0.149565265,0.153889969,0.00719970698
66,0.153824285,0.15854086,0.00754203228
67,0.15816386,0.163288832,0.00789793208
68,0.162584156,0.168134362,0.00826781522
69,0.16708748,0.173080221,0.00865221675
70,0.171674654,0.178127497,0.00905160327
71,0.1763473,0.183278337,0.00946653821
72,0.181104556,0.188532174,0.00989734847
73,0.185950145,0.193893224,0.0103447894
74,0.190884009,0.199361801,0.0108092735
75,0.195907384,0.204939529,0.0112913903
76,0.201021507,0.210628182,0.0117917182
77,0.206226751,0.216428325,0.0123107675
78,0.211526543,0.2223441,0.0128493691
79,0.216920391,0.228375316,0.013407954
80,0.222409874,0.234523997,0.0139872273
81,0.227996379,0.240791947,0.0145878512
82,0.233680993,0.247180775,0.0152104944
83,0.239465699,0.253693044,0.0158559289
84,0.245350227,0.260328531,0.0165246967
85,0.251337945,0.267091542,0.0172177982
86,0.257428497,0.273981869,0.0179357566
87,0.263623595,0.281001896,0.0186794531
88,0.269925356,0.288154364,0.0194497444
89,0.276334286,0.29543978,0.0202472862
90,0.282851934,0.302860588,0.0210731067
91,0.28948012,0.310419202,0.0219280086
92,0.296219081,0.31811583,0.0228127874
93,0.303071797,0.325954765,0.0237285588
94,0.310038865,0.333936304,0.0246761348
95,0.317121893,0.342063189,0.0256565083
96,0.324322104,0.350336671,0.0266706347
97,0.331640035,0.358758301,0.0277195256
98,0.339078814,0.367331356,0.0288043134
99,0.346638829,0.376056701,0.0299259573
100,0.354322731,0.38493827,0.0310857035
101,0.362129271,0.393974274,0.0322843939
102,0.370063275,0.403171033,0.0335235968
103,0.378125221,0.412529379,0.0348043293
104,0.386314332,0.42204836,0.0361275002
105,0.394636244,0.431735128,0.0374949314
106,0.403088808,0.441587836,0.0389073789
107,0.411674768,0.451609254,0.0403663926
108,0.420395792,0.461802125,0.0418732576
109,0.429253936,0.47216922,0.0434294306
110,0.438251019,0.482712626,0.045036424
111,0.447385848,0.493431717,0.0466951318
112,0.456663817,0.504332423,0.0484077893
113,0.46608448,0.51541537,0.0501755401
114,0.475649774,0.526683331,0.0519998595
