traj,x,y,z
0,4.55295849e-05,0,0
1,0.000989730819,0.000852816971,1.03409266e-05
2,0.00196268177,0.00173595594,2.16733151e-05
3,0.00296499231,0.00265005557,3.40492697e-05
4,0.00399720343,0.00359576545,4.75230299e-05
5,0.00505985087,0.00457374426,6.21510262e-05
6,0.00615352532,0.00558465859,7.79917536e-05
7,0.00727864122,0.006629196,9.5106283e-05
8,0.00843579601,0.00770803727,0.000113557871
9,0.00962568354,0.00882187672,0.000133412002
10,0.0108487373,0.00997143891,0.000154737412
11,0.0121056065,0.0111574344,0.000177604816
12,0.0133968499,0.0123805916,0.000202087613
13,0.0147231501,0.0136416545,0.00022826239
14,0.0160849635,0.0149413738,0.000256208441
15,0.0174830314,0.0162805133,0.000286008028
16,0.0189179983,0.0176598467,0.000317746453
17,0.020390274,0.0190801695,0.00035151231
18,0.0219008122,0.0205422491,0.000387396751
19,0.0234499797,0.0220469143,0.000425495382
20,0.0250385832,0.0235949829,0.0004659064
21,0.0266672056,0.0251872838,0.000508732861
22,0.0283366162,0.0268246476,0.000554078724
23,0.0300473813,0.0285079312,0.000602054875
24,0.0318001881,0.0302380119,0.000652774994
25,0.0335958414,0.0320157632,0.000706356252
26,0.0354349613,0.0338420793,0.000762920477
27,0.037318252,0.0357178375,0.000822592527
28,0.0392464511,0.0376439765,0.000885504414
29,0.0412202477,0.0396214165,0.000951790309
30,0.043240495,0.0416510813,0.00102158904
31,0.0453078151,0.043733947,0.00109504536
32,0.0474230275,0.0458709709,0.00117230986
33,0.0495868139,0.0480631329,0.0012535362
34,0.0518000126,0.0503114089,0.0013388833
35,0.0540634915,0.0526168011,0.00142851518
36,0.0563778132,0.0549803525,0.00152260601
37,0.0587439574,0.0574030541,0.00162132841
38,0.0611628145,0.0598859936,0.00172486715
39,0.0636349097,0.0624301881,0.00183340919
40,0.0661612377,0.0650367588,0.0019471501
41,0.0687427521,0.0677067563,0.0020662907
42,0.0713801086,0.0704412311,0.00219103391
43,0.0740741789,0.0732414201,0.00232160301
44,0.0768259689,0.0761083439,0.00245821057
45,0.0796362609,0.0790431872,0.00260109012
46,0.082505919,0.0820470825,0.00275047496
47,0.085435845,0.0851212144,0.0029066084
48,0.0884269923,0.0882667825,0.00306974514
49,0.0914802402,0.0914849713,0.00324013853
50,0.0945964903,0.0947770029,0.00341806142
51,0.0977767408,0.098144047,0.00360378204
52,0.101021938,0.101587482,0.00379759423
53,0.104332946,0.105108432,0.00399978319
54,0.107710779,0.108708225,0.00421065418
55,0.111156449,0.112388149,0.00443052081
56,0.114670932,0.116149522,0.00465970254
57,0.118255183,0.119993627,0.0048985295
58,0.121910267,0.123921864,0.00514734862
59,0.125637084,0.127935529,0.00540650543
60,0.129437,0.13203603,0.00567636639
61,0.133310497,0.136224702,0.00595730264
62,0.137259066,0.140502915,0.00624969508
63,0.141283616,0.144872189,0.00655395119
64,0.14538531,0.149333969,0.00687047467
65,0.149565041,0.153889567,0.0071996823
66,0.153824165,0.158540502,0.00754200853
67,0.158163458,0.163288295,0.00789790042
68,0.16258435,0.168134376,0.00826781616
69,0.167087749,0.17308034,0.00865222886
70,0.171674937,0.178127661,0.00905162562
71,0.176347047,0.183277905,0.00946650561
72,0.181105047,0.188532576,0.00989738479
73,0.185950413,0.193893328,0.0103447866
74,0.190884054,0.199361742,0.0108092697
75,0.195907205,0.20493938,0.01129138
76,0.201021507,0.210627913,0.0117917061
77,0.206227511,0.21642901,0.0123108365
78,0.211526811,0.22234419,0.0128493737
79,0.216920584,0.228375345,0.0134079643
80,0.222410128,0.234524012,0.0139872367
81,0.227996469,0.240791887,0.0145878503
82,0.233681142,0.247180849,0.0152104991
83,0.239465535,0.253692538,0.0158558916
84,0.245350495,0.26032868,0.0165247228
85,0.251337767,0.267091155,0.0172177553
86,0.257428437,0.273981571,0.0179357231
87,0.263623685,0.281002015,0.0186794382
88,0.269925267,0.288154036,0.0194496792
89,0.276334316,0.29543972,0.0202472899
90,0.282852083,0.302860677,0.0210730936
91,0.28948015,0.310418963,0.0219279863
92,0.296219498,0.318116367,0.0228128228
93,0.303072125,0.325954974,0.0237285644
94,0.310039163,0.333936453,0.0246761311
95,0.317121714,0.342062801,0.0256564561
96,0.324321598,0.350336015,0.0266705807
97,0.331640184,0.358758271,0.0277195256
98,0.339078993,0.367331207,0.0288042892
99,0.346639186,0.376056969,0.0299259704
100,0.354322195,0.384937525,0.0310856663
101,0.362129956,0.393975019,0.0322845131
102,0.370063722,0.40317148,0.0335236453
103,0.378124893,0.412528634,0.0348042697
104,0.386315137,0.422049135,0.0361275859
105,0.394635677,0.431734443,0.0374948233
106,0.403088421,0.44158712,0.0389073156
107,0.411674798,0.451609075,0.0403663702
108,0.42039603,0.461802542,0.0418732874
109,0.429254085,0.47216922,0.0434294343
110,0.438250601,0.482711941,0.0450362749
111,0.447386742,0.493432403,0.0466952324
112,0.456664085,0.50433284,0.0484078079
113,0.466084659,0.51541543,0.0501754545
114,0.475649595,0.526682258,0.051999785
115,0.485361159,0.538136005,0.0538824201
116,0.495219827,0.549778521,0.0558249541
117,0.505228519,0.561611891,0.0578290522
118,0.515388072,0.573638439,0.0598964058
119,0.52570039,0.585860491,0.0620288439
120,0.536166787,0.598280191,0.0642280579
121,0.546789169,0.610899925,0.0664959997
122,0.557568908,0.623721719,0.0688344166
123,0.568508387,0.636748016,0.0712453499
124,0.5796085,0.649980962,0.0737306625
125,0.590871394,0.663422585,0.076292403
126,0.602299333,0.677075803,0.0789327845
127,0.613892317,0.690942645,0.081653744
128,0.625653684,0.705025494,0.0844575688
129,0.637583435,0.71932584,0.087346226
130,0.649684966,0.733846545,0.0903220549
131,0.661959112,0.748589873,0.0933875069
132,0.674407244,0.763557851,0.0965447277
133,0.687031984,0.778752863,0.099796243
134,0.69983393,0.794178009,0.103144631
