traj,x,y,z
0,4.53975335e-05,0,0
1,0.000989567488,0.00085281732,1.03409175e-05
2,0.00196255581,0.00173595583,2.16732824e-05
3,0.00296489336,0.0026500558,3.40492261e-05
4,0.00399710936,0.00359576521,4.7522979e-05
5,0.0050597433,0.00457374426,6.21509171e-05
6,0.00615334651,0.00558466325,7.79917245e-05
7,0.00727846567,0.00662919646,9.51061957e-05
8,0.00843565539,0.00770803727,0.000113557675
9,0.00962550938,0.00882187951,0.000133411944
10,0.0108485734,0.0099714417,0.000154737398
11,0.0121054472,0.0111574326,0.000177604583
12,0.0133967185,0.0123805935,0.000202087511
13,0.0147229889,0.0136416592,0.000228262375
14,0.0160848498,0.0149413785,0.000256208441
15,0.0174829196,0.0162805207,0.000286008057
16,0.0189178213,0.0176598523,0.000317746337
17,0.0203901865,0.0190801695,0.000351512164
18,0.0219006445,0.0205422547,0.000387396605
19,0.02344984,0.0220469143,0.000425495091
20,0.0250384435,0.0235949904,0.000465906545
21,0.0266670939,0.0251872875,0.000508732512
22,0.0283364281,0.0268246513,0.000554078957
23,0.0300472192,0.0285079386,0.000602055108
24,0.0318000764,0.0302380305,0.000652775459
25,0.0335956961,0.0320157744,0.000706356368
26,0.0354347974,0.0338420756,0.000762920245
27,0.0373180732,0.0357178412,0.000822592701
28,0.0392462872,0.037643984,0.000885504531
29,0.0412201323,0.0396214239,0.000951790076
30,0.0432403311,0.0416510925,0.00102158892
31,0.0453076586,0.0437339656,0.00109504617
32,0.0474228524,0.0458709858,0.00117231032
33,0.0495866761,0.0480631366,0.00125353574
34,0.0517998971,0.0503114015,0.00133888237
35,0.0540633202,0.0526168123,0.00142851588
36,0.0563777201,0.0549803562,0.00152260566
37,0.0587438866,0.0574030802,0.00162132899
38,0.0611626208,0.0598859973,0.00172486703
39,0.0636347756,0.0624302067,0.00183340942
40,0.0661611483,0.0650367662,0.00194714975
41,0.0687425956,0.0677067488,0.00206628931
42,0.0713799596,0.0704412758,0.00219103578
43,0.0740740746,0.0732414201,0.00232160208
44,0.0768258348,0.0761083588,0.00245821103
45,0.0796360821,0.0790431723,0.00260108965
46,0.0825057551,0.0820470899,0.00275047566
47,0.0854356885,0.0851212218,0.00290660933
48,0.0884268358,0.0882668123,0.00306974584
49,0.0914800689,0.0914849713,0.00324013853
50,0.0945963562,0.094776988,0.00341805955
51,0.0977766141,0.0981440917,0.0036037839
52,0.101021782,0.101587489,0.00379759399
53,0.10433279,0.105108425,0.00399978273
54,0.107710667,0.10870824,0.00421065558
55,0.11115633,0.112388171,0.00443052175
56,0.114670791,0.116149522,0.00465970207
57,0.118255071,0.119993672,0.00489853323
58,0.121910155,0.123921894,0.00514734956
59,0.12563701,0.127935529,0.0054065045
60,0.129436746,0.13203603,0.00567636546
61,0.133310407,0.136224702,0.00595730217
62,0.137258962,0.140502974,0.00624969928
63,0.141283497,0.144872233,0.00655395351
64,0.145385131,0.149333954,0.0068704742
65,0.149564952,0.153889567,0.0071996823
66,0.153823957,0.158540532,0.00754201086
67,0.158163369,0.16328831,0.00789790135
68,0.162584186,0.168134406,0.00826781616
69,0.167087644,0.173080385,0.00865223166
70,0.171674818,0.178127706,0.00905162748
71,0.176346913,0.18327795,0.00946651027
72,0.181104973,0.188532621,0.00989738572
73,0.185950264,0.193893373,0.0103447912
74,0.190883949,0.199361742,0.0108092688
75,0.195907265,0.20493944,0.0112913856
76,0.201021329,0.210627943,0.0117917089
77,0.206227392,0.216429025,0.0123108383
78,0.211526707,0.222344294,0.012849384
79,0.216920465,0.228375375,0.0134079671
80,0.222409934,0.234524027,0.0139872367
81,0.227996379,0.240791947,0.0145878531
82,0.233681098,0.247180864,0.0152105028
83,0.239465371,0.253692597,0.0158558954
84,0.245350406,0.26032871,0.0165247247
85,0.251337588,0.267091125,0.0172177479
86,0.257428229,0.273981631,0.0179357305
87,0.263623655,0.281002015,0.01867944
88,0.269925177,0.288154095,0.0194496866
89,0.276334196,0.29543975,0.0202472936
90,0.282851934,0.302860737,0.0210730974
91,0.289479911,0.310418963,0.0219279751
92,0.296219558,0.318116486,0.0228128377
93,0.303072006,0.325954944,0.0237285625
94,0.310038954,0.333936483,0.0246761329
95,0.317121774,0.34206301,0.0256564915
96,0.324321598,0.350336254,0.0266706143
97,0.331640124,0.35875833,0.0277195312
98,0.339078754,0.367331266,0.0288043004
99,0.346638918,0.376057029,0.0299259853
100,0.354322165,0.384937614,0.0310856774
101,0.362129927,0.393975109,0.0322845206
102,0.370063543,0.40317139,0.0335236453
103,0.378124744,0.412528753,0.0348042659
104,0.386314958,0.422049165,0.0361275934
105,0.394635707,0.431734651,0.037494868
106,0.403088272,0.44158715,0.0389073454
107,0.411674678,0.451609164,0.0403663851
108,0.420396119,0.461802512,0.0418732911
109,0.429254144,0.47216934,0.0434294492
110,0.438250393,0.482711971,0.0450362898
111,0.447386563,0.493432462,0.046695251
112,0.456663936,0.504332781,0.0484077856
113,0.466084391,0.51541549,0.0501754656
114,0.475649416,0.526682436,0.0519998074
115,0.485360742,0.538136005,0.0538824238
116,0.495219827,0.549778581,0.0558249652
117,0.505228221,0.561611891,0.057829041
118,0.515387893,0.573638558,0.0598964505
119,0.525700033,0.58586067,0.0620288625
120,0.536166549,0.59828037,0.06422811
121,0.54678899,0.610899985,0.0664959997
122,0.557569265,0.623722076,0.0688345134
123,0.568508267,0.636748075,0.0712453723
124,0.579608917,0.649981201,0.0737307668
125,0.590871751,0.663423002,0.0762925521
126,0.602299094,0.67707628,0.0789328963
127,0.613892257,0.690942883,0.081653811
128,0.625653327,0.705025375,0.0844575241
129,0.637583673,0.71932596,0.0873462111
130,0.649684787,0.733846545,0.0903220698
131,0.661958873,0.748590052,0.0933874995
132,0.674407303,0.763558149,0.0965448096
133,0.687031865,0.778753459,0.0997964069
134,0.699834228,0.794178069,0.103144661
135,0.712816298,0.809834421,0.106592253
136,0.725979388,0.825724483,0.11014162
137,0.739325166,0.841850519,0.113795392
138,0.752856135,0.858215451,0.117556401
139,0.766572952,0.874820471,0.121427126
140,0.78047806,0.891668499,0.125410527
141,0.79457283,0.908761621,0.129509479
142,0.808858931,0.926101685,0.133726746
143,0.823338032,0.943691254,0.138065353
144,0.838011742,0.961532056,0.142528325
145,0.852882147,0.979626954,0.147118881
146,0.867950678,0.997977614,0.151840046
147,0.883218646,1.01658571,0.156694934
148,0.898688197,1.03545403,0.161687002
149,0.914361,1.0545845,0.166819558
150,0.930238307,1.0739789,0.172095954
151,0.946321845,1.09363914,0.177519694
152,0.962613702,1.11356771,0.183094278
153,0.979115009,1.13376653,0.188823491
154,0.995826781,1.15423667,0.194710672
155,1.01275206,1.17498052,0.200759709
156,1.02989089,1.19600034,0.206974536
157,1.04724646,1.21729767,0.213359058
158,1.06481862,1.23887384,0.219916925
159,1.08261001,1.26073122,0.226652443
160,1.10062218,1.28287125,0.233569652
161,1.11885536,1.30529511,0.240672559
162,1.13731194,1.32800472,0.247965425
163,1.1559937,1.3510021,0.255452782
164,1.17490125,1.3742882,0.263138831
165,1.19403684,1.39786494,0.271028161
166,1.21340132,1.4217329,0.279125065
167,1.23299515,1.44589353,0.287434042
168,1.25282145,1.47034848,0.295960248
169,1.27287984,1.49509883,0.304708004
170,1.29317272,1.52014565,0.313682348
171,1.3137008,1.54548991,0.322887957
172,1.33446503,1.5711323,0.332329929
173,1.35546696,1.59707427,0.342013299
174,1.37670779,1.62331665,0.351943254
175,1.39818823,1.64985919,0.362124652
176,1.41990983,1.67670405,0.372563332
177,1.44187343,1.70385063,0.383264065
178,1.46407914,1.73129964,0.394232363
179,1.4865284,1.75905097,0.40547356
180,1.50922275,1.78710592,0.416993737
181,1.53216231,1.81546438,0.428798169
182,1.5553472,1.84412575,0.4408921
183,1.57878006,1.87309027,0.453281879
184,1.60245967,1.90235817,0.465973109
185,1.62638736,1.93192875,0.47897166
186,1.65056384,1.96180189,0.492283493
187,1.67498958,1.99197698,0.50591445
188,1.699664,2.02245283,0.519870579
189,1.72458982,2.05323029,0.534158766
190,1.74976504,2.08430624,0.548784077
191,1.77519035,2.11568069,0.56375289
