traj,x,y,z
0,4.53990724e-05,0,0
1,0.000989566557,0.000852818019,1.03409348e-05
2,0.00196255604,0.00173595687,2.16733315e-05
3,0.00296489336,0.00265005603,3.40493243e-05
4,0.00399711076,0.00359576708,4.75230408e-05
5,0.00505974656,0.00457374658,6.21510626e-05
6,0.00615334837,0.00558466371,7.79919646e-05
7,0.00727846846,0.00662919879,9.51063994e-05
8,0.00843566563,0.0077080396,0.000113557922
9,0.0096255159,0.0088218851,0.000133412192
10,0.0108485837,0.00997144636,0.000154737776
11,0.0121054584,0.0111574391,0.000177604976
12,0.0133967279,0.0123805972,0.000202087729
13,0.0147229973,0.0136416666,0.000228262768
14,0.0160848498,0.0149413822,0.000256208761
15,0.0174829215,0.0162805226,0.000286008231
16,0.0189178269,0.0176598579,0.00031774689
17,0.020390192,0.0190801714,0.000351512281
18,0.0219006501,0.0205422603,0.000387396925
19,0.0234498549,0.0220469236,0.000425495382
20,0.0250384454,0.0235949904,0.000465907156
21,0.0266670994,0.0251872968,0.000508732861
22,0.0283364616,0.0268246587,0.000554079539
23,0.0300472286,0.0285079516,0.000602055516
24,0.0318000875,0.0302380361,0.000652775925
25,0.033595711,0.0320157893,0.00070635695
26,0.0354348049,0.0338420868,0.000762920943
27,0.0373180956,0.0357178487,0.000822593342
28,0.0392463058,0.0376439951,0.000885505229
29,0.041220136,0.0396214314,0.000951791008
30,0.0432403497,0.0416511111,0.00102158939
31,0.0453076623,0.0437339693,0.00109504652
32,0.0474228598,0.0458709933,0.00117231114
33,0.0495866835,0.0480631404,0.00125353667
34,0.0517999157,0.0503114201,0.001338884
35,0.0540633313,0.0526168197,0.00142851658
36,0.0563777164,0.0549803637,0.00152260647
37,0.0587438904,0.0574030839,0.00162132992
38,0.0611626208,0.0598860048,0.00172486762
39,0.0636347756,0.0624302141,0.00183341024
40,0.0661611483,0.0650367588,0.0019471501
41,0.0687426031,0.0677067563,0.00206629001
42,0.0713799596,0.0704412684,0.00219103578
43,0.0740740821,0.0732414275,0.00232160254
44,0.0768258274,0.0761083513,0.00245821197
45,0.0796361119,0.0790432021,0.00260109128
46,0.0825057551,0.0820470974,0.00275047636
47,0.0854356885,0.0851212293,0.00290661003
48,0.0884268358,0.0882667974,0.00306974654
49,0.0914800838,0.0914849862,0.00324013899
50,0.0945963562,0.0947769955,0.00341805955
51,0.0977765843,0.0981440619,0.00360378297
52,0.101021767,0.101587474,0.00379759423
53,0.104332805,0.10510844,0.00399978319
54,0.107710645,0.108708218,0.00421065511
55,0.111156322,0.112388156,0.00443052128
56,0.114670798,0.116149537,0.00465970393
57,0.118255034,0.119993627,0.0048985295
58,0.121910125,0.123921871,0.00514734862
59,0.12563701,0.127935529,0.00540650636
60,0.129436761,0.13203603,0.00567636685
61,0.133310378,0.136224672,0.00595730124
62,0.137258917,0.14050293,0.00624969741
63,0.141283467,0.144872203,0.00655395165
64,0.145385146,0.149333954,0.0068704756
65,0.149564907,0.153889552,0.00719968183
66,0.153823942,0.158540502,0.00754200667
67,0.158163309,0.16328828,0.00789789855
68,0.162584156,0.168134362,0.00826781429
69,0.1670876,0.173080325,0.00865222793
70,0.171674743,0.178127632,0.00905162189
71,0.176346824,0.18327786,0.00946650095
72,0.181104943,0.188532591,0.00989738386
73,0.18595019,0.193893284,0.0103447819
74,0.19088389,0.199361667,0.0108092614
75,0.195907176,0.20493935,0.0112913772
76,0.201021239,0.210627854,0.0117917005
77,0.206227332,0.216428965,0.0123108327
78,0.211526617,0.222344205,0.0128493747
79,0.216920435,0.228375331,0.0134079605
80,0.222409815,0.234523952,0.0139872273
81,0.227996305,0.240791813,0.014587841
82,0.233681008,0.24718079,0.0152104963
83,0.239465252,0.253692478,0.0158558842
84,0.245350257,0.260328561,0.016524706
85,0.251337469,0.267091006,0.017217733
86,0.25742808,0.273981482,0.01793571
87,0.263623476,0.281001836,0.0186794177
88,0.269925088,0.288154006,0.0194496755
89,0.276333988,0.295439541,0.0202472657
90,0.282851905,0.302860647,0.0210730862
91,0.289479792,0.310418844,0.0219279602
92,0.296219379,0.318116277,0.0228128117
93,0.303071886,0.325954854,0.0237285532
94,0.310038775,0.333936214,0.0246760957
