framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,tsit5,performance,fixed,fixed,both,131072,dt,0.0009765625,20,9.777343,9.79110185,10.5076505,12.84239230000003,54.58783
julia,tsit5,performance,fixed,fixed,none,131072,dt,0.0009765625,20,8.887089,8.906222,8.924325,8.9700638,8.985849
julia,tsit5,performance,adaptive,julia,both,131072,tol,1.0e-8,20,4.325881,4.3262743,4.337518,4.648196750000003,9.021916
julia,tsit5,performance,adaptive,julia,none,131072,tol,1.0e-8,20,3.436657,3.4431911,3.4754795,3.48885165,3.524451
julia,tsit5,performance,fixed,fixed,both,524288,dt,0.0009765625,20,38.469562,38.4852446,41.191126499999996,49.5753236,49.862216
julia,tsit5,performance,fixed,fixed,none,524288,dt,0.0009765625,20,35.154613,35.157633999999995,35.18026,35.24012265,35.275076
julia,tsit5,performance,adaptive,julia,both,524288,tol,1.0e-8,20,15.91019,15.9131901,17.9515225,18.707476550000003,18.720749
julia,tsit5,performance,adaptive,julia,none,524288,tol,1.0e-8,20,12.60914,12.609823999999998,12.630957,12.73015745,12.752757
julia,tsit5,performance,fixed,fixed,both,2097152,dt,0.0009765625,20,146.560827,146.60984034999998,157.378716,157.6826511,157.810105
julia,tsit5,performance,fixed,fixed,none,2097152,dt,0.0009765625,20,133.771869,133.820775,133.99537750000002,134.667854,135.814979
julia,tsit5,performance,adaptive,julia,both,2097152,tol,1.0e-8,20,62.016304,62.02645569999999,62.555940500000005,73.18627125,73.320397
julia,tsit5,performance,adaptive,julia,none,2097152,tol,1.0e-8,20,49.390677,49.405402,49.4377825,49.45560775,49.514617
julia,tsit5,performance,fixed,fixed,both,8388608,dt,0.0009765625,20,625.596118,625.9330868000001,626.5647625,628.3586662,628.441111
julia,tsit5,performance,fixed,fixed,none,8388608,dt,0.0009765625,20,530.921112,531.05353155,531.4376855,532.2684307,535.963773
julia,tsit5,performance,adaptive,julia,both,8388608,tol,1.0e-8,20,289.30533,289.32429485,289.725113,292.41583875000003,319.631187
julia,tsit5,performance,adaptive,julia,none,8388608,tol,1.0e-8,20,196.293701,196.32437554999998,196.3890765,197.662632,200.731341
julia,vern7,performance,fixed,fixed,both,131072,dt,0.0009765625,20,22.098379,22.2495145,22.466109000000003,23.21941375,23.233906
julia,vern7,performance,fixed,fixed,none,131072,dt,0.0009765625,20,21.182211,21.27256265,21.4510765,21.54752295,21.647481
julia,vern7,performance,adaptive,julia,both,131072,tol,1.0e-8,20,8.874636,8.884174,8.912222,8.99307005,9.025485
julia,vern7,performance,adaptive,julia,none,131072,tol,1.0e-8,20,8.020316,8.02467745,8.0473255,8.084929500000001,8.10392
julia,vern7,performance,fixed,fixed,both,524288,dt,0.0009765625,20,85.336357,85.7517939,86.0301635,89.0652246,89.113876
julia,vern7,performance,fixed,fixed,none,524288,dt,0.0009765625,20,82.235822,82.29932475,82.6092305,83.2372404,84.074901
julia,vern7,performance,adaptive,julia,both,524288,tol,1.0e-8,20,33.964901,33.971549100000004,34.064454999999995,38.28120045,47.819912
julia,vern7,performance,adaptive,julia,none,524288,tol,1.0e-8,20,30.622456,30.66234175,30.717313500000003,30.784530699999998,30.821404
