algorithm,phase,mode,cubie_tier,transfers,n,setting_kind,setting,cubie_min_ms,julia_min_ms,julia_over_cubie_speedup
kvaerno3,numerical,adaptive,default,both,1024,tol,0.0001,0.9964039782062173,0.496704,0.4984966046544641
kvaerno3,numerical,adaptive,default,both,1024,tol,0.001,0.8694080170243979,0.326266,0.375273742145449
kvaerno3,numerical,adaptive,default,both,1024,tol,0.01,0.7856680313125253,0.186747,0.2376919927466353
kvaerno3,numerical,adaptive,default,both,1024,tol,1e-05,1.2277300702407956,0.955385,0.7781718662414285
kvaerno3,numerical,adaptive,default,both,1024,tol,1e-06,1.9344940083101392,1.939867,1.002777466183291
kvaerno3,numerical,adaptive,default,none,1024,tol,0.0001,0.6180040072649717,0.411103,0.6652108969638735
kvaerno3,numerical,adaptive,default,none,1024,tol,0.001,0.476416083984077,0.271077,0.5689921249784256
kvaerno3,numerical,adaptive,default,none,1024,tol,0.01,0.39285991806536913,0.145543,0.37047047384401954
kvaerno3,numerical,adaptive,default,none,1024,tol,1e-05,0.9023480815812945,0.902815,1.0005174482311607
kvaerno3,numerical,adaptive,default,none,1024,tol,1e-06,1.601850031875074,1.889494,1.1795698488629547
kvaerno3,numerical,adaptive,pi,both,1024,tol,0.0001,1.004538033157587,0.496704,0.49446012356416125
kvaerno3,numerical,adaptive,pi,both,1024,tol,0.001,0.8284499635919929,0.326266,0.3938270436821266
kvaerno3,numerical,adaptive,pi,both,1024,tol,0.01,0.7417189190164208,0.186747,0.25177596959187937
kvaerno3,numerical,adaptive,pi,both,1024,tol,1e-05,1.2616990134119987,0.955385,0.7572210090078163
kvaerno3,numerical,adaptive,pi,both,1024,tol,1e-06,1.950775971636176,1.939867,0.9944078808664911
kvaerno3,numerical,adaptive,pi,none,1024,tol,0.0001,0.6286409916356206,0.411103,0.6539551277596097
kvaerno3,numerical,adaptive,pi,none,1024,tol,0.001,0.4802040057256818,0.271077,0.5645038291389299
kvaerno3,numerical,adaptive,pi,none,1024,tol,0.01,0.3962600603699684,0.145543,0.36729162122499476
kvaerno3,numerical,adaptive,pi,none,1024,tol,1e-05,0.9047338971868157,0.902815,0.9978790479799836
kvaerno3,numerical,adaptive,pi,none,1024,tol,1e-06,1.5990410465747118,1.889494,1.18164196225448
kvaerno3,numerical,fixed,fixed,both,1024,dt,0.0001220703125,15.279637998901308,25.89155,1.6945133125445608
kvaerno3,numerical,fixed,fixed,both,1024,dt,0.000244140625,8.185855927877128,12.670451,1.5478468118221427
kvaerno3,numerical,fixed,fixed,both,1024,dt,0.00048828125,4.642090993002057,6.395233,1.377662137523974
kvaerno3,numerical,fixed,fixed,both,1024,dt,0.0009765625,2.820241032168269,3.277158,1.1620134458792843
kvaerno3,numerical,fixed,fixed,both,1024,dt,0.001953125,1.7541770357638597,1.710344,0.975012193826393
kvaerno3,numerical,fixed,fixed,both,1024,dt,0.00390625,1.3169539161026478,0.911047,0.6917835080335416
kvaerno3,numerical,fixed,fixed,both,1024,dt,0.0078125,1.0930440621450543,0.521636,0.4772323624139274
kvaerno3,numerical,fixed,fixed,both,1024,dt,0.015625,0.9715240448713303,0.324577,0.3340905474377501
kvaerno3,numerical,fixed,fixed,none,1024,dt,0.0001220703125,14.865517965517938,25.839624,1.7382256077411904
kvaerno3,numerical,fixed,fixed,none,1024,dt,0.000244140625,7.787975016981363,12.616923,1.6200518071115164
kvaerno3,numerical,fixed,fixed,none,1024,dt,0.00048828125,4.266084986738861,6.344094,1.4870997693952739
kvaerno3,numerical,fixed,fixed,none,1024,dt,0.0009765625,2.3167700273916125,3.226238,1.3925585888351346
kvaerno3,numerical,fixed,fixed,none,1024,dt,0.001953125,1.3575630728155375,1.695265,1.2487559760181757
kvaerno3,numerical,fixed,fixed,none,1024,dt,0.00390625,0.9464470203965902,0.852641,0.9008861369152151
kvaerno3,numerical,fixed,fixed,none,1024,dt,0.0078125,0.7203849963843822,0.477868,0.6633508504458354
kvaerno3,numerical,fixed,fixed,none,1024,dt,0.015625,0.5656370194628835,0.274152,0.4846783194288251
kvaerno3,performance,adaptive,default,both,128,tol,1e-08,37.103114067576826,8.070044,0.21750314502717555
kvaerno3,performance,adaptive,default,both,131072,tol,1e-08,308.5527590010315,76.387729,0.24756780411658746
kvaerno3,performance,adaptive,default,both,2048,tol,1e-08,36.769755999557674,9.130355,0.2483115471342762
kvaerno3,performance,adaptive,default,both,2097152,tol,1e-08,4589.485455013346,1094.164888,0.23840687561277352
kvaerno3,performance,adaptive,default,both,32,tol,1e-08,50.366697018034756,8.173856,0.16228691742627466
kvaerno3,performance,adaptive,default,both,32768,tol,1e-08,85.19112900830805,26.335129,0.3091299447085826
kvaerno3,performance,adaptive,default,both,512,tol,1e-08,36.19687003083527,8.465142,0.2338639222891024
kvaerno3,performance,adaptive,default,both,524288,tol,1e-08,1164.3334449618123,281.40354,0.24168638392864292
kvaerno3,performance,adaptive,default,both,8,tol,1e-08,46.18786403443664,7.880415,0.1706165713600555
kvaerno3,performance,adaptive,default,both,8192,tol,1e-08,41.71615093946457,11.074546,0.2654738213041412
kvaerno3,performance,adaptive,default,both,8388608,tol,1e-08,18296.11856600968,4359.595453,0.2382797989240847
kvaerno3,performance,adaptive,default,none,128,tol,1e-08,37.01199090573937,8.001533,0.2161875868925284
kvaerno3,performance,adaptive,default,none,131072,tol,1e-08,307.9539440223016,75.444873,0.24498751993426782
kvaerno3,performance,adaptive,default,none,2048,tol,1e-08,36.670285975560546,9.062791,0.2471426322129048
kvaerno3,performance,adaptive,default,none,2097152,tol,1e-08,4580.203329969663,1072.071375,0.2340663280132371
kvaerno3,performance,adaptive,default,none,32,tol,1e-08,50.27495895046741,8.138126,0.16187235494350094
kvaerno3,performance,adaptive,default,none,32768,tol,1e-08,84.950186079368,26.086658,0.30708182293594427
kvaerno3,performance,adaptive,default,none,512,tol,1e-08,36.104023922234774,8.413012,0.2330214498561425
kvaerno3,performance,adaptive,default,none,524288,tol,1e-08,1162.0768900029361,278.12403,0.23933358660914192
kvaerno3,performance,adaptive,default,none,8,tol,1e-08,46.094660996459424,7.806548,0.1693590500773968
kvaerno3,performance,adaptive,default,none,8192,tol,1e-08,41.59209399949759,10.981208,0.2640215229397358
kvaerno3,performance,adaptive,default,none,8388608,tol,1e-08,18258.288662997074,4266.992887,0.2337016883541581
kvaerno3,performance,adaptive,pi,both,128,tol,1e-08,37.47522202320397,8.070044,0.21534346067391347
kvaerno3,performance,adaptive,pi,both,131072,tol,1e-08,309.552020044066,76.387729,0.2467686335535006
kvaerno3,performance,adaptive,pi,both,2048,tol,1e-08,36.7737109772861,9.130355,0.2482848414629548
