traj,s1,s2,s3
0,3.58290199e-05,0,0
1,0.000979977427,0.000852813071,1.03296197e-05
2,0.0019529491,0.00173595035,2.16510016e-05
3,0.00295525929,0.00265004905,3.40162442e-05
4,0.00398745481,0.00359576265,4.74796434e-05
5,0.00505007291,0.00457374891,6.20975989e-05
6,0.00614365051,0.00558467302,7.79286347e-05
7,0.00726874825,0.00662921788,9.50337708e-05
8,0.00842592958,0.0077080708,0.000113476184
9,0.00961575564,0.00882193167,0.000133321781
10,0.0108387955,0.00997150037,0.000154638707
11,0.0120956488,0.0111575127,0.000177497845
12,0.0133868968,0.0123806903,0.000201973031
13,0.0147131374,0.0136417793,0.00022814043
14,0.0160749741,0.0149415256,0.000256079453
15,0.0174730215,0.0162806846,0.000285872084
16,0.0189079028,0.0176600497,0.000317604106
17,0.0203802288,0.01908038,0.000351363269
18,0.0218906626,0.0205424931,0.000387241918
19,0.0234398302,0.0220471863,0.000425334874
20,0.0250283983,0.0235952828,0.000465740537
21,0.0266570039,0.0251876041,0.00050856109
22,0.0283263493,0.0268250126,0.000553902821
23,0.0300370716,0.0285083242,0.000601874024
24,0.0317898951,0.0302384477,0.000652589602
25,0.0335856155,0.032016214,0.000706168707
26,0.0354249924,0.0338425413,0.000762734388
27,0.0373085514,0.0357183255,0.000822408358
28,0.0392369851,0.0376444645,0.000885321584
29,0.04121105,0.0396219045,0.000951608352
30,0.0432314798,0.0416515917,0.00102140848
31,0.0452990569,0.0437344797,0.00109486713
32,0.0474144444,0.0458714999,0.00117213186
33,0.049578499,0.0480636731,0.00125335867
34,0.0517919101,0.0503119417,0.0013387053
35,0.054055512,0.052617345,0.0014283387
36,0.0563701019,0.0549809039,0.00152242894
37,0.0587364696,0.0574036539,0.00162115274
38,0.0611553676,0.0598865598,0.00172468938
39,0.0636276752,0.0624307543,0.00183323014
40,0.0661542192,0.0650373101,0.00194696884
41,0.0687358305,0.0677073151,0.0020661084
42,0.0713733435,0.0704418346,0.0021908523
43,0.0740676075,0.0732419863,0.00232141651
44,0.076819472,0.0761088952,0.00245802128
45,0.0796299279,0.0790437832,0.0026008999
46,0.0824996755,0.0820476636,0.00275028055
47,0.0854297131,0.0851217806,0.00290641026
48,0.0884210244,0.0882673785,0.00306954375
49,0.0914743766,0.091485545,0.00323993363
50,0.0945907533,0.0947775468,0.00341784884
51,0.0977711082,0.0981446132,0.00360356737
52,0.10101638,0.101588026,0.00379737327
53,0.104327545,0.105109014,0.00399956014
54,0.107705504,0.108708799,0.00421042787
55,0.111151248,0.112388708,0.00443028938
56,0.114665821,0.116150089,0.00465946598
57,0.118250169,0.119994208,0.00489828968
58,0.121905364,0.12392243,0.00514710229
59,0.125632375,0.127936125,0.00540625816
60,0.129432142,0.132036582,0.00567611167
61,0.133305863,0.136225253,0.00595704326
62,0.137254477,0.140503481,0.00624943245
63,0.141279191,0.144872829,0.00655368995
64,0.14538084,0.14933449,0.00687020365
65,0.14956075,0.153890163,0.00719941128
66,0.153819859,0.158541128,0.00754173519
67,0.158159286,0.163288862,0.00789761916
68,0.162580132,0.168134913,0.00826752465
69,0.167083725,0.173080906,0.00865194108
70,0.171670914,0.178128198,0.00905133039
71,0.176343009,0.183278427,0.00946620293
72,0.181101069,0.188533053,0.00989706721
73,0.18594645,0.19389379,0.0103444699
74,0.190880165,0.199362174,0.0108089447
75,0.195903555,0.204939887,0.0112910569
76,0.201017514,0.210628226,0.0117913559
77,0.206223622,0.216429308,0.012310477
78,0.211523026,0.222344592,0.0128490152
79,0.216916725,0.228375629,0.0134075833
80,0.222406164,0.23452419,0.0139868297
81,0.22799255,0.240791976,0.01458742
82,0.233677223,0.247180879,0.0152100483
83,0.239461496,0.253692538,0.0158554129
84,0.245346442,0.260328531,0.0165242031
85,0.251333654,0.267090917,0.0172171965
86,0.257424057,0.273981154,0.0179351065
87,0.263619393,0.281001449,0.0186787676
88,0.269920915,0.288153499,0.0194489658
89,0.276329786,0.295439005,0.0202465001
90,0.282847315,0.302859664,0.0210722014
91,0.289475173,0.310417861,0.021927001
92,0.296214521,0.318114936,0.0228117313
93,0.303066969,0.325953364,0.0237273574
94,0.310033619,0.333934605,0.0246747807
95,0.317116052,0.342060715,0.0256549697
96,0.324315757,0.35033375,0.0266689416
97,0.331634134,0.358755618,0.0277177095
98,0.339072496,0.367328197,0.0288022794
99,0.34663263,0.37605384,0.0299237929
100,0.354315668,0.384934187,0.0310832858
101,0.362123251,0.393971384,0.0322819278
102,0.370056778,0.403167486,0.0335208252
103,0.37811771,0.412524492,0.0348012038
104,0.386307806,0.422044694,0.0361242779
105,0.394628227,0.431729764,0.0374912508
106,0.40308094,0.441582322,0.0389034525
107,0.41166693,0.451603919,0.0403621159
108,0.420388132,0.461796969,0.0418686196
109,0.429246098,0.472163796,0.0434243716
110,0.438242316,0.482706189,0.0450307429
111,0.44737798,0.493426204,0.0466890894
112,0.456655353,0.504326582,0.0484010316
113,0.466075867,0.515409291,0.0501680598
114,0.475640714,0.526676178,0.0519916229
115,0.485351861,0.538129747,0.0538734831
116,0.495211095,0.549772322,0.055815652
117,0.505219519,0.561605513,0.0578193218
118,0.515379071,0.573632002,0.0598862618
