traj,s1,s2,s3
0,4.53999164e-05,0,0
1,0.000989567256,0.000852817378,1.03409338e-05
2,0.00196255674,0.00173595583,2.1673306e-05
3,0.00296489242,0.00265005347,3.40492734e-05
4,0.0039971103,0.00359576545,4.75230809e-05
5,0.00505974423,0.00457374332,6.21510262e-05
6,0.00615334604,0.00558466092,7.79918628e-05
7,0.0072784652,0.00662919646,9.51063776e-05
8,0.0084356647,0.00770803774,0.000113557864
9,0.00962551031,0.0088218851,0.000133412133
10,0.0108485771,0.00997143984,0.000154737412
11,0.0121054603,0.01115744,0.000177604976
12,0.0133967223,0.0123805897,0.000202087671
13,0.0147229899,0.0136416601,0.000228262623
14,0.0160848424,0.0149413738,0.000256208557
15,0.0174829103,0.0162805133,0.00028600829
16,0.0189178176,0.0176598523,0.000317746366
17,0.0203901771,0.0190801583,0.000351512252
18,0.0219006464,0.0205422528,0.000387396925
19,0.0234498437,0.0220469125,0.000425495091
20,0.0250384249,0.0235949699,0.000465906487
21,0.0266670883,0.0251872819,0.000508732919
22,0.0283365007,0.026824696,0.000554079888
23,0.0300472025,0.0285079218,0.000602055283
24,0.0318000652,0.0302380305,0.000652775809
25,0.0335957296,0.0320158005,0.000706357474
26,0.0354348049,0.0338420905,0.000762920768
27,0.0373180695,0.0357178189,0.000822593109
28,0.0392463095,0.0376439914,0.000885504996
29,0.0412201136,0.0396214053,0.000951790542
30,0.0432403274,0.0416510776,0.00102158927
31,0.0453076512,0.0437339507,0.00109504594
32,0.0474228524,0.0458709821,0.00117231044
33,0.0495866723,0.0480631292,0.00125353597
34,0.0517999195,0.0503114089,0.00133888319
35,0.0540632792,0.0526167527,0.00142851484
36,0.056377694,0.0549803339,0.00152260519
37,0.0587438717,0.0574030727,0.00162133062
38,0.0611625835,0.0598859601,0.00172486599
39,0.063634783,0.0624302141,0.00183341
40,0.066161111,0.0650367215,0.00194714812
41,0.0687425807,0.0677067414,0.00206628907
42,0.0713799298,0.070441246,0.00219103624
43,0.074074097,0.0732414201,0.00232160301
44,0.0768258795,0.0761083961,0.00245821476
45,0.0796360746,0.0790432096,0.00260109222
46,0.0825057402,0.082047075,0.00275047612
47,0.0854356661,0.0851211771,0.00290660909
48,0.0884268358,0.0882667825,0.00306974631
49,0.0914800391,0.0914849415,0.00324013806
50,0.0945963636,0.0947770029,0.00341805886
51,0.0977766439,0.0981441066,0.00360378483
52,0.101021729,0.10158743,0.0037975912
53,0.104332753,0.10510838,0.00399978226
54,0.107710712,0.108708292,0.0042106607
55,0.111156367,0.112388186,0.00443052314
56,0.11467085,0.116149575,0.0046597044
57,0.118255027,0.11999359,0.00489853136
58,0.121910118,0.123921864,0.00514734862
59,0.125637054,0.127935588,0.00540650962
60,0.129436716,0.132036,0.00567636639
61,0.133310571,0.136224881,0.00595730962
62,0.137258843,0.140502855,0.00624969695
63,0.141283527,0.144872278,0.00655395351
64,0.145385146,0.149333954,0.00687047793
65,0.149564877,0.153889552,0.0071996781
66,0.153823867,0.158540443,0.00754200201
67,0.158163354,0.163288265,0.00789790228
68,0.162584156,0.168134362,0.00826782268
69,0.167087719,0.173080489,0.0086522419
70,0.171674907,0.178127795,0.00905162934
71,0.176346987,0.183278024,0.00946651772
72,0.181105003,0.188532695,0.00989738759
73,0.185950309,0.193893388,0.0103447996
74,0.19088392,0.199361727,0.0108092679
75,0.19590722,0.204939425,0.0112913866
76,0.201021194,0.210627839,0.0117917014
77,0.206227332,0.21642895,0.0123108299
78,0.211526707,0.222344309,0.0128493831
79,0.216920421,0.228375331,0.0134079615
80,0.222409904,0.234524012,0.0139872367
81,0.22799632,0.240791902,0.0145878494
82,0.233681157,0.247180894,0.0152105121
83,0.23946543,0.253692567,0.0158559028
84,0.245350555,0.260328859,0.0165247452
85,0.251337558,0.267091095,0.0172177535
86,0.257428229,0.27398169,0.0179357324
87,0.263623685,0.281002015,0.0186794382
88,0.269925147,0.288154095,0.0194496792
89,0.276334286,0.29543975,0.0202473011
90,0.282851994,0.302860707,0.0210730955
91,0.289479971,0.310418993,0.0219279807
92,0.296219319,0.318116277,0.0228128042
93,0.303072125,0.325954974,0.02372857
94,0.310038924,0.333936393,0.0246761367
95,0.317121685,0.342062891,0.0256564841
96,0.324321479,0.350336105,0.0266705845
97,0.331640065,0.35875833,0.0277195219
98,0.339078575,0.367331147,0.028804291
99,0.346638829,0.376056939,0.0299259722
100,0.354322225,0.384937674,0.031085683
101,0.362129837,0.393975079,0.0322845094
102,0.370063543,0.40317139,0.0335236713
103,0.378124714,0.412528664,0.0348042548
104,0.386314958,0.422049105,0.0361275859
105,0.394635499,0.431734443,0.0374948382
106,0.403088659,0.441587478,0.0389073975
107,0.411674738,0.451609194,0.0403663851
108,0.420395613,0.461802036,0.041873198
109,0.429254204,0.472169399,0.0434294418
110,0.438250303,0.482711822,0.0450362787
111,0.447386473,0.493432403,0.0466952547
112,0.456663907,0.504332662,0.048407793
113,0.466084421,0.51541537,0.0501754694
114,0.475649446,0.526682377,0.0519997925
115,0.485360891,0.538136303,0.0538824424
116,0.495219737,0.549778402,0.0558249429
117,0.5052284,0.56161195,0.0578290708
118,0.515387833,0.573638678,0.0598964281
119,0.525699735,0.585860133,0.0620287769
120,0.536166549,0.59828043,0.0642280951
121,0.546788931,0.610899866,0.0664960071
122,0.557569027,0.623721719,0.0688344464
123,0.568508804,0.636748552,0.0712454692
124,0.579608738,0.649981141,0.0737307295
125,0.590872109,0.663423359,0.076292567
126,0.602298617,0.677075624,0.078932777
127,0.613892019,0.690942466,0.0816537365
128,0.625653565,0.705025613,0.0844575614
129,0.637583971,0.719326198,0.0873462856
130,0.649684787,0.733846486,0.0903220475
131,0.661958992,0.748590052,0.0933875293
132,0.674407303,0.76355809,0.0965448022
133,0.687032104,0.778753638,0.0997964144
134,0.699834168,0.794178069,0.103144698
135,0.712816179,0.809834301,0.10659226
136,0.725979507,0.825724661,0.110141642
137,0.739325225,0.84185034,0.113795377
138,0.752856731,0.858216107,0.117556542
139,0.76657331,0.87482065,0.121427216
140,0.78047806,0.891668558,0.125410572
141,0.794572175,0.908760965,0.129509345
142,0.808858454,0.926101446,0.133726671
143,0.823338091,0.943691313,0.138065413
144,0.83801198,0.961532354,0.14252837
145,0.852882087,0.979626894,0.147118881
146,0.867950618,0.997977436,0.151840031
147,0.883218765,1.01658583,0.156694889
148,0.898688316,1.03545392,0.161687016
149,0.914361,1.05458426,0.166819587
150,0.930238366,1.07397914,0.17209594
151,0.946321368,1.09363854,0.17751947
152,0.962613702,1.11356783,0.183094338
153,0.979115069,1.13376653,0.188823491
154,0.995827019,1.15423679,0.194710627
155,1.01275218,1.17498088,0.200759917
156,1.02989137,1.19600046,0.206974551
157,1.04724658,1.21729803,0.213359073
158,1.06481898,1.2388742,0.219917029
159,1.08261061,1.26073205,0.226652741
160,1.10062194,1.28287089,0.233569592
161,1.11885548,1.30529499,0.240672544
162,1.13731182,1.32800484,0.24796544
163,1.15599382,1.35100269,0.255452901
164,1.17490077,1.37428761,0.263138533
165,1.19403636,1.3978641,0.271027952
166,1.2134006,1.42173231,0.279124677
167,1.23299503,1.44589317,0.287434012
168,1.25282061,1.470348,0.295960009
169,1.272879,1.49509811,0.304707557
170,1.29317212,1.52014518,0.31368202
171,1.31370091,1.54548979,0.322888017
172,1.33446515,1.57113242,0.33232981
173,1.35546792,1.5970751,0.342013597
174,1.37670839,1.623317,0.351943403
175,1.39818835,1.64985919,0.362124622
176,1.41991079,1.676705,0.372563422
177,1.44187331,1.70385087,0.383264065
178,1.46408021,1.73130107,0.39423275
179,1.48652864,1.75905168,0.405473858
180,1.50922251,1.78710616,0.416993707
181,1.53216207,1.81546414,0.42879799
182,1.55534673,1.84412503,0.440891713
183,1.57877874,1.87308967,0.453281254
184,1.60245836,1.90235734,0.465972483
185,1.62638724,1.93192852,0.47897166
186,1.65056443,1.9618026,0.492283732
187,1.67498982,1.99197781,0.505914748
188,1.69966412,2.02245307,0.519870639
189,1.72458923,2.05322909,0.534158349
190,1.74976444,2.08430624,0.54878366
191,1.77519095,2.11568117,0.563753068
192,1.80086648,2.14735246,0.579072237
193,1.82679355,2.17932081,0.594747841
194,1.8529706,2.21158385,0.610785961
195,1.87939954,2.24413919,0.627194047
196,1.90607989,2.27698731,0.643978298
197,1.93300807,2.31012154,0.661143601
198,1.96018779,2.34354448,0.678698421
199,1.9876169,2.37725115,0.6966483
200,2.01529646,2.41124249,0.715001106
201,2.04322481,2.44551396,0.733762741
202,2.07139969,2.48005915,0.752938867
203,2.09982252,2.51487947,0.772537351
204,2.12849307,2.54997253,0.792565227
205,2.15740848,2.5853312,0.813028932
206,2.18657136,2.62095737,0.833936155
207,2.21597385,2.65683937,0.855290055
208,2.24562168,2.69297957,0.877102315
209,2.27550936,2.72937107,0.899376631
210,2.30563879,2.76601338,0.922121882
211,2.33600545,2.8028965,0.945342302
212,2.36660933,2.8400209,0.96904707
213,2.39744806,2.8773756,0.993240595
214,2.42852044,2.91496158,1.01793253
215,2.45982265,2.95276833,1.04312706
216,2.4913547,2.9907937,1.06883168
217,2.52311397,3.0290308,1.09505224
218,2.55509877,3.06747484,1.12179828
219,2.58730435,3.10611463,1.14907277
220,2.61973238,3.1449523,1.1768862
221,2.65237546,3.18397379,1.20524061
222,2.68523216,3.22317195,1.23414409
223,2.71830106,3.26254392,1.26360369
224,2.75157785,3.30207872,1.29362476
225,2.78506255,3.34177446,1.32421649
226,2.81874442,3.38161421,1.35537815
227,2.85262871,3.42159677,1.38712275
228,2.88670564,3.46171117,1.41945291
229,2.92097259,3.50194764,1.45237267
230,2.95542645,3.5422976,1.48588908
231,2.9900651,3.58275533,1.52000999
232,3.02488232,3.62330818,1.55473924
233,3.05987144,3.66394639,1.59007859
234,3.09503222,3.70465899,1.62603617
235,3.13035798,3.74543881,1.66261768
236,3.16584444,3.78627443,1.69982588
237,3.20148635,3.82715487,1.73766601
238,3.23727918,3.86806917,1.77614331
239,3.27321672,3.90900636,1.81525838
240,3.30929279,3.94995308,1.85501814
241,3.34550619,3.99090385,1.89542651
242,3.38184428,4.03183603,1.93648219
243,3.41830659,4.07274866,1.97819531
244,3.45488763,4.11362362,2.02056694
245,3.49157548,4.15444899,2.06359386
246,3.52837086,4.19521379,2.10728645
247,3.56526566,4.23590565,2.15164447
248,3.60224724,4.27650595,2.19666505
249,3.63931298,4.31700373,2.24235177
250,3.67646074,4.35739326,2.28871417
251,3.71367574,4.39765072,2.33574128
252,3.75095463,4.4377656,2.38343978
253,3.78828669,4.47772121,2.43180799
254,3.82567406,4.51751328,2.48085284
255,3.86309862,4.55711794,2.53056479
256,3.9005568,4.59652281,2.58094859
257,3.93804145,4.63571548,2.63200355
258,3.97554088,4.67467403,2.6837225
259,4.01304674,4.7133894,2.73610473
260,4.05055714,4.75184774,2.78915501
261,4.08805704,4.79003143,2.84286356
262,4.1255455,4.82792902,2.89723682
263,4.1630044,4.86551857,2.95226002
264,4.20043135,4.90278769,3.00793839
265,4.237813,4.93972158,3.06425953
266,4.27514648,4.97630453,3.12123084
267,4.31241417,5.01252031,3.17883253
268,4.34961557,5.04835606,3.23707199
269,4.38673449,5.08378935,3.29593587
270,4.42376757,5.11881399,3.35542488
271,4.46069765,5.15340757,3.41552377
272,4.49752092,5.18755722,3.47623277
273,4.5342288,5.22124863,3.5375433
274,4.57080412,5.25446033,3.59943891
275,4.60724545,5.28718519,3.66192627
276,4.64353609,5.31940079,3.72498441
277,4.67967319,5.35110044,3.78861189
278,4.71564102,5.38226032,3.8527956
279,4.75142908,5.41286898,3.91751909
280,4.78702736,5.44290924,3.98277998
281,4.82243252,5.47237349,4.04857302
282,4.85762882,5.50124311,4.11487722
283,4.89260292,5.52950144,4.18167734
284,4.92734766,5.55713463,4.24896955
285,4.96185493,5.58413219,4.31673908
286,4.99611425,5.61048317,4.38497448
287,5.03011274,5.6361661,4.45366049
288,5.06383991,5.66117525,4.52277851
289,5.09728718,5.68549061,4.5923214
290,5.13044453,5.7091074,4.66227341
291,5.16330099,5.7320075,4.73261642
292,5.19584799,5.75418377,4.80334234
293,5.22807169,5.77561951,4.87441874
294,5.2599659,5.79630756,4.94584942
295,5.29151869,5.81623793,5.01760864
296,5.32271767,5.83539438,5.08967352
297,5.35356188,5.8537755,5.16204405
298,5.38402843,5.87136221,5.23468256
299,5.41412258,5.88815737,5.30759096
300,5.44382238,5.90414143,5.38073587
301,5.47312355,5.91930962,5.45410681
302,5.50201416,5.93365002,5.5276804
303,5.53048944,5.9471674,5.60144186
304,5.55853558,5.95984173,5.67537642
305,5.5861516,5.97167492,5.74945879
306,5.6133194,5.98265553,5.82367277
307,5.64003134,5.99278021,5.89798784
308,5.66628551,6.00204659,5.9724021
309,5.69206619,6.0104475,6.04688501
310,5.71737099,6.01797867,6.12141991
311,5.74218893,6.02463913,6.19598436
312,5.76651287,6.03042364,6.27055883
313,5.79033279,6.03532839,6.34512615
314,5.81364679,6.03935814,6.41966534
315,5.83644438,6.04250717,6.49414968
316,5.85871601,6.04477167,6.56856918
317,5.88045645,6.04615593,6.64289141
318,5.90166521,6.04666281,6.71710348
319,5.9223299,6.04628372,6.79119492
320,5.94244194,6.04503059,6.86512327
321,5.96200371,6.04290342,6.9388876
322,5.98100233,6.03989553,7.01246119
323,5.9994359,6.03602171,7.08582163
324,6.01729727,6.03127813,7.15894842
325,6.03458309,6.02567387,7.23182631
326,6.0512886,6.01920891,7.30443716
327,6.06740904,6.01189184,7.37675428
328,6.08294201,6.00372934,7.44876194
329,6.09788132,5.99471998,7.52045155
330,6.11222363,5.98488092,7.59178448
331,6.1259656,5.97421265,7.66275501
332,6.13910818,5.96272182,7.73335266
333,6.15164137,5.95042181,7.80353832
334,6.16356945,5.93731833,7.87330961
335,6.17488718,5.92342186,7.9426465
336,6.18559217,5.90873861,8.01153088
337,6.19568491,5.89328146,8.07994366
338,6.205163,5.87705803,8.14787579
339,6.21402264,5.8600812,8.21530342
340,6.22226858,5.8423667,8.28221321
341,6.22989416,5.82391167,8.3485899
342,6.23690367,5.80474043,8.4144249
343,6.2432971,5.78485966,8.47970009
344,6.2490716,5.76428747,8.54439545
345,6.25423193,5.74303436,8.60849667
346,6.25877237,5.72110844,8.67200089
347,6.26270008,5.69852448,8.73489475
348,6.26601553,5.67530298,8.79715633
349,6.2687192,5.6514492,8.85878181
350,6.27081108,5.62698078,8.91975498
351,6.27229691,5.60191059,8.98007393
352,6.27318001,5.57626486,9.03970909
353,6.27345562,5.55003977,9.09866428
354,6.27313471,5.52325916,9.15694046
355,6.2722168,5.49594307,9.21450043
356,6.27070475,5.4680934,9.27136326
357,6.26860285,5.43973732,9.3275032
358,6.26591873,5.41088915,9.38291454
359,6.26264811,5.38155699,9.43759727
360,6.25880289,5.35176229,9.49154282
361,6.25438356,5.32151794,9.54474258
362,6.24939442,5.2908411,9.59719181
363,6.24384212,5.25974798,9.64888191
364,6.23773479,5.22826052,9.69981003
365,6.23107243,5.19638395,9.74997425
366,6.22386026,5.16413069,9.79936981
367,6.21610975,5.13153362,9.84799099
368,6.20782042,5.09859419,9.89583397
369,6.19900322,5.06533289,9.94290257
370,6.18965769,5.03176022,9.98918915
371,6.17979574,4.99790192,10.0346928
372,6.16942453,4.96376991,10.0794077
373,6.15854645,4.92937231,10.1233397
374,6.14716673,4.89472818,10.1664848
375,6.13530111,4.85985899,10.2088509
376,6.12294722,4.82477236,10.2504196
377,6.11011553,4.78948498,10.2912111
378,6.09681892,4.75401354,10.3312206
379,6.08304977,4.71836472,10.3704433
380,6.06883097,4.68256664,10.4088764
381,6.05415916,4.64661694,10.4465456
382,6.03905344,4.61054945,10.4834299
383,6.02350569,4.57435226,10.5195436
384,6.00753832,4.53806639,10.5548811
385,5.99114943,4.50168419,10.5894547
386,5.97435522,4.46523428,10.6232653
387,5.95715523,4.42871618,10.6563168
388,5.93955898,4.3921504,10.688611
389,5.92157793,4.35554552,10.7201538
390,5.90321684,4.31891775,10.7509508
391,5.88448858,4.28227711,10.7810078
392,5.86539602,4.24563313,10.8103266
393,5.84594727,4.20900106,10.8389158
394,5.82615471,4.17239046,10.8667803
395,5.80601931,4.13580894,10.8939228
396,5.78555441,4.09927082,10.9203548
397,5.76477051,4.06278753,10.946084
398,5.7436657,4.0263629,10.9711084
399,5.72226477,3.99002314,10.9954424
400,5.70055771,3.95376015,11.0190849
401,5.67856264,3.917588,11.042058
402,5.65628576,3.88152051,11.0643539
403,5.63372946,3.84555674,11.0859823
404,5.61090994,3.80971527,11.1069498
405,5.58783722,3.77400708,11.1272745
406,5.5645051,3.7384274,11.1469498
407,5.5409317,3.70299149,11.1659946
408,5.51712894,3.66771126,11.184412
409,5.49309063,3.63258004,11.2022104
410,5.46883774,3.59761953,11.2193985
411,5.44436646,3.56282425,11.2359858
412,5.41969299,3.52821279,11.2519684
413,5.39482355,3.49378562,11.2673702
414,5.36976194,3.45954418,11.2821941
415,5.34452248,3.42550445,11.2964563
416,5.31909895,3.39166093,11.3101416
417,5.29351091,3.35802722,11.3232727
418,5.26776457,3.32460308,11.3358717
419,5.24186182,3.29139519,11.3479233
420,5.21580982,3.25841188,11.3594484
421,5.18961811,3.22565031,11.370451
422,5.16329718,3.19312453,11.3809433
423,5.13684225,3.16082311,11.3909349
424,5.11026859,3.12876201,11.400425
425,5.08357763,3.09693599,11.4094353
426,5.05678129,3.06536126,11.4179544
427,5.02988672,3.03403115,11.426013
428,5.00289869,3.00295401,11.433609
429,4.97581625,2.97212338,11.4407444
430,4.94865131,2.94154549,11.4474392
431,4.92140865,2.91122866,11.4536934
432,4.89409161,2.88115978,11.4595194
433,4.86671591,2.85136366,11.4649229
434,4.83927631,2.82182598,11.4699097
435,4.8117795,2.7925477,11.4744921
436,4.7842412,2.76354384,11.4786787
437,4.75665474,2.73480248,11.4824686
438,4.72903109,2.70632648,11.485878
439,4.70137215,2.67812109,11.4889107
440,4.67368364,2.65018177,11.4915752
441,4.64597273,2.62251234,11.4938793
442,4.6182456,2.59511662,11.4958344
443,4.59050179,2.56798458,11.4974403
444,4.56275225,2.54112935,11.4987097
445,4.53499603,2.51454329,11.4996424
446,4.50723839,2.48822451,11.5002565
447,4.47948599,2.46217608,11.5005503
448,4.45173883,2.43639827,11.5005302
449,4.42401028,2.41089368,11.5002136
