traj,s1,s2,s3
0,4.53323446e-05,0,0
1,0.000989500317,0.000852816389,1.03406574e-05
2,0.00196248852,0.00173595501,2.16727676e-05
3,0.00296482537,0.00265005301,3.40484694e-05
4,0.00399704184,0.00359576195,4.75219967e-05
5,0.00505967485,0.00457373913,6.21496656e-05
6,0.00615327293,0.0055846544,7.7990182e-05
7,0.00727839861,0.00662919227,9.51045731e-05
8,0.00843559578,0.00770803215,0.000113555754
9,0.00962544698,0.00882188044,0.00013340982
10,0.0108485166,0.00997143891,0.000154734924
11,0.012105383,0.0111574261,0.00017760192
12,0.0133966599,0.0123805888,0.000202084644
13,0.0147229126,0.0136416433,0.000228259218
14,0.0160847828,0.0149413738,0.00025620521
15,0.0174828563,0.016280517,0.00028600471
16,0.0189177524,0.0176598411,0.000317742437
17,0.0203901194,0.0190801583,0.000351507973
18,0.0219005812,0.0205422435,0.000387392414
19,0.0234497804,0.0220469125,0.000425490929
20,0.0250383802,0.0235949848,0.000465902529
21,0.0266670138,0.0251872689,0.000508727913
22,0.028336402,0.026824655,0.000554074883
23,0.0300471205,0.0285078995,0.000602050044
24,0.0317999907,0.0302380007,0.000652770395
25,0.0335956402,0.0320157707,0.000706351537
26,0.0354347639,0.033842098,0.000762916578
27,0.0373180211,0.0357178375,0.000822587986
28,0.0392462239,0.0376439765,0.000885499292
29,0.0412200876,0.0396214351,0.000951785885
30,0.0432402827,0.0416511036,0.00102158426
31,0.0453076102,0.0437339731,0.00109504187
32,0.0474227928,0.0458709821,0.00117230462
33,0.0495866202,0.0480631366,0.00125353097
34,0.0517998599,0.0503114201,0.00133887806
35,0.0540632419,0.0526167788,0.00142851006
36,0.0563776791,0.0549803711,0.0015226017
37,0.0587438308,0.0574030727,0.00162132387
38,0.06116255,0.0598859787,0.00172486191
39,0.0636347011,0.0624301881,0.00183340453
40,0.0661611184,0.0650367886,0.00194714661
41,0.0687424913,0.0677066967,0.00206628302
42,0.0713799,0.0704412684,0.00219103182
43,0.074074015,0.0732414126,0.00232159742
44,0.0768258199,0.0761083961,0.00245820894
45,0.0796361119,0.0790432468,0.00260108919
46,0.0825057402,0.0820471272,0.00275047449
47,0.0854355991,0.0851211846,0.00290660281
48,0.0884267688,0.0882667825,0.00306973932
49,0.0914800465,0.0914850086,0.0032401355
50,0.0945963338,0.0947770178,0.00341805746
51,0.0977765992,0.098144114,0.00360378157
52,0.101021759,0.101587519,0.00379759097
53,0.104332767,0.105108447,0.00399977947
54,0.10771054,0.108708166,0.0042106472
55,0.111156225,0.112388104,0.00443051197
56,0.114670694,0.116149478,0.00465969415
57,0.118254982,0.119993627,0.00489852391
58,0.121910088,0.123921871,0.00514734117
59,0.125637054,0.127935618,0.0054065045
60,0.129436716,0.132036,0.00567635754
61,0.133310333,0.136224672,0.00595729006
62,0.137258843,0.1405029,0.00624968112
63,0.141283467,0.144872233,0.00655394141
64,0.145385221,0.149334103,0.00687047048
65,0.149564892,0.153889582,0.00719966367
66,0.153823912,0.158540532,0.00754198991
67,0.158163249,0.16328828,0.00789787434
68,0.162584156,0.168134391,0.00826779194
69,0.16708757,0.173080325,0.00865220092
70,0.171674669,0.178127587,0.00905158278
71,0.176346734,0.18327783,0.00946646463
72,0.181105003,0.188532695,0.00989735126
73,0.185950264,0.193893418,0.0103447512
74,0.190883875,0.199361712,0.0108092139
75,0.19590722,0.204939455,0.0112913316
76,0.201021224,0.210627913,0.0117916455
77,0.206227452,0.216429144,0.0123107862
78,0.211526841,0.222344458,0.0128493346
79,0.21692054,0.228375494,0.0134079084
80,0.22240977,0.234523878,0.0139871454
81,0.227996558,0.24079217,0.0145877991
82,0.233681172,0.247180998,0.0152104329
83,0.23946552,0.253692776,0.0158558208
84,0.245350316,0.26032865,0.0165246204
85,0.251337618,0.267091215,0.0172176529
86,0.257428348,0.27398181,0.0179356355
87,0.263623774,0.281002194,0.0186793543
88,0.269925356,0.288154364,0.0194495972
89,0.276334286,0.295439869,0.0202471875
90,0.282852024,0.302860826,0.0210729837
91,0.28948012,0.310419261,0.021927882
92,0.296219647,0.318116605,0.0228127148
93,0.303072155,0.325955033,0.0237284414
94,0.310039043,0.333936602,0.0246759988
95,0.317122012,0.342063278,0.025656376
96,0.324321926,0.350336611,0.0266705099
97,0.331640571,0.358758807,0.0277194306
98,0.339078993,0.367331594,0.02880417
99,0.346639037,0.376057118,0.0299258232
100,0.354322493,0.384938002,0.0310855508
101,0.362130284,0.393975586,0.0322844014
102,0.370063752,0.403171688,0.0335234813
103,0.378124982,0.412529022,0.0348041058
104,0.386315018,0.422049284,0.0361273959
105,0.394635975,0.431735009,0.0374947079
106,0.403088808,0.441587746,0.0389072187
107,0.411674887,0.451609403,0.0403661989
108,0.420396566,0.461803079,0.041873157
109,0.429254681,0.472170025,0.0434293076
110,0.43825081,0.482712448,0.0450361148
111,0.447386652,0.493432641,0.0466950089
112,0.456664115,0.504333079,0.0484075509
113,0.466084778,0.515415788,0.0501752533
114,0.475650042,0.526683092,0.0519996509
115,0.485361159,0.538136542,0.0538822375
116,0.495220393,0.549779177,0.0558248013
117,0.505228698,0.561612487,0.0578288287
118,0.515388489,0.573639393,0.0598962829
119,0.525700808,0.585861564,0.062028721
120,0.536167502,0.598281503,0.0642279908
121,0.546789765,0.610901058,0.0664958656
122,0.557569623,0.623722494,0.068834275
123,0.568509161,0.63674885,0.0712451786
124,0.57961005,0.649982631,0.0737307146
125,0.590872467,0.663423836,0.0762923583
126,0.602300286,0.677077651,0.0789328068
127,0.613892853,0.690943599,0.0816535428
128,0.625654638,0.705026984,0.084457472
129,0.637584686,0.719327033,0.0873460695
130,0.649685323,0.733847201,0.090321824
131,0.661960006,0.748591244,0.0933873877
132,0.674408436,0.763559461,0.096544683
133,0.687032998,0.778754711,0.0997962281
134,0.699834824,0.794178665,0.103144377
135,0.712817252,0.809835732,0.106592074
136,0.725980282,0.825725615,0.110141441
137,0.739326239,0.841851711,0.113795191
138,0.752857685,0.85821718,0.117556348
139,0.766574502,0.874822199,0.121427096
140,0.780479491,0.891670108,0.125410467
141,0.79457432,0.908763289,0.12950936
142,0.808859408,0.926102579,0.133726344
143,0.823339164,0.943692863,0.138065249
144,0.83801347,0.961534142,0.142528325
145,0.852883339,0.979628444,0.147118717
146,0.86795181,0.997979045,0.151839823
147,0.8832196,1.01658678,0.156694636
148,0.898689866,1.03545582,0.161686972
149,0.914362133,1.05458581,0.166819319
150,0.930239856,1.07398081,0.17209582
151,0.946323454,1.09364092,0.17751959
152,0.962615669,1.11357045,0.183094442
153,0.979116142,1.1337682,0.188823283
154,0.995828331,1.15423822,0.194710478
155,1.01275373,1.17498243,0.200759694
156,1.02989244,1.19600177,0.206974372
157,1.04724836,1.21729982,0.213359088
158,1.06482029,1.23887587,0.219916731
159,1.08261204,1.26073384,0.226652488
160,1.10062349,1.28287315,0.233569473
161,1.11885726,1.30529761,0.240672603
162,1.13731444,1.32800794,0.247965649
163,1.15599489,1.35100365,0.255452484
164,1.17490304,1.37429011,0.263138741
165,1.19403756,1.39786577,0.271027476
166,1.21340382,1.42173588,0.279125333
167,1.23299813,1.44589663,0.287434399
168,1.25282335,1.47035122,0.295960188
169,1.27288079,1.49509954,0.304707348
170,1.29317474,1.52014828,0.313682467
171,1.31370258,1.54549229,0.322887957
172,1.33446705,1.57113516,0.332329899
173,1.35547018,1.59707808,0.342013776
174,1.37671018,1.62331939,0.351943344
175,1.39819133,1.64986289,0.362125009
176,1.41991258,1.67670751,0.37256366
177,1.4418751,1.70385277,0.383263916
178,1.46408176,1.73130286,0.39423281
179,1.4865334,1.75905704,0.405475229
180,1.50922561,1.78710985,0.416994423
181,1.53216553,1.81546819,0.428798616
182,1.55534887,1.84412801,0.440891951
183,1.57878137,1.87309217,0.453281552
184,1.60246181,1.90236115,0.465973228
185,1.6263932,1.93193567,0.478973746
186,1.65056813,1.96180737,0.492284864
187,1.67499304,1.99198139,0.505915523
188,1.69966638,2.02245569,0.519870639
189,1.7245928,2.05323434,0.534159184
190,1.74976599,2.08430815,0.548783302
191,1.7751931,2.11568451,0.563753486
192,1.80087006,2.14735723,0.579073191
193,1.82679558,2.17932343,0.594747901
194,1.85297561,2.21158862,0.610787928
195,1.87940228,2.24414253,0.627194524
196,1.90608406,2.27699137,0.643979669
197,1.93301189,2.3101263,0.661144793
198,1.96019244,2.34355021,0.678700387
199,1.98762119,2.37725687,0.696649969
200,2.01530099,2.41124845,0.715002954
201,2.04322767,2.44551706,0.733763218
202,2.07140398,2.48006463,0.752940238
203,2.09982872,2.51488733,0.77254039
204,2.12849522,2.54997516,0.792565584
205,2.15741229,2.58533669,0.813029766
206,2.18657637,2.62096381,0.833938718
207,2.21597672,2.65684271,0.855290771
208,2.24562645,2.69298601,0.8771047
209,2.27551532,2.72937846,0.899379075
210,2.30564284,2.76601863,0.922122896
211,2.33600926,2.80290198,0.945343733
212,2.36661243,2.84002376,0.969047606
213,2.39745188,2.87738109,0.993242323
214,2.42852545,2.91496778,1.01793504
215,2.45982623,2.95277429,1.04312718
216,2.49136186,2.99080229,1.0688349
217,2.52311969,3.02903748,1.09505558
218,2.55510497,3.06748128,1.12180114
219,2.58731103,3.10612321,1.14907694
220,2.61973381,3.14495492,1.17688537
221,2.65237808,3.18397689,1.20524096
222,2.68523884,3.22318053,1.23414803
