traj,s1,s2,s3
0,4.5371813e-05,0,0
1,0.000989538035,0.000852816098,1.03410794e-05
2,0.00196252856,0.00173595536,2.1673628e-05
3,0.00296486495,0.00265005371,3.40497318e-05
4,0.00399708049,0.00359576289,4.75237102e-05
5,0.0050597135,0.00457373913,6.21517829e-05
6,0.00615331344,0.0055846558,7.79927504e-05
7,0.00727843354,0.00662918948,9.51074762e-05
8,0.00843563583,0.00770803168,0.000113559159
9,0.00962547958,0.00882187393,0.000133413632
10,0.0108485529,0.00997143704,0.000154739129
11,0.012105423,0.011157427,0.000177606591
12,0.0133966981,0.0123805907,0.000202089825
13,0.0147229675,0.013641661,0.000228264864
14,0.0160848051,0.0149413608,0.00025621106
15,0.0174828842,0.0162805077,0.000286010792
16,0.0189177878,0.0176598411,0.000317749393
17,0.0203901585,0.0190801583,0.000351515308
18,0.021900611,0.0205422416,0.000387400039
19,0.0234498046,0.0220468957,0.000425498671
20,0.0250384007,0.023594968,0.00046590995
21,0.0266670659,0.0251872838,0.000508736586
22,0.0283364188,0.0268246382,0.000554082799
23,0.0300471913,0.0285079349,0.000602060056
24,0.0318000242,0.030237997,0.00065277965
25,0.0335956588,0.0320157595,0.000706361025
26,0.0354347676,0.0338420644,0.000762925541
27,0.0373180546,0.0357178263,0.000822598173
28,0.0392462388,0.0376439467,0.000885509537
29,0.0412200801,0.0396213941,0.000951795606
30,0.0432402939,0.0416510738,0.00102159474
31,0.0453076102,0.0437339395,0.00109505188
32,0.0474228077,0.0458709672,0.00117231614
33,0.0495866351,0.0480631106,0.00125354214
34,0.0517998226,0.0503113531,0.00133888819
35,0.0540632866,0.0526167825,0.00142852229
36,0.0563776717,0.0549803376,0.00152261241
37,0.058743801,0.0574030131,0.00162133435
38,0.0611625463,0.0598859377,0.00172487344
39,0.0636347234,0.062430162,0.00183341745
40,0.0661611184,0.0650367439,0.00194715825
41,0.0687426031,0.0677067712,0.00206629955
42,0.0713799596,0.0704413056,0.00219104602
43,0.0740740225,0.0732413903,0.00232160953
44,0.0768258646,0.076108411,0.00245822221
45,0.0796360001,0.0790431276,0.00260109664
46,0.0825056732,0.0820470154,0.00275048264
47,0.0854355916,0.0851211548,0.00290661585
48,0.0884267837,0.0882667601,0.00306975422
49,0.0914799869,0.0914848894,0.00324014551
50,0.0945963487,0.094776988,0.00341807073
51,0.0977765694,0.0981440619,0.00360379391
52,0.101021759,0.101587504,0.0037976054
53,0.104332775,0.10510844,0.0039997953
54,0.107710607,0.108708188,0.00421066629
55,0.1111563,0.112388149,0.00443053152
56,0.114670709,0.116149455,0.00465971092
57,0.118254974,0.119993575,0.00489853881
58,0.121910043,0.123921819,0.0051473584
59,0.125636965,0.127935454,0.00540651521
60,0.129436627,0.132035851,0.00567636825
61,0.133310318,0.136224613,0.00595730916
62,0.137258857,0.140502885,0.00624970486
63,0.141283467,0.144872189,0.00655396609
64,0.145385072,0.149333894,0.00687048445
65,0.149564862,0.153889492,0.00719969161
66,0.153823957,0.158540517,0.00754201971
67,0.158163279,0.163288251,0.0078979088
68,0.162583992,0.168134212,0.00826781429
69,0.1670876,0.173080355,0.0086522419
70,0.171674669,0.178127542,0.00905162748
71,0.176346749,0.183277771,0.00946651027
72,0.181104898,0.188532561,0.00989738945
73,0.1859501,0.193893254,0.0103447903
74,0.190883905,0.199361682,0.010809279
75,0.195907265,0.204939455,0.0112913949
76,0.201021209,0.210627839,0.0117917107
77,0.206227392,0.216429055,0.0123108514
78,0.211526677,0.222344294,0.0128493868
79,0.216920406,0.228375301,0.0134079708
80,0.222409904,0.234524027,0.0139872404
81,0.227996245,0.240791813,0.0145878475
82,0.233681127,0.247180939,0.0152105214
83,0.239465237,0.253692448,0.0158558879
84,0.245350212,0.260328442,0.0165247098
85,0.251337469,0.267090976,0.017217746
86,0.257428318,0.27398175,0.0179357398
87,0.263623565,0.281001955,0.0186794251
88,0.269925088,0.288154036,0.0194496792
89,0.276333958,0.295439601,0.0202472731
90,0.282851756,0.302860558,0.0210730806
91,0.289479792,0.310418874,0.0219279565
92,0.296219617,0.318116605,0.0228128396
93,0.303072095,0.325954944,0.0237285681
94,0.310038835,0.333936304,0.0246761013
95,0.317121685,0.342062891,0.0256564636
96,0.324321479,0.350336045,0.0266705863
97,0.331640184,0.35875836,0.0277195312
98,0.339078605,0.367331147,0.0288042631
99,0.346638858,0.376056939,0.029925948
100,0.354322255,0.384937793,0.0310856737
101,0.362129837,0.393975079,0.0322844908
102,0.370063633,0.403171569,0.033523649
103,0.378124714,0.412528723,0.0348042473
104,0.386314869,0.422049016,0.0361275449
105,0.394635558,0.431734562,0.037494801
106,0.403088629,0.441587538,0.0389073454
107,0.411674827,0.451609403,0.0403663702
108,0.420396268,0.461802751,0.0418732725
109,0.429253966,0.47216922,0.043429371
110,0.438250422,0.482712001,0.0450362414
111,0.447386593,0.493432432,0.046695184
112,0.456663609,0.504332423,0.0484076664
113,0.466084808,0.515415847,0.0501754619
114,0.475649595,0.526682556,0.0519997627
115,0.485360742,0.538136065,0.0538823493
116,0.495219797,0.549778581,0.0558248684
117,0.505228281,0.56161201,0.057828974
118,0.515387833,0.573638737,0.0598963276
119,0.525700331,0.585861027,0.0620288178
120,0.536166787,0.598280609,0.0642280504
121,0.546789408,0.610900521,0.0664959475
122,0.557569563,0.623722374,0.0688344166
123,0.568508685,0.636748195,0.0712453052
124,0.579609275,0.64998138,0.073730737
125,0.590872109,0.663423359,0.0762924701
126,0.602299452,0.677076638,0.0789327845
127,0.613892376,0.690943062,0.0816536546
128,0.625653863,0.705025971,0.0844574422
129,0.637583852,0.719326198,0.087346077
130,0.649685502,0.733847201,0.0903220177
131,0.661959291,0.748590469,0.0933873579
132,0.674407959,0.763558924,0.0965447351
