traj,s1,s2,s3
0,4.86233839e-05,0,0
1,0.00099227461,0.000852810743,1.03414932e-05
2,0.00196520612,0.00173594337,2.16744138e-05
3,0.00296778767,0.00265003648,3.40508013e-05
4,0.00400060276,0.00359573471,4.75254055e-05
5,0.0050637708,0.00457369909,6.21527142e-05
6,0.00615655631,0.00558461854,7.79952461e-05
7,0.00728526944,0.00662909029,9.51063485e-05
8,0.00844207685,0.00770792272,0.000113558031
9,0.00962809566,0.00882182829,0.000133416921
10,0.0108516207,0.00997136813,0.000154742884
11,0.0121126072,0.0111572556,0.000177603404
12,0.0133995796,0.0123805152,0.000202092706
13,0.0147283124,0.0136415064,0.000228263889
14,0.0160876326,0.0149412882,0.000256214611
15,0.0174881462,0.0162803475,0.000286009483
16,0.0189241301,0.0176596325,0.000317744853
17,0.0203954838,0.0190799739,0.000351512892
18,0.0219048057,0.0205420908,0.000387400418
19,0.0234522745,0.0220468119,0.0004255042
20,0.0250414014,0.0235948581,0.000465916237
21,0.0266704466,0.0251871292,0.000508738449
22,0.0283426717,0.0268243533,0.000554075406
23,0.0300522707,0.028507689,0.000602055341
24,0.0318045691,0.0302377846,0.000652776682
25,0.0336004905,0.0320155136,0.000706356717
26,0.0354391523,0.0338418372,0.000762921933
27,0.0373210907,0.0357176699,0.000822604459
28,0.0392528698,0.0376435854,0.000885494635
29,0.0412239619,0.0396211781,0.000951793336
30,0.0432450287,0.0416507907,0.00102158752
31,0.0453114621,0.0437337123,0.0010950492
32,0.0474294834,0.0458705276,0.00117229647
33,0.0495893955,0.0480629355,0.0012535454
34,0.0518039912,0.0503111035,0.0013388826
35,0.0540687256,0.0526163988,0.0014285068
36,0.0563800037,0.0549801625,0.00152261823
37,0.058748316,0.0574027151,0.00162132538
38,0.0611699037,0.0598854162,0.00172484387
39,0.0636380762,0.062429931,0.0018334128
40,0.0661635771,0.0650365353,0.00194715953
41,0.068747431,0.0677063167,0.00206627999
42,0.0713869184,0.07044065,0.00219100807
43,0.0740809888,0.0732407793,0.00232157414
44,0.0768285915,0.0761080906,0.00245821802
45,0.0796412081,0.0790427029,0.00260107312
46,0.0825122595,0.0820464715,0.00275044562
47,0.0854428336,0.085120514,0.00290657161
48,0.08843413,0.0882660672,0.00306970463
49,0.0914859548,0.0914843753,0.00324010919
50,0.0946016908,0.094776459,0.00341803534
51,0.0977820456,0.0981434733,0.00360375433
52,0.101027608,0.101586856,0.00379756256
53,0.10433802,0.105107866,0.00399975432
54,0.107717082,0.10870751,0.00421061227
55,0.111163534,0.112387329,0.00443046819
56,0.114676863,0.116148837,0.00465966202
57,0.118260354,0.119993053,0.00489849877
58,0.121916488,0.123921089,0.00514729833
59,0.125639305,0.127935275,0.00540651893
60,0.129439175,0.132035732,0.00567637291
61,0.133315772,0.136224017,0.0059572584
62,0.137261808,0.140502587,0.00624969741
63,0.141289219,0.144871503,0.00655390322
64,0.145391434,0.149333119,0.00687041273
65,0.149572134,0.153888613,0.007199605
66,0.15382883,0.158539847,0.0075419643
67,0.15816924,0.163287416,0.00789783243
68,0.162589505,0.168133691,0.00826776493
69,0.167093053,0.173079565,0.00865216553
70,0.171681091,0.178126827,0.00905155111
71,0.176352724,0.183277085,0.00946643483
72,0.181107193,0.188532233,0.009897382
73,0.185955107,0.193892613,0.0103447353
74,0.190889329,0.199360967,0.0108091999
75,0.195912763,0.204938546,0.0112913018
76,0.201026917,0.21062699,0.0117916241
77,0.206233919,0.216428012,0.012310734
78,0.21153225,0.222343355,0.0128492946
