traj,s1,s2,s3
0,4.54000838e-05,0,0
1,0.000989567488,0.000852817204,1.03409102e-05
2,0.0019625565,0.00173595583,2.1673266e-05
3,0.00296489382,0.0026500558,3.40492224e-05
4,0.00399710936,0.00359576498,4.75229863e-05
5,0.00505974563,0.00457374472,6.21509244e-05
6,0.00615334557,0.00558466138,7.79916882e-05
7,0.00727846567,0.00662919553,9.51061811e-05
8,0.00843566656,0.00770803727,0.000113557682
9,0.00962551404,0.00882188417,0.000133412032
10,0.0108485809,0.0099714417,0.000154737281
11,0.0121054538,0.0111574344,0.000177604656
12,0.0133967241,0.0123805925,0.000202087467
13,0.0147229889,0.0136416573,0.000228262375
14,0.0160848442,0.0149413757,0.000256208383
15,0.0174829233,0.0162805226,0.000286008057
16,0.0189178269,0.017659856,0.000317746453
17,0.0203901865,0.019080162,0.00035151199
18,0.0219006445,0.0205422491,0.00038739646
19,0.0234498475,0.022046918,0.000425495236
20,0.0250384435,0.0235949885,0.000465906458
21,0.0266670864,0.02518728,0.000508732279
22,0.028336456,0.0268246494,0.000554078666
23,0.0300472211,0.0285079405,0.000602055283
24,0.0318000652,0.0302380212,0.00065277511
25,0.0335957035,0.0320157818,0.000706356543
26,0.0354348011,0.0338420793,0.000762920245
27,0.0373180993,0.0357178524,0.000822592992
28,0.0392462984,0.037643984,0.000885504473
29,0.0412201285,0.0396214165,0.000951790018
30,0.0432403423,0.0416511036,0.00102158939
31,0.0453076512,0.0437339544,0.00109504559
32,0.0474228412,0.0458709747,0.00117230974
33,0.0495866798,0.0480631366,0.00125353562
34,0.0517999083,0.0503114127,0.00133888249
35,0.0540633202,0.0526168086,0.00142851542
36,0.0563777164,0.0549803562,0.00152260566
37,0.0587438717,0.0574030615,0.00162132841
38,0.0611625984,0.059885975,0.00172486622
39,0.0636347979,0.0624302216,0.00183341012
40,0.0661611706,0.0650367811,0.00194715045
41,0.0687426105,0.0677067637,0.00206628954
42,0.0713799521,0.0704412684,0.00219103578
43,0.0740740746,0.0732414201,0.00232160254
44,0.0768258348,0.0761083513,0.00245821103
45,0.0796360746,0.0790431723,0.00260108896
46,0.0825057402,0.0820470825,0.00275047449
47,0.085435681,0.0851212144,0.00290660886
48,0.0884268507,0.0882668123,0.00306974514
49,0.0914800763,0.0914849713,0.00324013853
50,0.0945963487,0.094776988,0.00341805862
51,0.0977765843,0.0981440619,0.00360378181
52,0.101021767,0.101587474,0.00379759329
53,0.104332805,0.105108447,0.00399978366
54,0.107710674,0.108708248,0.00421065651
55,0.111156344,0.112388179,0.00443052221
56,0.114670806,0.116149537,0.00465970393
57,0.118255049,0.119993642,0.00489853183
58,0.121910155,0.123921901,0.00514735049
59,0.125637025,0.127935559,0.00540650636
60,0.129436746,0.132036015,0.00567636499
61,0.133310392,0.136224717,0.00595730264
62,0.137258902,0.140502915,0.00624969648
63,0.141283497,0.144872233,0.00655395305
64,0.145385131,0.149333939,0.00687047467
65,0.149564952,0.153889596,0.00719968462
66,0.153823927,0.158540487,0.00754200434
67,0.158163339,0.163288295,0.00789790135
68,0.16258423,0.168134451,0.00826782174
69,0.167087629,0.173080355,0.00865222979
70,0.171674803,0.178127661,0.00905162375
71,0.176346868,0.183277905,0.00946650561
72,0.181104988,0.188532636,0.00989738572
73,0.185950249,0.193893343,0.0103447866
74,0.190883979,0.199361771,0.0108092707
75,0.195907295,0.20493947,0.0112913884
76,0.201021299,0.210627899,0.0117917061
77,0.206227407,0.21642904,0.0123108402
78,0.211526692,0.222344279,0.0128493821
79,0.216920435,0.228375345,0.0134079615
80,0.222409919,0.234524012,0.0139872348
81,0.227996424,0.240791991,0.0145878587
82,0.233681098,0.247180864,0.0152105056
83,0.239465356,0.253692567,0.0158558916
84,0.245350435,0.26032874,0.0165247284
85,0.251337528,0.267091066,0.0172177441
