framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,tsit5,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,tsit5,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,,128,0,
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,,512,0,
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,,2048,0,
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,,2048,0,
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,,8192,0,
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,,8192,0,
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,,32768,0,
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,,32768,0,
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,,131072,0,
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,,524288,0,
julia,tsit5,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
julia,tsit5,performance,adaptive,julia,2097152,tol,1.0e-8,,2097152,0,
julia,tsit5,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
julia,tsit5,performance,adaptive,julia,8388608,tol,1.0e-8,,8388608,0,
julia,tsit5,numerical,adaptive,julia,1024,tol,0.010000000000000002,0.05983232558008733,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p01.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,0.001,0.007229451659080034,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p001.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,0.0001,0.0009211146809510822,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p0001.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-5,6.122606577897692e-5,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em05.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-6,3.803457620792072e-6,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em06.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,2.392057048376469e-6,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em07.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-8,3.1697438597014092e-6,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em08.csv
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.0625,0.004405430864764873,131072,0,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.03125,3.835593621659586e-5,131072,0,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.015625,2.181280724808902e-6,131072,0,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.0078125,1.923139036459124e-6,131072,0,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.00390625,2.476387853577453e-6,131072,0,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.001953125,3.4213753183648374e-6,131072,0,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.0009765625,4.8076021522898256e-6,131072,0,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.00048828125,6.810032555255698e-6,131072,0,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.000244140625,9.634494283283909e-6,131072,0,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.0001220703125,1.3469230616338559e-5,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.010000000000000002,0.05978391031851728,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.001,0.0072155704397689506,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.0001,0.0009208428917777429,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-5,6.101195397266501e-5,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-6,3.676264506716112e-6,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,2.394379021575526e-6,131072,0,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-8,3.130457604538846e-6,131072,0,
julia,vern7,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,vern7,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,vern7,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,vern7,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,vern7,performance,fixed,fixed,128,dt,0.0009765625,,128,0,
julia,vern7,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,vern7,performance,fixed,fixed,512,dt,0.0009765625,,512,0,
julia,vern7,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,vern7,performance,fixed,fixed,2048,dt,0.0009765625,,2048,0,
julia,vern7,performance,adaptive,julia,2048,tol,1.0e-8,,2048,0,
julia,vern7,performance,fixed,fixed,8192,dt,0.0009765625,,8192,0,
julia,vern7,performance,adaptive,julia,8192,tol,1.0e-8,,8192,0,
julia,vern7,performance,fixed,fixed,32768,dt,0.0009765625,,32768,0,
julia,vern7,performance,adaptive,julia,32768,tol,1.0e-8,,32768,0,
julia,vern7,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
julia,vern7,performance,adaptive,julia,131072,tol,1.0e-8,,131072,0,
