framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,kvaerno3,performance,adaptive,julia,both,128,tol,1.0e-8,20,3.2708,3.29303,3.34265,3.45513,3.5849
julia,kvaerno3,performance,adaptive,julia,both,131072,tol,1.0e-8,20,17.2249,17.239435,17.496000000000002,17.70801,17.788
julia,kvaerno3,performance,adaptive,julia,both,2048,tol,1.0e-8,20,3.4064,3.418845,3.4549000000000003,3.52671,3.696
julia,kvaerno3,performance,adaptive,julia,both,2097152,tol,1.0e-8,10,237.9856,237.994645,239.676,242.01184,242.0131
julia,kvaerno3,performance,adaptive,julia,both,32,tol,1.0e-8,20,3.356,3.357045,3.4189,3.60364,3.7013
julia,kvaerno3,performance,adaptive,julia,both,32768,tol,1.0e-8,20,6.3177,6.36672,6.49115,7.207755000000004,12.9449
julia,kvaerno3,performance,adaptive,julia,both,512,tol,1.0e-8,20,3.3136,3.3163549999999997,3.3644,3.4968399999999997,3.642
julia,kvaerno3,performance,adaptive,julia,both,524288,tol,1.0e-8,20,61.1594,61.254495000000006,61.9486,65.22119000000002,97.5799
julia,kvaerno3,performance,adaptive,julia,both,8,tol,1.0e-8,20,5.6835,5.690435,5.8283000000000005,6.168394999999999,6.1816
julia,kvaerno3,performance,adaptive,julia,both,8192,tol,1.0e-8,20,3.9424,3.9528499999999998,4.1442499999999995,4.33086,4.3776
julia,kvaerno3,performance,adaptive,julia,both,8388608,tol,1.0e-8,10,944.7994,944.9551449999999,951.4115,957.71712,959.2383
julia,kvaerno3,performance,adaptive,julia,none,128,tol,1.0e-8,20,3.1996,3.2086249999999996,3.2887500000000003,3.4049899999999997,3.5169
julia,kvaerno3,performance,adaptive,julia,none,131072,tol,1.0e-8,20,16.2677,16.307125,16.49175,16.738665,16.8463
julia,kvaerno3,performance,adaptive,julia,none,2048,tol,1.0e-8,20,3.364,3.364665,3.3842499999999998,3.441195,3.4506
julia,kvaerno3,performance,adaptive,julia,none,2097152,tol,1.0e-8,10,225.254,225.61993999999999,226.62060000000002,228.030105,228.2178
julia,kvaerno3,performance,adaptive,julia,none,32,tol,1.0e-8,20,3.2268,3.24086,3.30645,3.3898000000000006,3.4734
julia,kvaerno3,performance,adaptive,julia,none,32768,tol,1.0e-8,20,5.9868,5.99611,6.0789,6.291245,6.3738
julia,kvaerno3,performance,adaptive,julia,none,512,tol,1.0e-8,20,3.2244,3.235325,3.27215,3.3752400000000007,3.4178
julia,kvaerno3,performance,adaptive,julia,none,524288,tol,1.0e-8,20,58.0323,58.23712,58.5814,59.04345,59.2667
julia,kvaerno3,performance,adaptive,julia,none,8,tol,1.0e-8,20,5.7617,5.76303,5.79175,5.88698,5.9132
julia,kvaerno3,performance,adaptive,julia,none,8192,tol,1.0e-8,20,3.8155,3.8210100000000002,3.8677,3.989415,4.0505
julia,kvaerno3,performance,adaptive,julia,none,8388608,tol,1.0e-8,10,893.1705,895.61634,899.22455,900.8434500000001,901.2741
julia,kvaerno3,performance,fixed,fixed,both,128,dt,0.0009765625,20,1.5471,1.5495700000000001,1.5771,1.78728,1.8363
julia,kvaerno3,performance,fixed,fixed,both,131072,dt,0.0009765625,20,6.2653,6.275465,6.493,10.586950000000051,80.1279
julia,kvaerno3,performance,fixed,fixed,both,2048,dt,0.0009765625,20,1.7281,1.72943,1.79595,1.9876800000000001,2.1944
julia,kvaerno3,performance,fixed,fixed,both,2097152,dt,0.0009765625,20,86.0942,86.09857,88.7067,91.908315,102.8089
julia,kvaerno3,performance,fixed,fixed,both,32,dt,0.0009765625,20,1.585,1.601625,2.8028500000000003,3.0162,3.2442
julia,kvaerno3,performance,fixed,fixed,both,32768,dt,0.0009765625,20,2.6547,2.66021,2.729,2.8661049999999997,2.9346
julia,kvaerno3,performance,fixed,fixed,both,512,dt,0.0009765625,20,1.6746,1.681345,1.735,1.82013,1.8416
julia,kvaerno3,performance,fixed,fixed,both,524288,dt,0.0009765625,20,22.2655,22.289250000000003,22.58985,23.117945,23.2594
julia,kvaerno3,performance,fixed,fixed,both,8,dt,0.0009765625,20,1.5517,1.558825,1.59755,1.6743299999999999,1.6787
julia,kvaerno3,performance,fixed,fixed,both,8192,dt,0.0009765625,20,1.9715,1.98442,2.03155,2.889150000000006,11.1266
julia,kvaerno3,performance,fixed,fixed,both,8388608,dt,0.0009765625,10,343.9526,344.668325,347.2523,355.85989500000005,356.3751
julia,kvaerno3,performance,fixed,fixed,none,128,dt,0.0009765625,20,1.4979,1.5013200000000002,1.54175,1.6087000000000002,1.6524
julia,kvaerno3,performance,fixed,fixed,none,131072,dt,0.0009765625,20,5.2548,5.270949999999999,5.3744499999999995,5.534565000000001,5.6536
julia,kvaerno3,performance,fixed,fixed,none,2048,dt,0.0009765625,20,1.6748,1.6827800000000002,1.7044000000000001,1.767895,1.7868
julia,kvaerno3,performance,fixed,fixed,none,2097152,dt,0.0009765625,20,73.7246,73.85684,74.18010000000001,75.02224,75.0515
julia,kvaerno3,performance,fixed,fixed,none,32,dt,0.0009765625,20,1.5047,1.51268,1.5388,1.61542,1.6842
julia,kvaerno3,performance,fixed,fixed,none,32768,dt,0.0009765625,20,2.3395,2.342255,2.3790500000000003,2.42302,2.6552
julia,kvaerno3,performance,fixed,fixed,none,512,dt,0.0009765625,20,1.6217,1.62911,1.6604999999999999,1.72391,1.9008
julia,kvaerno3,performance,fixed,fixed,none,524288,dt,0.0009765625,20,18.9165,19.254035,19.43025,19.67598,19.7136
julia,kvaerno3,performance,fixed,fixed,none,8,dt,0.0009765625,20,1.4936,1.49683,1.5399500000000002,1.71234,1.7948
julia,kvaerno3,performance,fixed,fixed,none,8192,dt,0.0009765625,20,1.8652,1.8728,1.96585,2.064825,2.0805
julia,kvaerno3,performance,fixed,fixed,none,8388608,dt,0.0009765625,10,291.1814,292.28858,294.33105,295.85041,296.6731
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,0.0001,20,1.7394,1.7679,1.9536,2.33885,2.3892
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,0.001,20,1.3734,1.382045,1.4682499999999998,1.8605650000000014,3.5509
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,0.010000000000000002,20,1.2135,1.229365,1.29475,1.6717250000000028,5.6128
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,1.0000000000000001e-7,20,8.319,8.367925,8.488050000000001,8.790465000000001,9.0615
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,1.0e-5,20,2.5868,2.589935,2.65935,3.041430000000002,5.36
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,1.0e-6,20,4.4354,4.47758,4.5939499999999995,5.309775,6.0465
julia,kvaerno3,work_precision,adaptive,julia,both,131072,tol,1.0e-8,20,17.2542,17.29695,17.56765,21.52142000000005,84.1211
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,0.0001,20,0.8055,0.8194650000000001,0.85825,0.92924,0.9642
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,0.001,20,0.4554,0.46281,0.4913,0.53327,0.5365
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,0.010000000000000002,20,0.2994,0.29997,0.30425,0.37416000000000005,0.4114
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,1.0000000000000001e-7,20,7.4265,7.4474,7.499700000000001,7.626659999999999,7.852
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,1.0e-5,20,1.675,1.6761399999999997,1.6949,1.73336,1.7516
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,1.0e-6,20,3.4555,3.465,3.57555,3.7341149999999996,3.7895
julia,kvaerno3,work_precision,adaptive,julia,none,131072,tol,1.0e-8,20,16.4549,16.461834999999997,16.611600000000003,16.809925,16.8427
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.0001220703125,20,44.421,44.452065000000005,44.9296,45.35608,45.4355
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.000244140625,20,22.1117,22.119870000000002,22.43895,22.71285,22.8392
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.00048828125,20,11.5241,11.561435,11.69975,12.050749999999999,12.2151
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.0009765625,20,6.2169,6.2348550000000005,6.3618500000000004,6.547495,6.8894
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.001953125,20,3.5069,3.512885,3.61205,4.421100000000005,11.5024
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.00390625,20,2.2659,2.3141599999999998,2.5330000000000004,6.895360000000057,83.0371
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.0078125,20,1.5084,1.57699,1.7275,3.311745,3.818
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.015625,20,1.2484,1.3025499999999999,1.5742500000000001,4.548865,5.1771
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.03125,10,1.3662,1.38087,1.6368,63.300735000000074,109.9413
julia,kvaerno3,work_precision,fixed,fixed,both,131072,dt,0.0625,20,1.1509,1.16591,1.408,2.5322400000000096,15.7418
