traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.25851703,-3.5770483,-2.14026165,-0.778290629,-1.30418801,0.450479478,5.42902279,-2.48400521,2.12688088,3.15531993,5.7565937,-1.82349539,-0.848388612,1.15562773,6.56821299,1.42975044,0.0895102173,3.04592562,4.95020103,2.52305818,1.95027113,3.22341895,3.86932254,3.39038277,2.94328117,2.52878976,1.68522942,1.006073,0.903868973,1.19369495,2.08865857,3.78483605
1,2.22066212,-3.60168552,-2.11645842,-0.787244499,-1.30112004,0.470559448,5.42338657,-2.49873018,2.13915253,3.21545792,5.74220562,-1.87715113,-0.819522202,1.1661185,6.58947802,1.41730857,0.0889180675,3.05967379,4.97554398,2.52154398,1.95138013,3.23880672,3.88825154,3.39807034,2.94467211,2.52935052,1.6853528,1.00909388,0.911034942,1.20570028,2.11009502,3.80610061
2,2.18226957,-3.62576962,-2.09278989,-0.796084762,-1.29806173,0.490811706,5.41732454,-2.51385093,2.1509707,3.27566957,5.72677183,-1.93091559,-0.790370941,1.17712009,6.61065769,1.40462887,0.0884343609,3.07345891,5.00088215,2.51985979,1.9524914,3.25430489,3.90725684,3.40560985,2.94591284,2.52991247,1.68554354,1.01214838,0.918214619,1.21775556,2.13163209,3.82713246
3,2.14330912,-3.64931083,-2.06927371,-0.804824233,-1.2950176,0.511163175,5.410923,-2.52929282,2.16229749,3.33578038,5.71037626,-1.98466921,-0.760989547,1.18865263,6.63174629,1.39164543,0.0880561322,3.08726788,5.02627134,2.51804042,1.9535445,3.26982164,3.92630959,3.4131031,2.94707227,2.53040409,1.68571472,1.01525283,0.92545861,1.22989881,2.15329313,3.84792256
4,2.10383582,-3.67228341,-2.04594254,-0.813464463,-1.29199469,0.531592011,5.40420628,-2.54503107,2.17310882,3.39573789,5.69307184,-2.03835154,-0.731430292,1.20072651,6.65273714,1.37840939,0.0878404379,3.1011529,5.05162525,2.51603413,1.95463943,3.28547478,3.94540167,3.42039895,2.94811153,2.53095436,1.68595517,1.01836073,0.932705462,1.24209547,2.17505431,3.86845899
5,2.06383729,-3.69468236,-2.02277613,-0.822000444,-1.28897607,0.552161217,5.39711714,-2.56113434,2.18341231,3.45561123,5.6747942,-2.09204626,-0.701651096,1.21332824,6.67363405,1.36490536,0.0877115801,3.11504459,5.07701588,2.51390457,1.95568407,3.3011446,3.96454501,3.42765164,2.9490664,2.53143549,1.68618357,1.0215174,0.940004468,1.25436187,2.19691849,3.8887341
6,2.02330256,-3.71652484,-1.99978399,-0.830423415,-1.28597939,0.572827816,5.3896594,-2.5775795,2.193223,3.51538539,5.65553284,-2.14568639,-0.671701729,1.22648907,6.69443178,1.35109234,0.0877402425,3.12901568,5.10241365,2.51154685,1.95669591,3.3169148,3.98378515,3.4347806,2.94987369,2.53188872,1.68645775,1.02471948,0.94734031,1.26670289,2.21890187,3.90875721
7,1.98226321,-3.73777485,-1.97699237,-0.838721812,-1.28298032,0.593680084,5.38178539,-2.59444857,2.20250058,3.57508802,5.63527679,-2.19932461,-0.641539514,1.24025106,6.71512508,1.33697569,0.0878936201,3.14301348,5.12780714,2.50907087,1.95771825,3.33275843,4.00305605,3.44176745,2.95057034,2.53236556,1.68679667,1.02795041,0.954702795,1.2791152,2.24099779,3.92850852
8,1.94068205,-3.75846386,-1.95437884,-0.846935749,-1.27999783,0.614649534,5.37354946,-2.61167598,2.21125126,3.63461399,5.61409664,-2.25287294,-0.611257076,1.2545563,6.73571634,1.32258129,0.0881652683,3.15703797,5.15320587,2.50648403,1.95874608,3.34864259,4.02232647,3.44867468,2.95123029,2.5328021,1.68708205,1.0311991,0.962115288,1.29160571,2.26321149,3.94799542
9,1.89863741,-3.77855921,-1.93200457,-0.855006754,-1.27703619,0.635689676,5.36496115,-2.62923098,2.21947837,3.69395542,5.59196758,-2.30631256,-0.580864847,1.26942813,6.75619745,1.30786991,0.0885995775,3.17114925,5.17861366,2.50364137,1.95972097,3.36463594,4.04172564,3.45544028,2.9516995,2.53322721,1.68746948,1.03451037,0.969560325,1.30416369,2.28552055,3.96718383
10,1.85605454,-3.79810762,-1.90982008,-0.862988412,-1.27408338,0.656882882,5.35597706,-2.64718914,2.2271533,3.7531395,5.56888294,-2.35968518,-0.550339758,1.28489745,6.77656651,1.29284394,0.0891642347,3.18529582,5.20402861,2.50066137,1.96068394,3.38067794,4.06114817,3.46210551,2.95210552,2.53365207,1.68784893,1.03781593,0.97702086,1.31678724,2.30794978,3.98610544
11,1.81298709,-3.81704259,-1.88786018,-0.870835066,-1.27114105,0.678210855,5.3465786,-2.66554785,2.23428559,3.81216741,5.54483032,-2.41297126,-0.519727826,1.30093539,6.79683065,1.27756417,0.089877449,3.19950485,5.22938681,2.49751902,1.96171606,3.39685345,4.08059168,3.46857595,2.95239353,2.53410101,1.68828058,1.04116201,0.984525084,1.32949281,2.33049226,4.00472689
12,1.76950514,-3.8354063,-1.86618102,-0.878552616,-1.2682147,0.699623704,5.33682728,-2.68424368,2.24086308,3.87094712,5.51986122,-2.46610904,-0.489058614,1.31754458,6.81698084,1.26194036,0.0907055363,3.2137363,5.25478411,2.49423122,1.96267927,3.41304636,4.10011768,3.47500467,2.95256567,2.53447318,1.68873513,1.04458201,0.992082417,1.34225869,2.35310268,4.02301979
13,1.72546792,-3.85317945,-1.84469819,-0.88616842,-1.26530457,0.721149623,5.32669687,-2.70332336,2.24687839,3.92949057,5.49398232,-2.51907587,-0.458350152,1.33477652,6.83700371,1.24593675,0.0917125791,3.22804761,5.28019285,2.49073577,1.96360886,3.42931652,4.11970043,3.48130226,2.95264125,2.53485036,1.68919313,1.04799759,0.99967134,1.35512054,2.37586594,4.04103231
14,1.68102527,-3.87037659,-1.82349741,-0.893631637,-1.26239741,0.742836356,5.31610632,-2.72284436,2.25232863,3.98786187,5.46711349,-2.5719533,-0.42758882,1.35258305,6.85691166,1.22965431,0.0928374305,3.24239087,5.30558014,2.48710966,1.96456599,3.44566703,4.13929749,3.48744202,2.95262527,2.53526616,1.68971133,1.05143416,1.00727057,1.36802983,2.39870358,4.05871964
15,1.63608825,-3.88695645,-1.8025403,-0.900992811,-1.25951016,0.764625371,5.30515575,-2.7427361,2.25718808,4.04594803,5.43938303,-2.62463427,-0.396827459,1.37102807,6.87668419,1.21301877,0.0941702649,3.25683737,5.33092308,2.48325872,1.96553683,3.46213818,4.15898085,3.49343848,2.95245337,2.53564548,1.690274,1.05493581,1.01493251,1.3810389,2.42167115,4.07608843
16,1.59070015,-3.90297675,-1.78183758,-0.908230305,-1.25663626,0.78655076,5.29376841,-2.76304865,2.26146936,4.10379791,5.41070318,-2.67716885,-0.366070539,1.39005029,6.89633417,1.19606197,0.0956313834,3.27132845,5.35625792,2.4792521,1.9665221,3.47869492,4.17867422,3.49927235,2.95221663,2.53606772,1.69084561,1.05842161,1.02260506,1.39410746,2.44473314,4.09313536
17,1.54490376,-3.91839051,-1.76143551,-0.915341318,-1.25378168,0.80854255,5.28204679,-2.7836957,2.26515841,4.16128922,5.38121319,-2.72944045,-0.335384488,1.40968084,6.91584444,1.17875993,0.0972712338,3.2858932,5.38158846,2.47506118,1.96746123,3.49528408,4.19844627,3.50504708,2.95185781,2.53642249,1.69146085,1.06200063,1.03034341,1.40725732,2.46788883,4.10983133
18,1.49865806,-3.93320799,-1.74129164,-0.922311366,-1.25092697,0.830724597,5.26981926,-2.80483413,2.26823592,4.21859217,5.35071754,-2.78162169,-0.304681838,1.42993033,6.93522406,1.16109335,0.099031277,3.30048585,5.40690708,2.47071981,1.96841753,3.51198125,4.21826601,3.51063657,2.95136595,2.5368073,1.6921382,1.06559551,1.03809965,1.42047536,2.49114799,4.12619257
19,1.45203507,-3.94744039,-1.72146678,-0.929154932,-1.24808896,0.853001416,5.25720787,-2.82634997,2.27071476,4.27553654,5.31940985,-2.83352494,-0.274109662,1.45077348,6.95445585,1.14306068,0.100987002,3.31516957,5.43221855,2.46618938,1.9693526,3.52872086,4.2381115,3.51613855,2.95082045,2.53717065,1.69279575,1.06921697,1.04590774,1.43377542,2.51449561,4.14219093
20,1.40490472,-3.96106935,-1.70189226,-0.93588984,-1.24527061,0.875416517,5.24414921,-2.84830999,2.27257133,4.33216238,5.28722,-2.88523507,-0.243614227,1.47219682,6.97355175,1.12473655,0.103063568,3.32988644,5.45748425,2.46152115,1.97032988,3.54556751,4.25799704,3.52146363,2.95014262,2.53754544,1.69351435,1.0728761,1.0537498,1.44716716,2.53798723,4.15786314
21,1.35741222,-3.97410154,-1.68264818,-0.942467749,-1.24246037,0.897939682,5.23065948,-2.87067485,2.27380919,4.38847303,5.25414515,-2.93668818,-0.213223726,1.4942888,6.99248743,1.10594392,0.105359122,3.3447125,5.48275328,2.45661449,1.97126436,3.56248546,4.27794218,3.52665424,2.94937372,2.53794432,1.69425416,1.07652926,1.06160712,1.46062469,2.56155944,4.1731596
22,1.3095392,-3.98652554,-1.6637187,-0.948922336,-1.23966634,0.920596361,5.21673441,-2.89347386,2.27441216,4.44442081,5.22025728,-2.98789787,-0.182992682,1.51695001,7.01127577,1.08685291,0.107807659,3.35959792,5.50796843,2.45154595,1.97223294,3.57950068,4.29794645,3.53170753,2.94846201,2.53830338,1.69505942,1.08028364,1.0695399,1.47417331,2.58522987,4.18808126
23,1.26128078,-3.99838161,-1.64509118,-0.955257297,-1.23689163,0.943334222,5.20240355,-2.91664577,2.27437806,4.4999814,5.18553686,-3.03885818,-0.152910784,1.54019713,7.0299077,1.06737387,0.110401049,3.37453127,5.53318691,2.44630694,1.97317946,3.59658003,4.31798458,3.5366106,2.94746614,2.53870058,1.6958853,1.08400834,1.07745707,1.48776424,2.60897207,4.20262814
24,1.21263456,-4.00961924,-1.62677705,-0.961480498,-1.234128,0.966229081,5.18763351,-2.94027615,2.2736814,4.55516052,5.15006208,-3.0895288,-0.123024851,1.56409431,7.04836702,1.04754889,0.113242246,3.38960743,5.55830526,2.44084716,1.9741981,3.61378813,4.33804083,3.54133987,2.94638586,2.53911281,1.69674194,1.08779049,1.08544981,1.50146592,2.63283539,4.21679306
25,1.16363204,-4.02024841,-1.60880649,-0.967548013,-1.23137772,0.989237785,5.17239332,-2.9643414,2.27232742,4.60996342,5.11372757,-3.13992691,-0.0932900086,1.58865404,7.06665039,1.02723825,0.116260894,3.40474987,5.58343697,2.43519282,1.97517002,3.63105297,4.35817528,3.54595637,2.94517922,2.53949356,1.69762754,1.09161079,1.09348786,1.51525664,2.65679741,4.23056412
26,1.11427093,-4.03028584,-1.59116578,-0.973477602,-1.22863638,1.01237166,5.15668726,-2.98883772,2.27032757,4.66434288,5.07662106,-3.19003463,-0.0638347268,1.613675,7.08478069,1.0066452,0.119378604,3.41990662,5.60856199,2.42941451,1.97612929,3.64836764,4.37835026,3.55043507,2.94385886,2.53988361,1.69857013,1.09546459,1.10154581,1.52911079,2.68084359,4.24394369
27,1.06457949,-4.03973913,-1.57385468,-0.979307353,-1.22591877,1.03560114,5.14058352,-3.01373053,2.26764584,4.71827221,5.03880167,-3.23983073,-0.0346016623,1.6393677,7.10272598,0.985637188,0.12273936,3.43519855,5.63359642,2.42341566,1.97716355,3.66582751,4.39854383,3.55469966,2.94243813,2.54032826,1.69957495,1.09934795,1.10963178,1.54303432,2.70496821,4.25691652
28,1.01449478,-4.04857922,-1.5568738,-0.984997988,-1.22321558,1.0589726,5.12396193,-3.03909492,2.2642839,4.77181005,5.00017357,-3.2893436,-0.00563019188,1.66562915,7.12049055,0.96422565,0.126267448,3.45056224,5.65862179,2.41721964,1.97816181,3.68333387,4.4187851,3.5588603,2.94094563,2.54075003,1.70055032,1.10323083,1.11776233,1.55705929,2.72921228,4.26948452
29,0.96412605,-4.05681467,-1.54024482,-0.99055779,-1.22052193,1.08249521,5.10686731,-3.06492543,2.26020789,4.82488585,4.96083641,-3.33852601,0.0230835676,1.69255459,7.13805199,0.942379653,0.130014271,3.46602798,5.6835947,2.41084409,1.97918463,3.70092225,4.4390564,3.56286645,2.93934417,2.54118538,1.70160139,1.10717893,1.12593663,1.57116103,2.75353718,4.28163862
30,0.913411498,-4.06446981,-1.52396405,-0.996010959,-1.21786332,1.10606527,5.08938074,-3.09110713,2.25546288,4.87744808,4.92084217,-3.38737345,0.0514618158,1.71997905,7.15543652,0.920200527,0.133914188,3.48155308,5.70852375,2.4043119,1.9802314,3.71860003,4.45936394,3.56670713,2.93763828,2.54162979,1.70267737,1.11114478,1.13414764,1.58535004,2.77795577,4.293365
31,0.8623932,-4.07149935,-1.50804484,-1.00131607,-1.21520424,1.12980855,5.07134485,-3.11779308,2.24999952,4.92957878,4.88010597,-3.43588662,0.0795140192,1.7480011,7.17261934,0.897619069,0.138041183,3.4972136,5.7333746,2.39753199,1.98131669,3.7364006,4.4797039,3.57036114,2.93584061,2.5421083,1.70378697,1.11513972,1.14240777,1.59963739,2.80247331,4.30465841
32,0.811099291,-4.07793808,-1.49248683,-1.00648582,-1.21255696,1.15368867,5.05280399,-3.14493561,2.24380732,4.98122025,4.83867359,-3.48407769,0.107248351,1.7766012,7.18959761,0.874614477,0.14233689,3.51293945,5.75819635,2.39059305,1.98241246,3.75427818,4.50007153,3.57384729,2.93394279,2.54260707,1.70494211,1.11915886,1.15069211,1.61399364,2.82706261,4.31551456
33,0.759535491,-4.08382177,-1.47727358,-1.011549,-1.20993197,1.17764318,5.03384972,-3.17245865,2.23691845,5.03231096,4.79665804,-3.53186965,0.134593382,1.80575943,7.20636225,0.851151824,0.146838441,3.52876163,5.78300238,2.3834362,1.98345923,3.77219939,4.52052355,3.57723284,2.93191838,2.5430789,1.70614994,1.1232326,1.15900719,1.62840688,2.85170293,4.32592916
34,0.707661629,-4.08906364,-1.46243548,-1.01648974,-1.20732629,1.20175147,5.01437569,-3.20046258,2.22927332,5.08290195,4.75401211,-3.57931566,0.161567271,1.83551443,7.22291422,0.827351868,0.151569203,3.54471231,5.80767059,2.37612629,1.98464191,3.79026747,4.54093218,3.58038712,2.9298377,2.54360104,1.70737267,1.12733603,1.16739941,1.64295685,2.87647724,4.33589268
35,0.655528784,-4.09372473,-1.44797611,-1.02129853,-1.20474625,1.22592604,4.99444342,-3.22885013,2.22090602,5.13294458,4.71075392,-3.62638617,0.188140973,1.86581838,7.23923779,0.803061366,0.156514347,3.56078625,5.83231306,2.36852884,1.98578691,3.80844331,4.56143379,3.58334422,2.92762089,2.54418564,1.70867395,1.13142812,1.17577887,1.65756297,2.90132141,4.3454051
36,0.60313499,-4.09779549,-1.43386686,-1.02600992,-1.20219529,1.25021076,4.97404051,-3.2576642,2.21178865,5.18242407,4.6669488,-3.67309713,0.214294925,1.89665604,7.25533867,0.778418958,0.161646977,3.57694912,5.85688448,2.36077809,1.98696029,3.82667303,4.58195925,3.58619976,2.9253099,2.54470658,1.709993,1.13561511,1.18424141,1.67226696,2.92624378,4.3544507
37,0.550527573,-4.10124111,-1.42014229,-1.03056169,-1.19961667,1.27474177,4.95298481,-3.28705359,2.20188403,5.23137283,4.62251806,-3.71943164,0.240017861,1.92797768,7.27122021,0.753338039,0.166917801,3.59314346,5.88145542,2.35290694,1.9881134,3.84493208,4.60250044,3.58892274,2.92292809,2.54524112,1.71133339,1.13982391,1.19275105,1.68706989,2.95124865,4.36302233
