traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.25840878,-3.57674813,-2.14012837,-0.778283238,-1.30395532,0.451571941,5.42819643,-2.48513579,2.12701297,3.15583277,5.75636339,-1.82403183,-0.848293304,1.15527713,6.568223,1.43008935,0.0892300233,3.04570556,4.95026064,2.52328086,1.95025706,3.22331715,3.86926436,3.39043021,2.94329476,2.52869678,1.68513238,1.0060662,0.90391922,1.19377458,2.08876562,3.78486252
1,2.22054148,-3.60139298,-2.11631322,-0.787226915,-1.3008846,0.47169289,5.42249966,-2.49991655,2.139292,3.21604156,5.74192095,-1.87773323,-0.819401145,1.16577077,6.58949375,1.41766083,0.0886287168,3.05944586,4.97559643,2.52177596,1.95137572,3.23871469,3.88820362,3.39810991,2.94465899,2.52924943,1.68528044,1.00910568,0.91108346,1.20577669,2.11020803,3.8061378
2,2.18217516,-3.62548494,-2.09266782,-0.796061337,-1.2978245,0.491916627,5.41646004,-2.51501083,2.15109563,3.27617645,5.72652006,-1.93143892,-0.790288031,1.17675543,6.61067677,1.40497446,0.0881459415,3.07323623,5.00094891,2.52008057,1.95247412,3.25420618,3.90719938,3.40564966,2.9459188,2.5298264,1.6854645,1.01215148,0.91825968,1.21782422,2.13172626,3.82715225
3,2.14319754,-3.64901614,-2.06914639,-0.804808378,-1.29478121,0.512273252,5.41005611,-2.53045964,2.16239452,3.33627462,5.71013498,-1.98518133,-0.760890543,1.18831706,6.63175869,1.39197588,0.0877798721,3.08704853,5.02633476,2.51826239,1.95352209,3.26971698,3.92626047,3.4131515,2.94707012,2.53030658,1.68563712,1.01525855,0.925506294,1.22997475,2.15340114,3.84794974
4,2.103724,-3.67197847,-2.04581046,-0.813444853,-1.29175401,0.532719254,5.40331411,-2.54622293,2.17320204,3.39624166,5.69281149,-2.03887749,-0.731328428,1.20036709,6.65275383,1.37876689,0.0875341594,3.10090947,5.05169821,2.51627326,1.95460331,3.28535223,3.94536138,3.42047524,2.948107,2.53082871,1.68586636,1.01837766,0.932760477,1.24217331,2.17516327,3.86848474
5,2.06372356,-3.69436598,-2.0226512,-0.821971238,-1.28873909,0.553296447,5.39619207,-2.56234717,2.18350506,3.45614195,5.67449856,-2.09258842,-0.701535106,1.21297371,6.67365599,1.36523449,0.0874026567,3.11480331,5.07709885,2.51413226,1.95564127,3.3010304,3.96451592,3.42772245,2.94904828,2.53130388,1.68610311,1.02154887,0.940073729,1.25445426,2.19704032,3.88876081
6,2.02317572,-3.71620107,-1.99965358,-0.830398858,-1.28573489,0.573999047,5.38870907,-2.57883286,2.19329333,3.51590824,5.65525007,-2.14621282,-0.671585619,1.22615659,6.6944499,1.35144067,0.0874477476,3.12877965,5.10247135,2.51179433,1.95668983,3.31681204,3.98372364,3.43482327,2.94987822,2.53179979,1.68637848,1.02471685,0.947389841,1.26679301,2.21903205,3.90878987
7,1.98214376,-3.7374475,-1.97686625,-0.838704288,-1.28273976,0.594833791,5.38084221,-2.59568954,2.20256257,3.57556748,5.63501835,-2.19981694,-0.641450524,1.23989785,6.71514511,1.33733428,0.0875969976,3.14277554,5.1278758,2.50931787,1.95769155,3.33263016,4.00299692,3.44185328,2.95058966,2.53223157,1.68668091,1.02796698,0.95477283,1.27920866,2.24112248,3.92853427
8,1.94058049,-3.7581327,-1.95427465,-0.846901357,-1.27976298,0.615766108,5.37261438,-2.61288786,2.2113111,3.63507104,5.613832,-2.25336242,-0.611187279,1.25415587,6.73574018,1.32297492,0.0878479183,3.15679264,5.1532774,2.50670838,1.95870829,3.34853864,4.02230263,3.4487288,2.95119691,2.5326879,1.6870209,1.03122115,0.962171853,1.29169285,2.26332784,3.94800854
9,1.89853561,-3.77823353,-1.93189204,-0.854979038,-1.27679265,0.636861086,5.363976,-2.63050246,2.21950841,3.69445419,5.59167099,-2.30685019,-0.580735862,1.26907945,6.75622272,1.3082273,0.0882830545,3.17089844,5.17868948,2.50388741,1.95969164,3.36451817,4.04167652,3.45550847,2.95169997,2.53311086,1.68738222,1.03452599,0.969616532,1.30424583,2.2856338,3.96719956
10,1.85596871,-3.79776168,-1.90971756,-0.862946212,-1.27383673,0.658061326,5.3549695,-2.64847398,2.22717881,3.75363493,5.56858253,-2.36020732,-0.550235391,1.28452253,6.7765975,1.29325378,0.0888502225,3.18505073,5.20407486,2.50091314,1.96069896,3.38059211,4.06107807,3.46212983,2.95210528,2.53356123,1.68777025,1.03783202,0.977085233,1.31687701,2.30806208,3.98611283
11,1.81291389,-3.81670308,-1.88777614,-0.870793045,-1.27089906,0.679354548,5.34559298,-2.66679668,2.23430204,3.8126123,5.54454565,-2.41346955,-0.51963532,1.30053318,6.79686451,1.27793419,0.0895225853,3.19922161,5.22949362,2.49778986,1.96165788,3.3967123,4.08055449,3.46866393,2.95238066,2.5339644,1.68819857,1.04118991,0.984587014,1.32957578,2.33059597,4.00472689
