traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
0,2.25839734,-3.57674742,-2.14011025,-0.778285503,-1.30394781,0.451607019,5.42816973,-2.48516965,2.12701416,3.1558702,5.75634718,-1.82405567,-0.84827435,1.15529537,6.56821966,1.43007386,0.0892415196,3.04571533,4.95026207,2.52326608,1.95025158,3.22332311,3.86927581,3.39042616,2.94328141,2.52869511,1.68514431,1.00607264,0.903917611,1.19377291,2.08876896,3.78486872
1,2.2205379,-3.60138798,-2.11630893,-0.7872262,-1.30088151,0.471705884,5.42248821,-2.49992776,2.13929296,3.21606231,5.74191284,-1.87773299,-0.819390833,1.16579986,6.58948803,1.41763735,0.0886636153,3.05947828,4.97558832,2.52173519,1.95137811,3.23873377,3.88820601,3.39809155,2.94465995,2.52926612,1.68528032,1.00909638,0.911081493,1.20577788,2.11020875,3.80613589
2,2.18213248,-3.6254797,-2.09264565,-0.796068728,-1.29782426,0.491933525,5.4164443,-2.51502705,2.15109301,3.27620983,5.72650242,-1.93146086,-0.790265381,1.17677772,6.61067057,1.40496063,0.0881548375,3.07323933,5.00094843,2.52008152,1.95247066,3.25419974,3.90720296,3.40566492,2.9459188,2.5298028,1.68544483,1.01215506,0.918275058,1.21784377,2.13175321,3.82716632
3,2.14318371,-3.64900827,-2.069134,-0.80481118,-1.29478025,0.512284458,5.41004229,-2.53047037,2.16239691,3.33628893,5.71012545,-1.98519206,-0.760892749,1.1883074,6.63175964,1.39199245,0.0877789184,3.08705044,5.0263257,2.51825905,1.9535358,3.26972914,3.92625284,3.41313624,2.94707465,2.53031993,1.68563402,1.01524889,0.925503016,1.22997832,2.15341115,3.8479569
4,2.1037097,-3.67196965,-2.04579949,-0.813445807,-1.29175115,0.532749891,5.40328407,-2.54625392,2.17319798,3.39629006,5.69278288,-2.0389154,-0.731289089,1.20040333,6.65274954,1.37872887,0.0875515118,3.10092473,5.05170584,2.51625013,1.95459163,3.28535461,3.9453721,3.42047787,2.94809985,2.53082108,1.68586826,1.01838875,0.932773173,1.2421844,2.17517519,3.86848974
5,2.06371498,-3.69436693,-2.02264261,-0.821973443,-1.28873718,0.553303182,5.39618683,-2.56235099,2.18350458,3.45614815,5.67449665,-2.09258914,-0.70153904,1.21297216,6.67365503,1.36524868,0.0874087662,3.11480904,5.07708979,2.51412606,1.9556489,3.30103803,3.96451378,3.42771268,2.9490478,2.53131533,1.68610728,1.02153897,0.940064192,1.25445032,2.19704199,3.88876438
6,2.02317977,-3.71619177,-1.99965262,-0.830395043,-1.28573096,0.57401365,5.38869143,-2.57884431,2.19329524,3.5159328,5.65522385,-2.14625311,-0.671567738,1.22613788,6.69445038,1.35143566,0.0874201059,3.12875962,5.10249996,2.51180458,1.95665896,3.31678939,3.98373723,3.43484497,2.94986463,2.53177929,1.68639123,1.02474177,0.947399437,1.26679385,2.2190299,3.90878558
7,1.98211217,-3.73745632,-1.97684431,-0.838711917,-1.28273809,0.594853759,5.3808198,-2.59571004,2.20256066,3.57560182,5.63499403,-2.19985104,-0.641428173,1.23990321,6.7151432,1.3373313,0.0875953659,3.14277577,5.12787485,2.50931883,1.95770133,3.33264041,4.00298834,3.44183183,2.95059037,2.53225088,1.68668473,1.02794993,0.954760075,1.27920711,2.24113274,3.92854571
8,1.94055569,-3.75813079,-1.9542532,-0.8469069,-1.27975929,0.615797758,5.37258577,-2.61292005,2.21130013,3.63510704,5.61380672,-2.25339937,-0.611142457,1.25419652,6.7357378,1.3229295,0.0878585577,3.15680242,5.15328979,2.50669265,1.95869243,3.34853435,4.02231216,3.44873762,2.95119619,2.53268123,1.6870172,1.03122115,0.962171793,1.29169607,2.26334,3.94802094
9,1.89850509,-3.77823901,-1.93186653,-0.854988039,-1.27678919,0.636883855,5.36395693,-2.63052511,2.21950555,3.6944685,5.59166336,-2.30685425,-0.580732703,1.26908708,6.75621843,1.30823195,0.0882964134,3.17091298,5.17868328,2.50386906,1.95969796,3.36453462,4.04167747,3.45548487,2.95169139,2.53313041,1.68739522,1.03451574,0.969605625,1.30424523,2.2856462,3.96721578
