traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,1.52629161,-3.29077148,-2.23276162,-0.794994831,-1.34302664,0.410292029,5.43967056,-2.46399045,2.12317729,3.19045067,6.00242233,-1.5642935,-1.01269495,1.64778078,5.77575207,-1.59317291,0.281894624,1.17585897,2.85424304,4.088202
1,1.47985244,-3.30689311,-2.21536899,-0.802632451,-1.34005952,0.430135936,5.43434954,-2.47855473,2.13525963,3.25187397,5.99086952,-1.62276733,-0.985651851,1.65682971,5.78376341,-1.60824323,0.298024535,1.18911839,2.88078046,4.10581684
2,1.43296778,-3.32236767,-2.19821835,-0.810211062,-1.33712363,0.450122207,5.42865086,-2.49348354,2.14683843,3.31327105,5.97832346,-1.68135691,-0.95829612,1.66626883,5.79156923,-1.62334847,0.314228326,1.20250726,2.90737367,4.12301397
3,1.38551497,-3.33715987,-2.18127203,-0.817723811,-1.33421183,0.470227033,5.42260456,-2.50875306,2.15790701,3.37459683,5.96479034,-1.73999715,-0.930628538,1.67615891,5.79913712,-1.63848257,0.330521464,1.21608841,2.93413043,4.13981628
4,1.33766019,-3.35130668,-2.16459632,-0.82512933,-1.33130205,0.490447313,5.41622019,-2.52436209,2.16849065,3.43582153,5.9502635,-1.79860711,-0.902700365,1.68651521,5.80647326,-1.65364075,0.34690094,1.2298615,2.96097183,4.15616846
5,1.28934515,-3.36478829,-2.14817595,-0.832440972,-1.328403,0.510795355,5.40946579,-2.54032063,2.17856908,3.49698281,5.93468285,-1.85731256,-0.874459922,1.69728982,5.81359959,-1.66885078,0.363341182,1.24378836,2.98791242,4.17208719
6,1.24059319,-3.37758493,-2.13202333,-0.83967334,-1.32552946,0.531275272,5.4023509,-2.55665708,2.18811417,3.55801153,5.91815901,-1.91593838,-0.845980883,1.70861113,5.8204422,-1.68410408,0.379906058,1.25794959,3.01498008,4.18754721
7,1.19139957,-3.38973212,-2.1161356,-0.846814096,-1.32266724,0.551880598,5.39486313,-2.5733614,2.1971488,3.61892629,5.90059614,-1.97459769,-0.817251801,1.72035277,5.82706928,-1.69941354,0.396529287,1.27226651,3.04214263,4.20256424
8,1.14170527,-3.40117311,-2.10049725,-0.853862345,-1.31982124,0.572631359,5.38697815,-2.59045625,2.20565748,3.67975569,5.88200617,-2.03323841,-0.788297534,1.73260212,5.8334322,-1.71477783,0.413245499,1.28680456,3.06946635,4.21712303
9,1.09166372,-3.41195846,-2.08515811,-0.860818446,-1.31699681,0.593459249,5.37877417,-2.60787797,2.21361899,3.74033308,5.86247635,-2.09175682,-0.759164214,1.74533212,5.83955383,-1.7301805,0.430024922,1.30152237,3.0968585,4.23119259
