traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,1.52621031,-3.29053378,-2.23255992,-0.795002162,-1.34280527,0.410856307,5.43910074,-2.46454597,2.12304378,3.19026637,6.00241327,-1.56425273,-1.01274312,1.64753973,5.77583504,-1.59299982,0.28173247,1.17578626,2.85429597,4.08824682
1,1.47978663,-3.30664849,-2.21515656,-0.802669168,-1.33983493,0.430818886,5.43367624,-2.47925115,2.13509417,3.25168037,5.99089766,-1.62277222,-0.985692263,1.65654922,5.78386259,-1.60806262,0.297840595,1.18900955,2.88080668,4.105865
2,1.4328723,-3.32212949,-2.19800353,-0.810232341,-1.33690751,0.450716734,5.42804813,-2.49407601,2.1466856,3.31309319,5.97833014,-1.68134224,-0.958338916,1.66600513,5.79166222,-1.62315965,0.314052135,1.20241606,2.90741944,4.12306213
3,1.38545275,-3.33692122,-2.18106484,-0.817734897,-1.33397341,0.470900863,5.4219408,-2.50943661,2.15775585,3.37442327,5.96478939,-1.73998702,-0.930650175,1.67590594,5.79922724,-1.63830256,0.330346555,1.21599782,2.93416929,4.13986254
4,1.33759427,-3.35106945,-2.16440272,-0.825130224,-1.33107615,0.491003096,5.41563702,-2.52490354,2.16833115,3.4356041,5.95025206,-1.79857969,-0.902723432,1.68624938,5.80657721,-1.65346885,0.346724421,1.22976339,2.96100855,4.15621233
5,1.28929126,-3.36454129,-2.1479845,-0.83245647,-1.32817292,0.51146102,5.40879965,-2.54100156,2.17840099,3.49676871,5.93471956,-1.8572644,-0.874495864,1.69704401,5.81368876,-1.66866803,0.363175124,1.24370587,2.98795652,4.1721282
6,1.24051738,-3.37733889,-2.13182497,-0.839685559,-1.32529414,0.531938672,5.40167522,-2.55733776,2.18795061,3.55779099,5.91817427,-1.91591847,-0.846008003,1.70831835,5.82056093,-1.68392169,0.379716843,1.25784123,3.0150249,4.18759727
7,1.19131112,-3.38947344,-2.11594677,-0.846809387,-1.32244456,0.552397728,5.39429712,-2.5738616,2.19698071,3.61867046,5.90061426,-1.97450542,-0.817307472,1.72009349,5.82717419,-1.69922757,0.396355957,1.27218378,3.04220247,4.20260143
8,1.14167035,-3.40092683,-2.10031056,-0.853864491,-1.31958508,0.573277235,5.38632441,-2.59111714,2.20547986,3.67950344,5.88205194,-2.03317165,-0.788330197,1.73232949,5.83354855,-1.71458006,0.413047701,1.28669286,3.06949234,4.21716213
9,1.0916394,-3.41170907,-2.08497787,-0.860803008,-1.31676316,0.594036937,5.37815809,-2.60844922,2.21344614,3.74008727,5.86250114,-2.09168816,-0.759210825,1.74504793,5.83968163,-1.72997284,0.429829061,1.30141556,3.09688282,4.23122549
