framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,20,2.2009,2.2160999999999995,2.294,2.486345,2.5727
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,20,2.1856,2.1863599999999996,2.22745,2.486865,2.6572
julia,tsit5,performance,adaptive,julia,both,8,tol,1.0e-8,20,8.5525,8.57017,8.67175,60.516349999999996,60.9258
julia,tsit5,performance,adaptive,julia,none,8,tol,1.0e-8,20,7.5381,7.551685,7.6726,8.610240000000001,8.6262
julia,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,20,1.9701,1.97599,2.01065,2.1303250000000005,2.203
julia,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,20,1.8968,1.896895,1.9389500000000002,1.9812349999999999,1.9895
julia,tsit5,performance,adaptive,julia,both,32,tol,1.0e-8,20,7.7094,7.715385,7.8118,7.95456,8.045
julia,tsit5,performance,adaptive,julia,none,32,tol,1.0e-8,20,7.6784,7.69094,7.73085,7.8111950000000006,7.9536
julia,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,20,2.4217,2.4254999999999995,2.5025000000000004,2.710255,2.8272
julia,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,20,2.3408,2.3706300000000002,2.4455999999999998,2.539335,2.6369
julia,tsit5,performance,adaptive,julia,both,128,tol,1.0e-8,20,13.8013,13.82258,13.93765,14.03876,14.0513
julia,tsit5,performance,adaptive,julia,none,128,tol,1.0e-8,20,13.7871,13.802109999999999,13.899899999999999,14.058480000000001,14.1113
julia,tsit5,performance,fixed,fixed,both,512,dt,0.0009765625,20,2.0672,2.095985,2.1326,2.24124,2.2477
julia,tsit5,performance,fixed,fixed,none,512,dt,0.0009765625,20,2.0231,2.02709,2.0562500000000004,2.1628000000000003,2.3566
