framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,tsit5,performance,fixed,fixed,8,dt,0.05859375,,0,8,
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,tsit5,performance,fixed,fixed,32,dt,0.05859375,,0,32,
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,tsit5,performance,fixed,fixed,128,dt,0.05859375,,0,128,
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,tsit5,performance,fixed,fixed,512,dt,0.05859375,,0,512,
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,tsit5,performance,fixed,fixed,2048,dt,0.05859375,,0,2048,
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,,1846,202,
julia,tsit5,performance,fixed,fixed,8192,dt,0.05859375,,0,8192,
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,,4915,3277,
julia,tsit5,performance,fixed,fixed,32768,dt,0.05859375,,0,32768,
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,,0,32768,
julia,tsit5,performance,fixed,fixed,131072,dt,0.05859375,,0,131072,
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,,78643,52429,
julia,tsit5,performance,fixed,fixed,524288,dt,0.05859375,,0,524288,
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,,314573,209715,
julia,tsit5,performance,fixed,fixed,2097152,dt,0.05859375,,0,2097152,
julia,tsit5,performance,adaptive,julia,2097152,tol,1.0e-8,,2097152,0,
julia,tsit5,performance,fixed,fixed,8388608,dt,0.05859375,,0,8388608,
julia,tsit5,performance,adaptive,julia,8388608,tol,1.0e-8,,5033165,3355443,
julia,tsit5,numerical,adaptive,julia,1024,tol,0.010000000000000002,0.08181021728038133,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p01.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,0.001,0.08181021728038133,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p001.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,0.0001,0.08181021728038133,1024,0,finals/julia/tsit5/adaptive_julia_tol_0p0001.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-5,0.08181021728038133,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em05.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-6,0.08181021728038133,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em06.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,0.08181021728038133,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em07.csv
julia,tsit5,numerical,adaptive,julia,1024,tol,1.0e-8,0.08181021728038133,1024,0,finals/julia/tsit5/adaptive_julia_tol_1em08.csv
julia,tsit5,work_precision,fixed,fixed,131072,dt,3.75,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,1.875,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.9375,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.46875,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.234375,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.1171875,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.05859375,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.029296875,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.0146484375,,0,131072,
julia,tsit5,work_precision,fixed,fixed,131072,dt,0.00732421875,,0,131072,
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.010000000000000002,,0,131072,
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.001,,52426,78646,
julia,tsit5,work_precision,adaptive,julia,131072,tol,0.0001,,85203,45869,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-5,,39325,91747,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-6,,85200,45872,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,,85197,45875,
julia,tsit5,work_precision,adaptive,julia,131072,tol,1.0e-8,,58982,72090,
julia,vern7,performance,fixed,fixed,8,dt,0.05859375,,0,8,
julia,vern7,performance,adaptive,julia,8,tol,1.0e-8,,3,5,
julia,vern7,performance,fixed,fixed,32,dt,0.05859375,,0,32,
julia,vern7,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,vern7,performance,fixed,fixed,128,dt,0.05859375,,0,128,
julia,vern7,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,vern7,performance,fixed,fixed,512,dt,0.05859375,,0,512,
julia,vern7,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,vern7,performance,fixed,fixed,2048,dt,0.05859375,,0,2048,
julia,vern7,performance,adaptive,julia,2048,tol,1.0e-8,,1792,256,
julia,vern7,performance,fixed,fixed,8192,dt,0.05859375,,0,8192,
julia,vern7,performance,adaptive,julia,8192,tol,1.0e-8,,0,8192,
julia,vern7,performance,fixed,fixed,32768,dt,0.05859375,,0,32768,
julia,vern7,performance,adaptive,julia,32768,tol,1.0e-8,,15094,17674,
julia,vern7,performance,fixed,fixed,131072,dt,0.05859375,,0,131072,
julia,vern7,performance,adaptive,julia,131072,tol,1.0e-8,,98303,32769,
julia,vern7,performance,fixed,fixed,524288,dt,0.05859375,,0,524288,
julia,vern7,performance,adaptive,julia,524288,tol,1.0e-8,,235930,288358,
julia,vern7,performance,fixed,fixed,2097152,dt,0.05859375,,0,2097152,
julia,vern7,performance,adaptive,julia,2097152,tol,1.0e-8,,1258291,838861,
julia,vern7,performance,fixed,fixed,8388608,dt,0.05859375,,0,8388608,
julia,vern7,performance,adaptive,julia,8388608,tol,1.0e-8,,8388608,0,
julia,vern7,numerical,adaptive,julia,1024,tol,0.010000000000000002,0.08181021728038133,1024,0,finals/julia/vern7/adaptive_julia_tol_0p01.csv
julia,vern7,numerical,adaptive,julia,1024,tol,0.001,0.08182518872611397,1024,0,finals/julia/vern7/adaptive_julia_tol_0p001.csv
julia,vern7,numerical,adaptive,julia,1024,tol,0.0001,4.670385677714245,1024,0,finals/julia/vern7/adaptive_julia_tol_0p0001.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-5,17.125870292604073,1024,0,finals/julia/vern7/adaptive_julia_tol_1em05.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-6,0.11734791549582142,1024,0,finals/julia/vern7/adaptive_julia_tol_1em06.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,0.08181021728038133,1024,0,finals/julia/vern7/adaptive_julia_tol_1em07.csv
julia,vern7,numerical,adaptive,julia,1024,tol,1.0e-8,0.08182518872611397,1024,0,finals/julia/vern7/adaptive_julia_tol_1em08.csv
julia,vern7,work_precision,fixed,fixed,131072,dt,3.75,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,1.875,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.9375,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.46875,,0,131072,
julia,vern7,work_precision,fixed,fixed,131072,dt,0.234375,,0,131072,
