tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,naccept,nreject,converged
0.01,0,4.66568041,4.17041731,-2.56883478,-2.5,4.6677804,3.62385011,4.84510422,-2.5,-2.56883478,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,1,4.66633368,4.17203808,-2.56869817,-2.5,4.66842937,3.62385011,4.84540796,-2.5,-2.56869817,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,2,4.66698742,4.17365932,-2.56856203,-2.5,4.66907835,3.62385011,4.84571028,-2.5,-2.56856179,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,3,4.66764164,4.17528057,-2.56842566,-2.5,4.66972733,3.62385011,4.84601259,-2.5,-2.56842566,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,4,4.66829491,4.17690134,-2.5682888,-2.5,4.67037582,3.62385011,4.84631538,-2.5,-2.5682888,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,5,4.66894865,4.17852259,-2.56815243,-2.5,4.67102575,3.62385011,4.84661818,-2.5,-2.56815267,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,6,4.66960192,4.18014383,-2.56801629,-2.5,4.67167425,3.62385011,4.84692097,-2.5,-2.56801629,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,7,4.67025566,4.18176508,-2.56787992,-2.5,4.6723237,3.62385011,4.84722328,-2.5,-2.56788015,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,8,4.67090988,4.18338585,-2.56774354,-2.5,4.6729722,3.62385011,4.84752655,-2.5,-2.56774354,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
0.01,9,4.67156363,4.1850071,-2.56760716,-2.5,4.67362165,3.62385011,4.84782887,-2.5,-2.56760716,3.62385011,0,3.62385011,-2.5,-2.5,0,3,0
