tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,2.06910181,2.92695117,-2.43284988,0.566437125,-2.46301556,1.72641432,0.657276392,-2.7670114,-3.41464567,1.90329921,-2.97575736,2.12106037,-0.291202575,1.57826364,5.01603746,1.11510098,-5.33785868,2.22579837,0.735871196,-0.490795195,0.233937696,0.436458319,0.285849571,-2.03673577,-0.492124766,-0.788405597,2.27552438,-0.346048594,80,0,1
0.01,1,0.671360791,3.50298572,-3.35543633,0.81330049,-1.92486525,1.50355709,0.653976083,0.629155278,-2.26596093,1.59100318,-2.73609686,2.92380524,-0.646054745,0.735640883,8.5398016,1.23392975,-1.55488873,2.71017623,-2.04053497,-0.685424924,0.198412254,-0.112787418,1.55770695,-0.726920784,0.359096706,-1.099213,1.99038661,-1.25153553,100,1,1
0.01,2,0.703832746,3.51138997,-3.60858274,0.811209917,-1.73398995,1.50220406,0.624236941,0.808219433,-2.26519942,1.11520743,-2.7356689,3.19138217,-0.652073264,0.740753531,-4.48849487,1.23947549,-1.97121596,2.70521951,-1.78084874,-0.677838683,1.12035501,4.79068995,1.55236423,-1.23524332,0.357961595,-0.779430747,1.96695721,-1.59211874,104,1,1
0.01,3,0.477318019,2.46240425,-1.49715626,-0.441806465,-1.49645913,1.75829208,0.362697124,0.788518012,-3.34963942,2.91614127,-2.69177032,2.9162519,-1.39034057,1.08488929,4.9177947,1.98447919,-10.9288778,2.23350477,2.72862506,-0.094327271,0.617922246,1.21650219,-0.248077258,65.8326569,-0.472336709,-40.2198105,2.10396552,-1.03581202,485,1,0
0.01,4,0.592248738,3.48202085,-3.35154033,0.809860289,-1.93827057,1.51072061,0.670880795,0.596624196,-2.40907407,1.63032663,-2.74016023,2.88960719,-0.592348635,0.744235754,6.60806751,1.29586303,-1.53641737,2.69772291,-2.05146837,-0.713870227,0.346342385,-3.51226902,1.40238762,-0.673294067,0.339341313,-1.14315069,2.07161164,-1.01134956,84,1,1
0.01,5,0.684751153,3.20555997,-2.51638651,0.797377348,-2.57285357,1.58562315,0.781948328,0.900811851,-3.15730906,2.50297785,-2.76205444,2.47774267,-0.298552275,0.617355287,-3.33748388,1.32582355,0.998478472,2.6558001,-3.67176032,-0.885101557,1.29890227,-3.11172247,0.567364752,-7.63641262,0.243390411,3.11730385,2.58134222,-1.2421366,149,1,1
0.01,6,0.817278624,3.16099572,-2.53648162,0.801154077,-2.59696126,1.59875143,0.797958136,0.813901186,-3.06789184,2.58708858,-2.76171541,2.46543288,-0.326452494,0.595034361,-4.33420658,1.26692379,2.24286413,2.66926479,-4.46809244,-0.871306837,1.40486372,-0.803693235,0.690309227,-3.13258314,0.248008415,0.458581597,2.54691267,-1.44861972,92,1,1
0.01,7,0.532125115,3.30965757,-2.58602905,0.79420048,-2.59245348,1.54178905,0.847537577,0.556779504,-3.32496262,2.4955349,-2.75843167,2.57112265,-0.224133343,0.561843336,1.22758996,1.44207799,-8.34261227,2.63872027,1.84359777,-1.01927924,1.12286985,-5.78892899,0.343311667,-1.67654562,0.24905172,-0.360553086,2.79401493,-1.23723483,142,1,1
0.01,8,0.637679756,3.58026099,-2.4326179,0.824262559,-2.6670711,1.47068977,0.794338048,0.679430366,-2.21846199,2.38275552,-2.72905064,2.57948422,-0.635907531,0.615772009,-1.20484281,1.2792424,-3.76578617,2.72909069,-0.871896982,-0.7360062,1.03065526,-7.1213007,1.57765567,-3.45666122,0.386252046,0.642202914,2.1044383,-0.931970239,67,1,1
0.01,9,0.686575234,2.83595419,-2.52590346,0.793688118,-2.22430706,1.71301568,0.537390411,0.94056648,-3.21983409,0.0850286931,-2.77166724,3.67473555,-0.305908173,0.827131152,-3.01225543,1.0543977,-1.35717762,2.64797974,-1.71643102,-0.710022211,0.822712302,3.49950027,0.533690631,-2.2619803,0.197572395,-0.236092657,2.37035227,-1.41561472,58,1,1
0.01,10,0.728689015,3.53684521,-2.77285576,0.827782452,-2.47075129,1.48393703,0.793260217,0.672046781,-2.11393738,2.50276375,-2.72754931,2.52937508,-0.671608448,0.601520181,-4.86782837,1.18330109,-1.18433428,2.74137783,-2.43382025,-0.705057383,1.30366027,-7.28586149,1.71409416,2.33176088,0.394979149,-2.81023526,2.04469943,-0.924381077,96,1,1
0.01,11,0.749203384,3.10446668,-2.85016823,0.800311446,-2.43093419,1.61173034,0.826613009,0.485243618,-3.18423891,2.47374344,-2.76425314,2.58272576,-0.278244197,0.57971859,6.93122339,1.24794829,-1.60222614,2.66494894,-2.19698548,-0.918219924,0.65254575,-5.9447217,0.555187106,1.45161247,0.234854624,-2.23800373,2.64203954,-1.14265907,79,1,1
0.01,12,0.738027155,3.39121222,-2.70226455,0.82336086,-2.50603366,1.53133845,0.791980505,0.791885197,-2.22111797,2.31267047,-2.73591352,2.64306426,-0.631383181,0.594821334,-4.38700962,1.1236378,-4.11872196,2.73298597,-0.663048625,-0.703917205,1.28377116,-2.64721584,1.67448044,0.337887973,0.362932235,-1.61256707,2.07354641,-1.2603749,63,1,1
0.01,13,0.933422446,3.47448635,-2.52260137,0.820693493,-2.61576843,1.50419033,0.780346334,0.553962827,-2.33201742,2.43234062,-2.73540258,2.57356143,-0.591215909,0.608252108,3.20658541,1.25163507,-4.18741369,2.72057557,-0.6301741,-0.751357734,0.738751292,4.6413765,1.50179815,-5.49266386,0.360457987,1.89098179,2.16154456,-1.8286804,85,1,1
0.01,14,0.722403705,3.48789334,-2.59099531,0.814170718,-2.56501293,1.49913931,0.793753982,0.713581026,-2.56572676,2.32587981,-2.73965812,2.61915135,-0.506605923,0.606638908,-5.14121532,1.36491072,-4.44780445,2.69788861,-0.454256296,-0.809192479,1.37494338,-5.44528246,1.21839237,-1.24074209,0.33630091,-0.676174641,2.30196762,-1.09375262,85,1,1
0.01,15,0.887446165,3.41800904,-2.57196498,0.804686606,-2.56246662,1.52024937,0.779243588,0.614419222,-2.90025306,2.55544734,-2.74901104,2.45650387,-0.386286706,0.630096376,2.48905993,1.42610252,4.77447319,2.66920614,-5.96457052,-0.870845199,0.84231329,6.03473711,0.835263312,-3.96922898,0.292648435,0.937036633,2.48524499,-1.95431364,108,1,1
0.01,16,0.721137881,3.3170023,-2.94544125,0.796450794,-2.29196835,1.55534375,0.762454689,0.587956667,-3.13610888,2.35377908,-2.7581892,2.52242637,-0.309775382,0.678964019,8.42409897,1.40952456,0.0585731529,2.64834213,-3.09258246,-0.87476337,0.387665272,-4.49085093,0.5698452,0.207679182,0.253572196,-1.61877,2.56194305,-1.10057831,99,1,1
0.01,17,0.634818256,2.91580558,-3.63226795,0.78019315,-1.68331981,1.692379,0.635469139,0.663211286,-3.57234406,0.65405786,-2.78011584,3.41857457,-0.182292655,0.790072799,7.97389412,1.16947305,-2.09443927,2.61120462,-1.64040327,-0.77405715,0.308598578,-1.0752939,0.0910947025,-1.62730777,0.15911369,-0.545591533,2.59835267,-1.17634535,86,1,1
