dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,converged
1.5,0,11762.0361,3.05248356,-34.3125725,15.3234406,-3.76133776,4.52271557,-835.614929,-12131.7383,-1.42388904,-168.440506,7.15521049,-21.8957195,-1.44488788,952.724548,6078.36279,1.89721513,-18.0918293,8.51425934,0.559540629,1.75984156,-433.730621,-6276.97021,0.114906311,-72.6257095,5.40623569,-10.5391827,0.25462842,483.667816,1
1.5,1,11718.2949,3.04800558,-34.3973465,15.3612709,-3.76115966,4.51794529,-834.92511,-12086.2002,-1.42278254,-168.657623,7.17151594,-21.8978081,-1.44182372,952.085938,6055.90283,1.8975296,-18.1288929,8.53384876,0.555653334,1.75621188,-433.384399,-6253.5918,0.119349003,-72.720726,5.41002369,-10.5403357,0.257415891,483.343658,1
1.5,2,11674.7314,3.04391837,-34.4927368,15.3979855,-3.75906563,4.51358318,-834.225281,-12040.8477,-1.42094207,-168.867264,7.18721867,-21.9008026,-1.43816304,951.438721,6033.5332,1.89808226,-18.1704845,8.55245876,0.552490473,1.75313544,-433.033691,-6230.30664,0.124394178,-72.8125687,5.41268635,-10.5419064,0.260956407,483.015076,1
1.5,3,11631.3848,3.03949547,-34.5920143,15.4373198,-3.7578001,4.50886154,-833.522888,-11995.7178,-1.41901112,-169.096008,7.20383358,-21.9037628,-1.43427241,950.796936,6011.27588,1.89862299,-18.2139473,8.57243633,0.548968971,1.74972081,-432.681427,-6207.13525,0.129738808,-72.9126892,5.41559315,-10.5434847,0.264645457,482.688324,1
1.5,4,11588.2793,3.0351429,-34.6914444,15.4769011,-3.75667048,4.50420189,-832.819397,-11950.8359,-1.41690469,-169.326553,7.22031403,-21.9071083,-1.43021071,950.154358,5989.14111,1.89930534,-18.2574539,8.59249496,0.545362413,1.74634635,-432.328461,-6184.0918,0.13524437,-73.0135574,5.41830063,-10.5452642,0.268488288,482.361328,1
1.5,5,11545.3789,3.03067112,-34.7914085,15.5175924,-3.75640726,4.49940491,-832.111816,-11906.166,-1.41471827,-169.566666,7.23703146,-21.9106579,-1.42599368,949.512878,5967.1123,1.90006685,-18.3013153,8.61312675,0.541382968,1.74281263,-431.973663,-6161.15674,0.140939474,-73.1186295,5.42102814,-10.5471573,0.27242434,482.034302,1
1.5,6,11502.668,3.02635384,-34.9047623,15.5588188,-3.75442553,4.49476862,-831.395996,-11861.6865,-1.41184235,-169.809265,7.25387287,-21.9149914,-1.42114055,948.866882,5945.17871,1.90096951,-18.3510132,8.63368702,0.538052976,1.73959923,-431.614868,-6138.31934,0.147307873,-73.2248535,5.4229722,-10.5494108,0.277102828,481.705048,1
1.5,7,11460.207,3.02172709,-35.0114403,15.6020021,-3.75478697,4.48978519,-830.682983,-11817.4639,-1.40918183,-170.067688,7.27119064,-21.9191723,-1.41634595,948.227905,5923.37354,1.90194011,-18.3979473,8.65546131,0.533755898,1.73590398,-431.257172,-6115.61475,0.153637648,-73.3378525,5.42544365,-10.5516415,0.281546116,481.378723,1
1.5,8,11417.9609,3.01727819,-35.130188,15.645505,-3.75342512,4.48498726,-829.964172,-11773.4658,-1.4059062,-170.328537,7.28851223,-21.9239464,-1.41099405,947.587097,5901.67969,1.90302968,-18.4501972,8.67710304,0.530146122,1.73252714,-430.89682,-6093.02393,0.160544634,-73.4519806,5.42720222,-10.5541382,0.286623955,481.051636,1
1.5,9,11375.917,3.01268911,-35.2442055,15.689971,-3.75375175,4.48002005,-829.243835,-11729.6768,-1.4027003,-170.597015,7.30594873,-21.9284019,-1.40562785,946.945862,5880.08838,1.90426612,-18.5004005,8.69932365,0.52581352,1.72888446,-430.535431,-6070.54004,0.1674788,-73.569397,5.42913818,-10.5565014,0.291622281,480.724182,1
1.5,10,11334.1064,3.00805759,-35.3706017,15.7365246,-3.75301409,4.47500229,-828.518921,-11686.1221,-1.39888382,-170.880844,7.32402134,-21.9340611,-1.39962697,946.310181,5858.61621,1.90559387,-18.5561314,8.72238827,0.521869302,1.72531796,-430.172119,-6048.17676,0.175093889,-73.6935043,5.43065357,-10.5594645,0.297270298,480.398895,1
1.5,11,11292.46,3.0034821,-35.4942818,15.782733,-3.75320053,4.4700222,-827.789795,-11642.7412,-1.3950274,-171.1633,7.34178162,-21.9393539,-1.39356017,945.66864,5837.22852,1.90709305,-18.6106834,8.7452631,0.517530203,1.72170866,-429.806305,-6025.90234,0.182765007,-73.817009,5.43205833,-10.5622492,0.302921414,480.070648,1
