tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,8.94671154,3.3839972,-7.33973408,0.772288382,-0.666200817,1.61221981,0.835199296,4.62015009,-3.41422725,1.05205953,-2.8098135,1.86326313,-0.281899244,1.49664605,5.22754622,1.53663576,-5.58775663,2.60636902,0.260409534,-0.543577373,0.372882187,1.82758415,0.215145931,-1.41580629,0.114133678,-2.22636676,2.38933945,-0.108203106,85,24,1
0.01,1,9.01778984,3.38198924,-6.71973944,0.771150589,-0.833126068,1.61046827,0.685102761,4.64431334,-3.41486168,1.39765859,-2.80715656,1.52003014,-0.289514482,1.59682429,5.28153372,1.53280163,-4.98260927,2.5971086,0.406882226,-0.552370608,0.0178680029,1.84172821,0.21242696,-1.15593457,0.121448785,-2.32439661,2.3393116,-0.111469321,87,24,1
0.01,2,9.04765701,3.38088179,-6.93658829,0.771707952,-0.745276749,1.6120187,0.710551858,4.73389101,-3.4200654,1.33636594,-2.80825567,1.54306614,-0.285779446,1.59876645,5.30186796,1.53352308,-5.19583368,2.59889531,0.521201372,-0.550036013,0.0217985045,1.90047383,0.206771955,-1.19969511,0.117854968,-2.35358214,2.3529222,-0.0844730139,87,24,1
0.01,3,9.07822323,3.38259125,-6.85117388,0.771569788,-0.754605889,1.61116326,0.677465975,4.84037256,-3.41460919,1.37151504,-2.80768251,1.47505713,-0.289460897,1.62551427,5.32407141,1.53364003,-5.110991,2.59729981,0.589255571,-0.550935686,-0.064232409,1.97053003,0.212328687,-1.17351115,0.119605422,-2.36194491,2.3391757,-0.0859717801,87,24,1
0.01,4,9.03790665,3.39280629,-6.63824177,0.770812869,-0.804392576,1.60667872,0.624768674,4.94304228,-3.41786337,1.44492137,-2.80601883,1.38422489,-0.291018039,1.65244162,5.29261494,1.54158533,-4.89957905,2.59319448,0.606139004,-0.556618869,-0.160792783,2.03623796,0.205670774,-1.1212877,0.124328576,-2.35442257,2.3243351,-0.106966116,88,24,1
0.01,5,8.90686607,3.38862538,-8.20876598,0.774084449,-0.385274231,1.61421573,0.999581099,5.3485961,-3.42385674,0.59633404,-2.81264353,2.18613911,-0.2683523,1.39959359,5.19332838,1.54481637,-6.39885473,2.61571527,0.205146179,-0.533334076,0.740516901,2.30185819,0.204806775,-1.76531446,0.104591221,-2.04552865,2.45983171,-0.175886676,86,24,1
0.01,6,8.87384796,3.43080473,-6.19115448,0.770323455,-0.944344997,1.59130836,0.545120478,5.53731871,-3.37845564,1.44684434,-2.80116105,1.27372122,-0.31066519,1.6893481,5.17895794,1.56517982,-4.44106722,2.58799624,0.469495207,-0.568501294,-0.247234896,2.42699766,0.243176028,-1.1237216,0.137605324,-2.30944085,2.27725554,-0.145254806,87,22,1
0.01,7,8.75242233,3.37951469,-6.44887924,0.769564629,-0.806455314,1.60937095,0.564307392,5.79893732,-3.4320662,1.3205055,-2.80462217,1.30455935,-0.288986892,1.70058084,5.08941221,1.53179371,-4.70678806,2.58768535,0.700523317,-0.557561457,-0.292592704,2.59886408,0.18986693,-1.21276534,0.124685124,-2.33943176,2.31255388,-0.106347375,88,22,1
0.01,8,8.55945206,3.3832159,-8.65909672,0.773612678,-0.218770117,1.61733532,1.09447372,6.15946484,-3.42866802,0.0231617671,-2.81409025,2.59168911,-0.262914598,1.29235125,4.93797874,1.54261184,-6.81573915,2.61979485,0.0178871341,-0.527207077,1.06138754,2.83663177,0.200604767,-2.21721458,0.0977484882,-1.58551335,2.50239992,-0.382711798,85,21,1
0.01,9,8.75702,3.38569617,-8.60319138,0.77386564,-0.243201628,1.61691904,1.07182002,6.30215263,-3.42815351,0.153748736,-2.81374002,2.41117811,-0.264276505,1.35501719,5.08928871,1.54435837,-6.75909662,2.6184411,0.136497021,-0.523619056,0.937462449,2.93204761,0.200340405,-2.11001039,0.0986799449,-1.827034,2.48540449,-0.249621838,86,22,1
0.01,10,8.71962261,3.390095,-7.26254129,0.771579385,-0.487778783,1.60980737,0.679642916,6.5445013,-3.41348386,0.878834367,-2.80700421,1.48418546,-0.288653225,1.70075583,5.07133818,1.54020035,-5.50505352,2.59823298,1.12121129,-0.544036746,-0.272861153,3.09069777,0.211720437,-1.53932548,0.117227741,-2.46134114,2.34259129,0.0551616997,88,23,1
0.01,11,8.56213188,3.42867064,-6.34805679,0.769734621,-0.72899431,1.59121728,0.476400644,6.89115095,-3.37859201,1.14452136,-2.79974604,1.20210862,-0.311789036,1.76778126,4.96290112,1.56296051,-4.60010242,2.58564186,0.978152454,-0.569774449,-0.528826118,3.31922293,0.242433712,-1.33966506,0.13890183,-2.30315447,2.26754475,-0.117731117,89,22,1
0.01,12,8.19128418,3.41214371,-6.75937176,0.77034682,-0.524747133,1.59879899,0.530911028,7.38168097,-3.38574243,0.850532115,-2.80200505,1.30730152,-0.305005163,1.77907193,4.69448805,1.55160522,-5.02082205,2.59075618,1.3372587,-0.557531953,-0.596390665,3.6396997,0.238441408,-1.55897605,0.13067992,-2.35447145,2.29103899,-0.0257771853,87,25,1
0.01,13,8.53098679,3.38063049,-7.32459354,0.770108283,-0.37504676,1.61376488,0.636259615,7.65919971,-3.41202545,0.521550953,-2.80702734,1.47260749,-0.292704791,1.78032339,4.94876862,1.53235674,-5.56689215,2.59544468,1.48097169,-0.534025133,-0.502175808,3.83486128,0.213734478,-1.81020713,0.113694921,-2.44967604,2.32398033,0.123190165,88,23,1
0.01,14,8.56596756,3.38038063,-7.57678843,0.770852625,-0.336369604,1.6158123,0.71084851,7.59956551,-3.41697621,0.429707736,-2.80850267,1.56647909,-0.287937045,1.75426769,4.97027969,1.53405428,-5.80695438,2.59905839,1.38466656,-0.527171791,-0.341563702,3.79265285,0.208797619,-1.88256538,0.108959123,-2.50186324,2.34379244,0.18094939,88,24,1
0.01,15,8.35365677,3.41214895,-6.56618166,0.769603848,-0.481316805,1.59695506,0.403731793,7.8213129,-3.3786509,0.903918266,-2.80010533,1.15020108,-0.312022507,1.8357712,4.81914616,1.5489049,-4.82431507,2.58555365,1.59096992,-0.56791693,-0.861425936,3.93543315,0.245461196,-1.51534569,0.136301994,-2.17606091,2.26348734,-0.177855447,89,26,1
0.01,16,8.5593586,3.39027548,-6.20646191,0.767829478,-0.571381152,1.60116887,0.301042944,7.87709761,-3.39949465,1.12010467,-2.79884028,0.990026057,-0.308989406,1.85498381,4.96946478,1.53202951,-4.45404196,2.57748127,1.44488215,-0.576138973,-0.911536574,3.97876787,0.223337218,-1.35604143,0.140831813,-2.06345057,2.24759746,-0.313275605,90,26,1
0.01,17,8.51644421,3.43066335,-6.5103159,0.769264519,-0.364889622,1.5885545,0.284281164,8.04719353,-3.38290501,1.04892385,-2.79807782,1.00470138,-0.312226951,1.8588289,4.93797445,1.56396866,-4.76680946,2.58123255,1.8929683,-0.588877261,-1.09658337,4.08907938,0.236220375,-1.40700471,0.144939691,-1.90996993,2.25706911,-0.424316347,90,26,1
0.01,18,8.40725803,3.39074254,-7.42093039,0.771053076,-0.0948307812,1.61001754,0.480686694,8.25171947,-3.39877582,0.539095879,-2.80579543,1.27425778,-0.297874153,1.86499357,4.8565855,1.53785098,-5.66673708,2.59495878,2.52052402,-0.54638654,-1.19087029,4.22070503,0.227181882,-1.79466856,0.119096331,-2.07041693,2.30989146,-0.182248726,90,23,1
0.01,19,7.93160439,3.38581777,-8.15655327,0.773382485,-0.0530505069,1.61851072,0.793641686,8.595891,-3.38622952,0.0472473875,-2.81013727,1.61274099,-0.292918175,1.80160546,4.5095253,1.53587472,-6.37329626,2.6083467,1.94261408,-0.507969797,-0.490127563,4.43848753,0.245509416,-2.18560266,0.103536621,-2.63588405,2.35369492,0.338000238,89,23,1
0.01,20,8.0350399,3.38989305,-6.35408306,0.768478274,-0.242657125,1.59920204,0.165922195,8.88030338,-3.38618731,0.928253651,-2.79698706,0.948514163,-0.312416136,1.88498747,4.59877396,1.52855396,-4.61853123,2.57866383,2.11559105,-0.59288305,-1.28158176,4.64067793,0.239461809,-1.4955802,0.146262214,-1.58155739,2.2473278,-0.658548415,91,26,1
0.01,21,8.19298744,3.38182068,-5.84447145,0.767048478,-0.495387048,1.59782517,0.119310886,9.03222752,-3.38073921,1.12705374,-2.79335499,0.802720845,-0.319383144,1.89350963,4.71781445,1.51848269,-4.07944775,2.5706718,1.55244172,-0.599472225,-1.10726559,4.74530602,0.245858803,-1.35342669,0.156460628,-1.7981503,2.2139585,-0.552720785,91,25,1
0.01,22,7.58679914,3.41027021,-5.27650976,0.76518774,-0.709291816,1.58443654,0.0781010985,9.90037441,-3.38192677,1.05805373,-2.78735256,0.72052151,-0.322849482,1.91440344,4.30182028,1.54049349,-3.46288967,2.56067419,1.12665308,-0.610427082,-1.02791381,5.32141638,0.237119913,-1.40517235,0.169663951,-1.93995225,2.19207168,-0.46034348,90,26,1
0.01,23,7.38642073,3.41142035,-6.48453522,0.768229961,0.00360818696,1.59146035,0.0928433836,10.1984253,-3.37623906,0.480185211,-2.79461837,1.05535471,-0.314545691,1.89413548,4.161448,1.54544485,-4.76376915,2.57924247,2.62478113,-0.598051488,-1.55331624,5.51427603,0.246986941,-1.82702708,0.148512021,-0.984013557,2.25463343,-1.02253735,90,25,1
0.01,24,6.86380529,3.41604257,-5.27332497,0.766144276,-0.508463919,1.57880116,-0.0107223084,10.7361717,-3.35226965,0.922214568,-2.78392768,0.700586081,-0.331062436,1.91667593,3.80024934,1.53879046,-3.48109341,2.56280351,1.44844842,-0.627337635,-1.19965553,5.87094879,0.271272033,-1.49878383,0.180967376,-1.70132744,2.18495107,-0.645028174,91,25,1
0.01,25,6.27003431,3.41918564,-6.47303772,0.770808578,0.260432661,1.5844152,-0.00943359733,10.9764547,-3.34571886,0.469706893,-2.79088402,1.07661223,-0.318682253,1.813465,3.37744355,1.54523754,-4.77742052,2.58483434,2.67253637,-0.622875929,-1.50507224,6.00538349,0.283096105,-1.83830106,0.160411119,-0.170817658,2.27213597,-1.67064202,90,22,1
0.01,26,6.21882343,3.38306093,-4.77455854,0.764699996,-0.624068856,1.58413184,-0.0882598087,11.7259359,-3.37014413,0.922214568,-2.77936769,0.565792561,-0.32637307,1.93210769,3.36707592,1.51124108,-2.91680169,2.55384469,1.14983487,-0.635817051,-1.1762327,6.53332853,0.255368203,-1.5041759,0.190394253,-1.78538668,2.1729908,-0.626648724,91,24,1
0.01,27,5.16039324,3.41285586,-4.76437378,0.767209113,-0.417782366,1.56876528,-0.155834824,12.3950872,-3.33713555,0.920099318,-2.77424693,0.535552621,-0.332353324,1.89397311,2.6347785,1.52865267,-2.94072795,2.55831361,1.39821625,-0.671019435,-1.2650063,6.96571064,0.290111929,-1.51557636,0.208498612,-1.56873131,2.17875123,-0.836425662,91,25,1
0.01,28,5.03283262,3.40877724,-3.95810223,0.763613045,-0.883173227,1.56772971,-0.155438647,13.055398,-3.36401463,0.958852589,-2.76911831,0.357104659,-0.330129653,1.95466626,2.56587005,1.52779186,-1.90344775,2.54107881,0.584261537,-0.657564104,-1.12482059,7.42380762,0.255942613,-1.52774072,0.217156202,-1.98430371,2.1464839,-0.538767278,91,25,1
0.01,29,4.94255829,3.40372252,-4.29150581,0.76623863,-0.664159179,1.56867898,-0.163291901,12.7918167,-3.32702422,1.0046711,-2.76999712,0.392815739,-0.339038849,1.92541218,2.49145198,1.51707375,-2.35959387,2.55105734,0.942836761,-0.666858912,-1.17489982,7.23142815,0.302163422,-1.48848474,0.219770879,-1.8223213,2.1478672,-0.673824608,93,27,1
0.01,30,4.46542692,3.41235113,-5.45724154,0.771781683,0.247862384,1.56544352,-0.281323373,13.0438633,-3.31321645,0.704963505,-2.77496576,0.824126303,-0.325719565,1.711622,2.16353559,1.5252279,-3.76215887,2.57767963,1.91928983,-0.707962334,-1.22861695,7.38999033,0.32301715,-1.66223168,0.207567737,-0.264090836,2.25994349,-1.82127047,94,26,1
0.01,31,3.60088444,3.40416884,-4.34163523,0.768684089,-0.362885982,1.56111562,-0.248314574,13.6783571,-3.32792926,0.939852595,-2.76558828,0.398012966,-0.329989284,1.86627913,1.57879508,1.51570165,-2.47922516,2.55607939,1.29892004,-0.70856005,-1.27463639,7.81139708,0.303137779,-1.5313226,0.234744787,-1.52305543,2.18006396,-0.953879654,94,27,1
0.01,32,2.71485758,3.3983078,-4.35990238,0.771393657,-0.180001751,1.55740583,-0.298708379,14.2541428,-3.31202674,0.943570197,-2.76247382,0.401786864,-0.32842204,1.80710363,0.981763244,1.50647116,-2.53883553,2.56240654,1.45978844,-0.741467237,-1.29045057,8.19315243,0.324972779,-1.53632724,0.245068133,-1.32104492,2.20008659,-1.1567899,96,26,1
0.01,33,2.07574749,3.3987484,-5.39252996,0.77909714,0.572731316,1.55660641,-0.347534239,14.3124208,-3.27802324,0.861196637,-2.7675879,0.939390361,-0.313475519,1.43187666,0.540978193,1.50446784,-3.77212,2.59453201,1.32680893,-0.758409739,-0.635850787,8.21340466,0.372484416,-1.57104754,0.228817418,0.225599274,2.35435915,-2.38648224,98,29,1
0.01,34,1.35963535,3.39349413,-5.56360292,0.781897545,0.696016788,1.55870998,-0.307737023,14.7642412,-3.27146125,0.837669671,-2.76753807,1.12132061,-0.305396676,1.26531899,0.0628346726,1.49970245,-3.98557901,2.60160875,0.782719851,-0.742740631,-0.134401396,8.51744461,0.383107841,-1.59101534,0.226432547,0.442293555,2.39170337,-2.59199071,101,27,1
