tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,naccept,nreject,converged
0.01,0,5.75346947,3.32853484,-4.16912031,0.762970328,-0.0352346785,1.56956184,-0.68850565,16.9782352,-3.31619477,1.00235307,-2.75776577,1.21133792,-0.336782575,1.09018254,3.05762959,1.44800079,-2.45078135,2.5598526,-0.414345413,-0.728983939,-0.12375199,10.0609713,0.335244149,-1.80836213,0.243751228,0.798055887,2.19824767,-2.63295245,61,38,1
0.01,1,8.60006046,3.33980751,-3.07507849,0.755914092,-2.10441661,1.61337733,0.0793643147,7.99349117,-3.32646585,1.06314015,-2.79117656,0.957793534,-0.367245913,1.93409622,4.99889183,1.47443938,-2.11270857,2.54743218,-0.416161209,-0.542024195,-0.567757308,4.06544733,0.310969055,-1.40280557,0.148753256,-2.13270879,2.08587241,-0.128416285,90,70,1
0.01,2,9.44617653,3.3498888,-11.019309,0.770482898,0.441223979,1.65545845,1.55647767,9.11104965,-3.32644773,-1.61826897,-2.82090139,2.64962983,-0.339399129,1.78658974,5.60808277,1.51110983,-11.0990305,2.62868261,1.89123201,-0.355497181,1.37378073,4.82107925,0.324483037,-4.52395439,0.0593060963,0.0557755753,2.28971004,-0.536587894,118,81,1
0.01,3,24.8175316,3.29325056,0.152675763,0.746128082,-2.26278424,1.46694469,-2.21736026,24.8674335,-3.32037139,-0.956454992,-2.63494349,0.68596071,-0.395985633,1.70943999,15.9525928,1.38231254,1.29863787,2.48619008,0.345401496,-1.02628446,-2.88872361,14.6559734,0.32620576,-1.76035583,0.549972951,-0.997122109,1.87243247,-1.60181105,49,34,1
0.01,4,19.1440983,3.33479142,-4.29563189,0.738525271,-1.88816941,1.60442829,-0.298466027,12.3266973,-3.32557821,0.0755611956,-2.77749372,0.838130593,-0.403903395,2.14988112,12.1110668,1.46548486,-2.20903444,2.51426077,-0.488965929,-0.541315079,-0.970680952,6.45050955,0.303837985,-2.46418548,0.157152548,-1.58468378,1.98139536,-0.153109729,45,28,1
0.01,5,7.62705469,3.34714985,-9.07098103,0.766387403,0.0644440129,1.63228273,1.14138854,9.29493046,-3.32621741,-1.15745997,-2.81469774,3.04298568,-0.309927225,1.26209033,4.30250311,1.4998666,-7.21286488,2.61987257,-0.00567069557,-0.49482137,1.28197896,4.90853643,0.327966154,-3.15702939,0.0880982801,-1.04434168,2.44300675,-0.494830817,50,29,1
0.01,6,-12.3316879,3.34853721,-0.213122606,0.778381526,-2.23011184,1.56457913,0.48465395,0.614178419,-3.24328995,1.3953259,-2.76774669,3.00919771,-0.324488193,0.783778489,-8.74452972,1.45597553,-0.613892555,2.61774969,-2.20147157,-0.811656594,1.2550317,-0.754410386,0.435062677,-1.99255311,0.240824282,-0.972487509,2.39333534,-0.709926963,57,40,1
0.01,7,-9.39832973,3.33023214,-3.84398937,0.78833586,-0.0144638522,1.55162406,0.258165538,12.9696703,-3.29870367,2.65514088,-2.75566125,1.18226278,-0.270740002,0.611514151,-7.16794395,1.44438171,-3.05150509,2.61411214,-1.53197801,-0.913194001,1.80084348,7.15839672,0.374888301,-0.634917915,0.28296423,-3.25678873,2.46692061,-0.306733042,58,36,1
0.01,8,3.48986053,3.33238983,-6.70610142,0.801025093,0.298494458,1.53315353,0.329622507,1.23962522,-3.2948215,5.86530733,-2.75001264,0.0391754508,-0.221065313,0.860731959,0.40724057,1.44460833,-5.3234787,2.64279079,3.14530468,-1.08059335,-0.991614938,-1.5741837,0.394146621,2.21674848,0.318962604,-1.92286503,2.64500523,-2.02350426,49,32,1
0.01,9,3.88163829,3.40155602,-3.27667284,0.792454243,-2.54177499,1.60694945,0.781687737,-4.32510185,-3.28033304,2.92774606,-2.78192186,2.95708752,-0.263475388,0.494251758,0.0151267089,1.70715129,-1.67842233,2.64721894,-2.54852843,-0.868874431,1.2828877,-4.22931337,0.350747913,-1.0718739,0.196675852,-0.0408683419,2.59354639,-1.63700521,70,46,1
0.01,10,0.0149933072,2.29376054,0.0147364065,-2.19526267,1.26899374,0.662340283,-0.233345598,2.06467795,-2.44474435,2.06479692,-1.77117527,1.92966914,-3.35732317,2.9652524,168.359482,-1.23462296,-26.7618618,1.15685439,-1.58756304,1.88927615,-1.70268333,-19.754034,0.597218394,3.72528553,-1.13568008,1.84946048,0.966985643,-1.81573105,18,39,0
0.01,11,6.84426832,3.33951902,-8.55885315,0.760225773,1.06556678,1.6358844,0.261336535,11.0969582,-3.32802224,-4.31468773,-2.80393767,2.5457325,-0.366580039,2.87251687,3.7858851,1.49505353,-9.81162357,2.58601117,1.20806634,-0.406357795,1.50636327,6.11875343,0.302760154,-8.77108479,0.072831355,-1.70913911,2.09446836,2.60531974,87,57,1
0.01,12,2.9687674,3.32980514,-6.26047277,0.798661351,0.0314462148,1.54179001,0.362192482,1.03128552,-3.29750323,5.75266838,-2.74996853,0.0568822213,-0.22953856,0.92124337,-0.23150824,1.44356489,-4.95875072,2.63371754,2.69458723,-0.98373431,-0.856636405,-1.84015584,0.387807041,2.08187962,0.311042547,-2.40874505,2.59958982,-1.55239761,47,31,1
0.01,13,0.0156060886,2.2939806,0.01618574,-2.19537807,1.26920259,0.66203481,-0.232020199,2.065207,-2.44472384,2.06490564,-1.77091992,1.9302237,-3.35742998,2.96529818,-1243.40588,-1.23429239,217.262817,1.15682912,-1.58822334,1.88928986,-1.70536697,458.970184,0.597441018,-79.0781326,-1.13565004,1.85119522,0.966933906,-1.81560314,17,37,0
0.01,14,36.0157623,3.21102643,-0.310875654,1.61727345,-3.91732788,1.40969384,-2.14509678,38.4092598,-3.80388975,-3.44984913,-3.16397691,2.33418226,-0.315903187,0.91517657,23.1754646,1.2313652,-0.884189785,4.57743645,-3.15642047,-0.874722242,-1.30756521,23.3933125,-0.21960713,-2.11905551,-2.04965186,-1.38618124,1.81255174,-0.160897881,57,44,1
0.01,15,16.9468594,3.32599187,-7.59734726,0.762473702,0.114436358,1.58530164,-0.18199937,17.5361042,-3.32139516,0.156389758,-2.76602626,0.993509531,-0.338615835,1.53058696,10.9300184,1.45638406,-6.16380024,2.574507,2.50509644,-0.675746202,-1.27082849,9.96302605,0.326620668,-2.30664802,0.201554015,0.852303088,2.22400856,-2.47796106,52,38,1
0.01,16,4.47851086,3.23810697,6.65631199,0.882569253,-9.18878841,1.60359895,1.22470689,14.6728535,-3.38680339,-31.2278805,-2.89974356,20.2139206,-0.454663098,1.65776026,2.17057991,1.3770386,7.3067565,2.78736115,-8.81628418,-0.381595999,1.34442353,8.54192448,0.210323542,-34.157856,-0.0903919861,18.0221558,1.99650514,-0.592383564,81,54,1
0.01,17,7.45656872,3.33276772,-4.77679253,0.759086132,-0.597208917,1.59865129,-0.188105673,11.9595118,-3.32240438,1.13834095,-2.77859378,0.39243421,-0.35417518,1.97199202,4.23492098,1.46121776,-2.91671181,2.54936576,1.01823318,-0.638642371,-1.12172854,6.71710777,0.321480155,-1.39596641,0.196762055,-1.71700799,2.12214541,-0.702276647,51,30,1
0.01,18,0.01614636,2.29497743,0.0162988193,-2.19616294,1.27037036,0.660558283,-0.228388518,2.06440854,-2.44499636,2.06441021,-1.76991367,1.93019867,-3.3581028,2.96664667,-163.931839,-1.23277366,30.8963089,1.15631998,-1.58711171,1.88923275,-1.70799184,380.472198,0.597946405,-66.4426041,-1.13572884,1.85351646,0.966375232,-1.80984128,18,38,0
0.01,19,-2.02906656,3.28520226,-2.84148645,0.950603008,-2.45658946,1.44621873,1.05884349,-5.87800932,-3.28432775,3.36983228,-2.86230493,3.43182492,-0.188830778,0.0812269151,-2.46249127,1.36138725,1.11837649,2.84815526,-4.23242188,-1.91683626,2.3560636,-4.13709402,0.39229843,0.157027513,0.0627789125,-0.147669315,3.45761919,-2.76147866,47,28,1
0.01,20,7.25141096,3.32752109,-8.69003963,0.814516723,0.589444995,1.44427598,0.756250083,2.49976015,-3.28445148,7.23655653,-2.73142028,0.396534055,-0.154004335,-0.144133702,3.86386991,1.42434061,-7.0998888,2.68238735,-0.739104927,-2.08846521,3.12892914,-0.28793624,0.425729513,3.49456167,0.417117447,-4.626122,3.01693201,-1.11745405,53,30,1
