tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,1.29747016e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824462e+13,-18.1581726,-1.29747002e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.0532869e+13,606.198181,0,7,0
0.01,1,1.29747016e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824462e+13,-18.1581726,-1.29747002e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.0532869e+13,606.198181,0,7,0
0.01,2,1.29747016e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824462e+13,-18.1581726,-1.29747002e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.0532869e+13,606.198181,0,7,0
0.01,3,1.29747016e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824462e+13,-18.1581726,-1.29747002e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.0532869e+13,606.198181,0,7,0
0.01,4,1.2974703e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824588e+13,-18.1581726,-1.2974703e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.05328942e+13,606.198486,0,7,0
0.01,5,1.2974703e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824588e+13,-18.1581726,-1.2974703e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.05328942e+13,606.198486,0,7,0
0.01,6,1.2974703e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824588e+13,-18.1581726,-1.2974703e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.05328942e+13,606.198486,0,7,0
0.01,7,1.2974703e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824546e+13,-18.1581726,-1.29747016e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.05328858e+13,606.198303,0,7,0
0.01,8,1.2974703e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824546e+13,-18.1581726,-1.29747016e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.05328858e+13,606.198303,0,7,0
0.01,9,1.2974703e+21,-2.38659991e+14,6.46596472e+25,-6.98866198e+20,-3.94194729e+24,5.59708342e+24,3.94182018e+24,-3.94182018e+24,1.62471269e+24,-3.21902969e+11,-1.62471269e+24,-3.21902969e+11,-3.71824546e+13,-18.1581726,-1.29747016e+21,-6.46735192e+25,1.26881619e+20,-1.26881619e+20,9.05328858e+13,606.198303,0,7,0
