tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,0.0620321073,0.128768831,4.54935478e-10,0.000632707612,1.9619921e-07,1.30725695e-07,0.0776967332,0.324688435,0.00745646562,1.49286059e-08,1.04010418e-08,0.00226377579,0.00021291172,1.22736883e-05,0.00897030346,4.98643653e-19,0.00690126233,9.87380408e-05,2.20189975e-07,7.78798403e-06,13,0,1
0.01,1,0.06201379,0.128786832,4.56852639e-10,0.000635283126,1.96277341e-07,1.3081646e-07,0.0777051598,0.324678361,0.0074581271,1.4940774e-08,1.04098508e-08,0.00226208754,0.000212935673,1.2286645e-05,0.00897061639,5.00673451e-19,0.00690130051,9.87013118e-05,2.21041603e-07,7.81522249e-06,13,0,1
0.01,2,0.0619989298,0.128801316,4.58803551e-10,0.000637922087,1.96346065e-07,1.30896993e-07,0.0777116269,0.324670613,0.00745940814,1.49514978e-08,1.04176214e-08,0.00226078229,0.000212954445,1.22980045e-05,0.00897086132,5.02753242e-19,0.00690132705,9.86738305e-05,2.21922406e-07,7.84392159e-06,13,0,1
0.01,3,0.0620093271,0.128791168,4.60951111e-10,0.000640962506,1.96260956e-07,1.30808914e-07,0.0777042583,0.324679434,0.00745794782,1.49387827e-08,1.04084279e-08,0.00226227753,0.00021292601,1.22850588e-05,0.00897056144,5.05149429e-19,0.00690129166,9.87074527e-05,2.23009366e-07,7.884365e-06,13,0,1
0.01,4,0.0619942993,0.128805861,4.62918287e-10,0.000643622712,1.96325558e-07,1.30884857e-07,0.0777108446,0.324671537,0.00745924702,1.49488759e-08,1.04157385e-08,0.00226095645,0.000212944433,1.22958063e-05,0.00897080358,5.07245918e-19,0.00690132147,9.86792438e-05,2.23897203e-07,7.9133315e-06,13,0,1
0.01,5,0.0619812235,0.128818691,4.64908445e-10,0.000646323431,1.96384633e-07,1.30955129e-07,0.077716291,0.324664831,0.00746033108,1.49581574e-08,1.04224673e-08,0.0022598512,0.000212959902,1.23056725e-05,0.00897101313,5.09374461e-19,0.00690134428,9.86563027e-05,2.24802932e-07,7.94317202e-06,13,0,1
0.01,6,0.0619884729,0.128811672,4.6706089e-10,0.000649355585,1.96306573e-07,1.30874838e-07,0.0777106211,0.324671805,0.00745920371,1.49465347e-08,1.04140616e-08,0.00226100744,0.000212935556,1.22939491e-05,0.00897076353,5.11764082e-19,0.00690131774,9.86817104e-05,2.25880996e-07,7.98290057e-06,13,0,1
0.01,7,0.0619738773,0.128825963,4.69057237e-10,0.000652056595,1.96373747e-07,1.30953865e-07,0.0777169168,0.324664265,0.00746044656,1.49570223e-08,1.04216618e-08,0.00225973921,0.000212953659,1.23050768e-05,0.00897100475,5.1389278e-19,0.00690134615,9.86551095e-05,2.26782461e-07,8.01232181e-06,13,0,1
0.01,8,0.061768584,0.129022807,4.69708161e-10,0.000651807408,1.92834577e-07,1.26247059e-07,0.0778222606,0.324535906,0.00748308934,1.42753711e-08,9.92078952e-09,0.00223672041,0.000213251071,1.24369944e-05,0.00897670072,5.13696428e-19,0.0069014919,9.85065271e-05,3.09407028e-07,9.18160913e-06,15,0,1
0.01,9,0.0619691983,0.128830478,4.73263539e-10,0.00065788324,1.96352929e-07,1.30941601e-07,0.0777160749,0.324665308,0.00746027753,1.49543737e-08,1.04197619e-08,0.00225992547,0.000212943589,1.23028422e-05,0.00897094794,5.18484873e-19,0.00690134009,9.86609011e-05,2.28800133e-07,8.08319965e-06,13,0,1
