tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,0.0637021586,0.127141938,4.66659378e-10,0.000654809002,3.50665118e-07,2.94266613e-07,0.0767661706,0.325785458,0.00726959389,3.53524001e-08,2.52541099e-08,0.00245841499,0.000205757489,3.91752219e-05,0.00891321059,5.16062009e-19,0.00689705787,0.000102941667,-2.2471599e-07,1.85751869e-05,16,0,1
0.01,1,0.0636994094,0.127144665,4.68747041e-10,0.000657723227,3.50627033e-07,2.94227902e-07,0.0767659545,0.325785786,0.00726954686,3.53476324e-08,2.52505785e-08,0.00245846366,0.000205753298,3.91691065e-05,0.00891318638,5.1835878e-19,0.00689705648,0.000102943959,-2.23658844e-07,1.86091111e-05,16,0,1
0.01,2,0.0636960417,0.127147958,4.7083959e-10,0.000660641992,3.50553989e-07,2.9415088e-07,0.0767660886,0.325785637,0.007269572,3.53379761e-08,2.52435584e-08,0.00245844084,0.000205751247,3.91565845e-05,0.00891319197,5.20659014e-19,0.00689705508,0.000102944585,-2.22445294e-07,1.863947e-05,16,0,1
0.01,3,0.0636943057,0.127149686,4.72953288e-10,0.000663596089,3.50598441e-07,2.94200532e-07,0.0767652914,0.325786591,0.00726941414,3.53440726e-08,2.524812e-08,0.00245860522,0.00020574544,3.91651993e-05,0.00891315471,5.22987165e-19,0.00689705135,0.00010294978,-2.21577125e-07,1.86788366e-05,16,0,1
0.01,4,0.063692987,0.127150983,4.75079587e-10,0.000666569744,3.50661281e-07,2.94270393e-07,0.0767642334,0.325787812,0.00726921204,3.53526559e-08,2.52543408e-08,0.00245881826,0.000205737364,3.9177201e-05,0.0089130979,5.25330775e-19,0.0068970439,0.000102956095,-2.2070509e-07,1.87191945e-05,16,0,1
0.01,5,0.0636904985,0.127153382,4.77206719e-10,0.000669539906,3.50656421e-07,2.94269796e-07,0.0767638385,0.32578826,0.00726913381,3.53524818e-08,2.52542289e-08,0.00245890021,0.000205732867,3.91774447e-05,0.00891307462,5.27671593e-19,0.00689703971,0.000102959319,-2.19649678e-07,1.87548212e-05,16,0,1
0.01,6,0.0636869371,0.127156913,4.79335627e-10,0.000672508788,3.5055939e-07,2.94166284e-07,0.0767640546,0.325788021,0.00726917293,3.53394434e-08,2.52448036e-08,0.00245886296,0.000205730714,3.9160499e-05,0.00891307276,5.30011376e-19,0.00689704064,0.000102959515,-2.18441443e-07,1.87859532e-05,16,0,1
0.01,7,0.0636846125,0.127159238,4.81483076e-10,0.000675507588,3.50563027e-07,2.9417231e-07,0.076763548,0.325788677,0.00726907281,3.53402214e-08,2.52453276e-08,0.00245896727,0.000205725679,3.91618523e-05,0.00891304575,5.32374786e-19,0.00689703738,0.00010296324,-2.17357439e-07,1.88214963e-05,16,0,1
0.01,8,0.0636823922,0.127161399,4.83640961e-10,0.000678521581,3.50567149e-07,2.94179472e-07,0.0767629743,0.325789332,0.00726896198,3.53411771e-08,2.52459156e-08,0.00245908648,0.0002057198,3.91633585e-05,0.00891301222,5.34750139e-19,0.00689703366,0.000102967329,-2.16376435e-07,1.88591766e-05,16,0,1
0.01,9,0.0636807755,0.127162963,4.8581289e-10,0.000681557518,3.50625783e-07,2.94245467e-07,0.0767620504,0.325790435,0.00726878224,3.5349224e-08,2.52518664e-08,0.00245927274,0.00020571331,3.91747199e-05,0.00891296938,5.37142811e-19,0.0068970276,0.00010297307,-2.15502382e-07,1.89006823e-05,16,0,1
