tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,0.0886914581,0.104023151,6.51573073e-10,0.00112017663,1.49366272e-07,7.57572209e-08,0.0636123121,0.341548234,0.00476799207,6.52311938e-09,4.38295222e-09,0.00508530578,0.000106923406,4.33771265e-06,0.00711921975,8.82823191e-19,0.00678359717,0.000216403932,5.80404389e-07,2.9326151e-05,10,1,1
0.01,1,0.0886857882,0.104028456,6.54470644e-10,0.00112510147,1.49362279e-07,7.57619247e-08,0.0636121482,0.341548383,0.00476797996,6.52325438e-09,4.38306946e-09,0.00508532021,0.000106920612,4.33802506e-06,0.00711921696,8.86704529e-19,0.00678359531,0.00021640581,5.82919256e-07,2.94513338e-05,10,1,1
0.01,2,0.088680923,0.104033269,6.573872e-10,0.0011300639,1.49357433e-07,7.57656053e-08,0.0636117235,0.34154889,0.00476790732,6.52323129e-09,4.38307524e-09,0.00508539891,0.000106915257,4.33820969e-06,0.00711918762,8.90615543e-19,0.00678358926,0.000216410059,5.85451573e-07,2.95776299e-05,10,1,1
0.01,3,0.0886751935,0.1040387,6.6031014e-10,0.00113502995,1.49353383e-07,7.57703802e-08,0.0636115745,0.341549098,0.00476789847,6.52336984e-09,4.38319558e-09,0.00508541288,0.000106912456,4.33852892e-06,0.00711918576,8.94529348e-19,0.00678358926,0.000216411892,5.8798463e-07,2.9703675e-05,10,1,1
0.01,4,0.0886700079,0.10404361,6.63250344e-10,0.00114003092,1.49348551e-07,7.57743095e-08,0.06361112,0.341549665,0.00476782536,6.52336452e-09,4.38321424e-09,0.00508549111,0.000106907049,4.33872947e-06,0.00711914618,8.98470553e-19,0.00678358413,0.000216416141,5.90537695e-07,2.98308878e-05,10,1,1
0.01,5,0.0886637941,0.104049571,6.6619571e-10,0.00114502863,1.49345055e-07,7.57798233e-08,0.0636112466,0.341549456,0.00476787286,6.52362253e-09,4.38341896e-09,0.00508544035,0.000106906344,4.3391492e-06,0.00711916946,9.02409381e-19,0.00678358646,0.000216415603,5.93090078e-07,2.99577314e-05,10,1,1
0.01,6,0.0886584967,0.104054689,6.69161282e-10,0.00115007011,1.49340295e-07,7.57839445e-08,0.0636108667,0.341549903,0.00476781558,6.52364918e-09,4.38346071e-09,0.00508550368,0.000106901694,4.33938294e-06,0.00711915828,9.06382536e-19,0.0067835818,0.000216419328,5.95651159e-07,3.00852535e-05,10,1,1
0.01,7,0.0886533707,0.104059577,6.72141121e-10,0.00115513813,1.49335307e-07,7.57877672e-08,0.0636103675,0.34155035,0.00476773875,6.52363097e-09,4.38347003e-09,0.00508558936,0.000106896165,4.33957302e-06,0.00711912196,9.10376681e-19,0.00678357854,0.000216423956,5.98242423e-07,3.02143781e-05,10,1,1
0.01,8,0.0886478424,0.104064859,6.7513134e-10,0.00116021885,1.49330958e-07,7.57922365e-08,0.0636101216,0.341550678,0.00476770243,6.5237109e-09,4.38354864e-09,0.00508562755,0.000106892323,4.33984633e-06,0.00711911637,9.14380855e-19,0.00678357575,0.00021642675,6.00829537e-07,3.03431316e-05,10,1,1
0.01,9,0.0886424035,0.104070053,6.78135437e-10,0.00116532412,1.49326297e-07,7.5796514e-08,0.0636097714,0.341551095,0.0047676526,6.52375753e-09,4.38360459e-09,0.00508568157,0.00010688795,4.34009553e-06,0.00711908378,9.18404469e-19,0.00678357109,0.000216430184,6.03445415e-07,3.0473384e-05,10,1,1
0.01,10,0.0886363015,0.10407576,6.81147805e-10,0.00117043732,1.49322446e-07,7.58017222e-08,0.0636097267,0.341551274,0.00476766238,6.52394627e-09,4.38376091e-09,0.00508567551,0.00010688568,4.34045978e-06,0.00711909961,9.22434182e-19,0.00678356877,0.000216431275,6.06039805e-07,3.06022594e-05,10,1,1
0.01,11,0.0886314213,0.104080543,6.84183044e-10,0.00117559964,1.49316932e-07,7.58051613e-08,0.063609086,0.34155196,0.00476755388,6.52385168e-09,4.38371739e-09,0.00508578913,0.000106878804,4.3405953e-06,0.00711904606,9.2650267e-19,0.00678356458,0.000216437038,6.08680693e-07,3.07339105e-05,10,1,1
