dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,converged
30,0,-9.30618,9.68034935,-6.01438401e-08,1.50703537,0.000194825654,0.000271773693,6.41296673,-6.52637386,1.23252988,2.87083585e-05,2.09157843e-05,-0.47993961,-0.748476863,0.0452302769,1.11321664,1.1708169e-15,0.0518574342,-0.0447209924,0.00181790371,-0.269399792,1
30,1,-9.28840923,9.66154861,-6.03290005e-08,1.50529611,0.000194588269,0.000271438592,6.40066862,-6.51310158,1.23017621,2.86734958e-05,2.08905458e-05,-0.47813341,-0.747657061,0.0452695712,1.11134875,1.16944609e-15,0.0517569184,-0.0447061844,0.00181555934,-0.268654794,1
30,2,-9.31328964,9.68791676,-6.08080626e-08,1.50748408,0.000194837325,0.000271790661,6.41829205,-6.53236914,1.23353946,2.87100247e-05,2.09171212e-05,-0.480381936,-0.748770475,0.0452066399,1.11352038,1.17117043e-15,0.0517166257,-0.043994274,0.00181817729,-0.270685196,1
30,3,-9.31809807,9.69303513,-6.11512903e-08,1.50779676,0.000194852968,0.000271812518,6.42183542,-6.5361886,1.23421037,2.87126149e-05,2.09189511e-05,-0.480608374,-0.749074638,0.0452021435,1.11378253,1.17141713e-15,0.0521520339,-0.0456274822,0.00181836844,-0.271190912,1
30,4,-9.2798748,9.65292454,-6.11902635e-08,1.50559843,0.000194566732,0.00027140064,6.39511633,-6.50614834,1.22913098,2.86706472e-05,2.08882811e-05,-0.477531224,-0.747821033,0.0453009382,1.11155975,1.16968442e-15,0.0520057976,-0.0456453785,0.00181519159,-0.268589199,1
30,5,-9.29115677,9.66478348,-6.15801099e-08,1.50664294,0.000194674183,0.000271552708,6.40319967,-6.51484537,1.23066556,2.86864524e-05,2.09000173e-05,-0.477674574,-0.748510182,0.0452724472,1.11254287,1.17050752e-15,0.052098427,-0.0458627492,0.00181623211,-0.269175589,1
30,6,-9.28013802,9.65299988,-6.18176585e-08,1.5052799,0.000194482651,0.000271284371,6.39563799,-6.50651407,1.22922218,2.86582672e-05,2.08793117e-05,-0.477384269,-0.74746114,0.0452979542,1.11139643,1.16943327e-15,0.0516173951,-0.0443073362,0.00181423069,-0.268100142,1
30,7,-9.30834007,9.68331242,-6.23276222e-08,1.50837362,0.000194844688,0.000271789875,6.4156127,-6.52896309,1.23303092,2.8711489e-05,2.09181362e-05,-0.479725301,-0.749449611,0.0452222563,1.11350203,1.17187156e-15,0.0520112365,-0.0451739915,0.00181799522,-0.270836979,1
30,8,-9.32451344,9.69989586,-6.27601651e-08,1.50954485,0.000194966444,0.000271968951,6.42712164,-6.54119873,1.23521757,2.87295152e-05,2.09311456e-05,-0.48104018,-0.749536037,0.0451930314,1.1149261,1.17279451e-15,0.0520121716,-0.0449604541,0.00181901094,-0.270550281,1
30,9,-9.3181324,9.69363785,-6.30319192e-08,1.50916111,0.00019489706,0.000271865021,6.4228301,-6.53690767,1.23440456,2.87191942e-05,2.0923846e-05,-0.480294585,-0.749848545,0.0451922268,1.11428618,1.17249212e-15,0.0520596653,-0.0451992229,0.00181839592,-0.27098909,1
