tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,0.0603253916,0.130436122,4.46646636e-10,0.000609636772,1.54840379e-07,2.81120158e-08,0.0786337405,0.323564291,0.00763860159,6.7716206e-09,4.30925695e-09,0.00207822956,0.000215731998,1.51610275e-05,0.00900801178,1.50046572e-18,0.00690599391,9.40070167e-05,-2.54113417e-07,7.48406637e-06,11,0,1
0.01,1,0.0603231192,0.130438402,4.48625692e-10,0.000612340344,1.5484099e-07,2.81196346e-08,0.078633368,0.323564678,0.007638535,6.77203049e-09,4.30957137e-09,0.00207830081,0.000215728302,1.51613322e-05,0.00900799315,1.50259623e-18,0.00690599019,9.40101454e-05,-2.53175813e-07,7.51504331e-06,11,0,1
0.01,2,0.0603208505,0.130440593,4.50613852e-10,0.000615056546,1.54841729e-07,2.81273795e-08,0.0786329955,0.323565096,0.00763847027,6.77245371e-09,4.30989466e-09,0.00207837182,0.000215724751,1.51616405e-05,0.00900797453,1.50473666e-18,0.00690598693,9.40133032e-05,-2.52232866e-07,7.54619077e-06,11,0,1
0.01,3,0.0603185371,0.130442902,4.52610366e-10,0.000617783749,1.5484224e-07,2.81344796e-08,0.0786326304,0.323565513,0.00763840135,6.77279655e-09,4.31016556e-09,0.00207844353,0.000215720967,1.51619715e-05,0.00900795311,1.5068863e-18,0.00690598274,9.40164537e-05,-2.51286792e-07,7.57743328e-06,11,0,1
0.01,4,0.0603162423,0.130445138,4.54615956e-10,0.000620523526,1.5484278e-07,2.81417574e-08,0.0786322504,0.32356599,0.00763833383,6.77317846e-09,4.310452e-09,0.00207851548,0.000215717286,1.51622917e-05,0.00900793262,1.50904586e-18,0.00690598041,9.40196478e-05,-2.50336115e-07,7.60882313e-06,11,0,1
0.01,5,0.0603139251,0.130447417,4.56630539e-10,0.000623275409,1.54843406e-07,2.81492536e-08,0.0786318853,0.323566407,0.00763826352,6.7735737e-09,4.3107562e-09,0.00207858719,0.000215713488,1.51626018e-05,0.00900791213,1.5112141e-18,0.00690597761,9.40228201e-05,-2.49382055e-07,7.64033484e-06,11,0,1
0.01,6,0.0603115968,0.130449727,4.58653948e-10,0.000626039109,1.54844201e-07,2.8156995e-08,0.0786315054,0.323566765,0.00763819693,6.7739836e-09,4.31107106e-09,0.0020786603,0.000215709835,1.5162921e-05,0.0090078935,1.51339259e-18,0.00690597296,9.40260361e-05,-2.48423191e-07,7.67199072e-06,11,0,1
0.01,7,0.060309276,0.130451992,4.60686433e-10,0.000628815324,1.54844642e-07,2.81643437e-08,0.0786311105,0.323567301,0.00763812661,6.77435441e-09,4.31135838e-09,0.00207873248,0.000215706052,1.51632448e-05,0.00900787394,1.51558069e-18,0.00690597063,9.40292666e-05,-2.4746069e-07,7.70377756e-06,11,0,1
0.01,8,0.0603069216,0.130454287,4.62727773e-10,0.000631603412,1.54845551e-07,2.81721704e-08,0.0786307529,0.323567659,0.00763805909,6.77476697e-09,4.31167768e-09,0.00207880628,0.000215702312,1.51635722e-05,0.00900785346,1.51777778e-18,0.0069059683,9.40325044e-05,-2.4649384e-07,7.73570628e-06,11,0,1
0.01,9,0.0603045784,0.130456567,4.64778271e-10,0.000634404307,1.54846134e-07,2.81799029e-08,0.0786303729,0.323568225,0.00763798738,6.77518486e-09,4.31199432e-09,0.00207887986,0.000215698572,1.51638787e-05,0.00900783576,1.51998532e-18,0.00690596504,9.40357786e-05,-2.45522813e-07,7.76776687e-06,11,0,1
0.01,10,0.0603022091,0.130458936,4.66837846e-10,0.000637216843,1.5484666e-07,2.81872641e-08,0.0786299855,0.323568642,0.00763791893,6.77555656e-09,4.31228342e-09,0.00207895366,0.000215694759,1.51642098e-05,0.00900781248,1.52220144e-18,0.00690596318,9.40390382e-05,-2.44547721e-07,7.79995025e-06,11,0,1
0.01,11,0.0602998249,0.130461231,4.68906358e-10,0.000640041893,1.54847086e-07,2.8194501e-08,0.078629598,0.323569208,0.00763784908,6.77593182e-09,4.31256186e-09,0.00207902864,0.000215690932,1.51645499e-05,0.00900779199,1.52442821e-18,0.00690595806,9.40423197e-05,-2.43567797e-07,7.83228188e-06,11,0,1
0.01,12,0.0602974445,0.130463615,4.70984307e-10,0.000642879459,1.54847896e-07,2.82026242e-08,0.0786292404,0.323569655,0.0076377783,6.77634571e-09,4.31288694e-09,0.00207910268,0.000215687091,1.51648765e-05,0.00900777336,1.52666449e-18,0.00690595619,9.40456157e-05,-2.42584036e-07,7.86475357e-06,11,0,1
0.01,13,0.0602950379,0.130465955,4.73071249e-10,0.000645729597,1.54848337e-07,2.82097528e-08,0.0786288306,0.323570013,0.00763770798,6.77669076e-09,4.31316405e-09,0.00207917695,0.000215683176,1.5165213e-05,0.00900775008,1.5289107e-18,0.00690595154,9.40488753e-05,-2.41596609e-07,7.89734713e-06,11,0,1
0.01,14,0.0602926426,0.130468339,4.75167627e-10,0.000648592191,1.54849175e-07,2.82181123e-08,0.0786284655,0.32357052,0.00763763534,6.7771575e-09,4.31350644e-09,0.00207925355,0.000215679334,1.51655204e-05,0.00900773238,1.53116663e-18,0.00690594781,9.40522659e-05,-2.40603583e-07,7.93011804e-06,11,0,1
0.01,15,0.0602902211,0.130470738,4.77273221e-10,0.000651467126,1.54849744e-07,2.82256369e-08,0.0786280632,0.323570937,0.00763756596,6.77754919e-09,4.31381553e-09,0.00207932899,0.000215675478,1.51658824e-05,0.00900771003,1.53343238e-18,0.00690594455,9.40555983e-05,-2.39606351e-07,7.96301265e-06,11,0,1
0.01,16,0.0602878034,0.130473107,4.79388418e-10,0.000654355448,1.54850596e-07,2.8233897e-08,0.0786276758,0.323571414,0.00763749471,6.77798839e-09,4.31414415e-09,0.00207940466,0.000215671564,1.51662052e-05,0.00900768861,1.53570889e-18,0.00690594083,9.40589525e-05,-2.38606447e-07,7.99601276e-06,11,0,1
0.01,17,0.0602853559,0.130475536,4.81512441e-10,0.000657255587,1.54851037e-07,2.82414963e-08,0.0786272809,0.32357195,0.00763741974,6.77835388e-09,4.31443636e-09,0.00207948079,0.000215667547,1.51665436e-05,0.00900766812,1.53799449e-18,0.00690593757,9.40623358e-05,-2.37601029e-07,8.02917202e-06,11,0,1
0.01,18,0.0602829047,0.130477861,4.83646179e-10,0.000660168997,1.54851833e-07,2.82495307e-08,0.078626886,0.323572367,0.00763734849,6.77879219e-09,4.31477032e-09,0.00207955786,0.000215663778,1.51668792e-05,0.0090076495,1.54029023e-18,0.00690593384,9.40657337e-05,-2.36591418e-07,8.0624859e-06,11,0,1
0.01,19,0.060280446,0.130480349,4.85789353e-10,0.000663094805,1.54852259e-07,2.82573112e-08,0.0786264613,0.323572874,0.00763727492,6.77918921e-09,4.31507585e-09,0.00207963423,0.000215659689,1.51672193e-05,0.00900762621,1.5425962e-18,0.00690593198,9.4069117e-05,-2.35577517e-07,8.09592802e-06,11,0,1
0.01,20,0.0602779873,0.130482703,4.8794202e-10,0.000666034524,1.54853566e-07,2.82660952e-08,0.0786261037,0.323573411,0.00763720321,6.77968792e-09,4.31545155e-09,0.0020797113,0.000215655862,1.51675413e-05,0.00900760572,1.54491324e-18,0.00690592779,9.40725367e-05,-2.34559479e-07,8.12951112e-06,11,0,1
0.01,21,0.0602754951,0.130485192,4.90104179e-10,0.000668985769,1.54853453e-07,2.82732344e-08,0.0786256716,0.323573768,0.00763713103,6.78000633e-09,4.31570202e-09,0.0020797886,0.000215651729,1.5167896e-05,0.00900758244,1.54723937e-18,0.00690592406,9.40759273e-05,-2.33537264e-07,8.16323245e-06,11,0,1
0.01,22,0.0602730289,0.130487606,4.92276331e-10,0.000671951158,1.54854661e-07,2.82820203e-08,0.0786253065,0.323574185,0.00763705419,6.78048595e-09,4.31607328e-09,0.00207986636,0.0002156478,1.51682079e-05,0.00900756381,1.54957605e-18,0.00690592034,9.40793907e-05,-2.32509251e-07,8.19712659e-06,11,0,1
0.01,23,0.0602705106,0.130490065,4.94457475e-10,0.000674928771,1.54855499e-07,2.82903532e-08,0.0786248744,0.323574692,0.00763698248,6.78096157e-09,4.31642322e-09,0.00207994529,0.000215643784,1.5168579e-05,0.00900754053,1.55192256e-18,0.00690591615,9.40828395e-05,-2.31477699e-07,8.23113533e-06,11,0,1
