tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,naccept,nreject,converged
0.01,0,0.0578352064,0.132702857,4.24062729e-10,0.00057108613,2.1121032e-07,1.47703375e-07,0.079958491,0.321995109,0.00787523668,1.73761148e-08,1.21695329e-08,0.00182735419,0.000226894757,1.47977998e-05,0.00922277197,4.50079156e-19,0.00691729411,8.27060649e-05,1.85912853e-07,6.04486877e-06,8,0,1
0.01,1,0.0578331687,0.132704869,4.25960878e-10,0.000573633995,2.11210121e-07,1.47707965e-07,0.079958111,0.321995497,0.00787516404,1.73762817e-08,1.21696706e-08,0.00182743068,0.000226891105,1.47981773e-05,0.00922274869,4.52087033e-19,0.00691729086,8.27093609e-05,1.86729338e-07,6.07137008e-06,8,0,1
0.01,2,0.057831116,0.132706881,4.27867575e-10,0.000576192862,2.11210349e-07,1.47713195e-07,0.0799577162,0.321996003,0.00787509046,1.7376534e-08,1.2169858e-08,0.00182750716,0.000226887627,1.47986348e-05,0.0092227282,4.54103855e-19,0.00691728713,8.27126496e-05,1.87548792e-07,6.09796825e-06,8,0,1
0.01,3,0.0578290634,0.132708907,4.29782515e-10,0.000578763254,2.11210107e-07,1.47717785e-07,0.0799573213,0.32199648,0.00787501782,1.73767027e-08,1.21700001e-08,0.00182758446,0.000226883931,1.47990158e-05,0.00922270399,4.56129517e-19,0.00691728387,8.27159747e-05,1.88372908e-07,6.1247124e-06,8,0,1
0.01,4,0.0578270294,0.132710919,4.31706448e-10,0.000581345463,2.11209922e-07,1.47722588e-07,0.0799569115,0.321996927,0.00787494332,1.73768928e-08,1.21701493e-08,0.00182766456,0.000226880249,1.47994224e-05,0.00922267977,4.5816464e-19,0.00691728061,8.27194235e-05,1.89200023e-07,6.15156068e-06,8,0,1
0.01,5,0.0578249432,0.13271299,4.33638542e-10,0.000583938207,2.11209894e-07,1.47727533e-07,0.0799565241,0.321997434,0.0078748716,1.73771006e-08,1.21703092e-08,0.00182773906,0.000226876626,1.47998417e-05,0.00922265742,4.60207827e-19,0.00691727735,8.27226468e-05,1.9003086e-07,6.17851128e-06,8,0,1
0.01,6,0.0578228645,0.132715032,4.35579323e-10,0.000586542941,2.11209525e-07,1.47732294e-07,0.0799561366,0.321997881,0.00787479803,1.73772818e-08,1.2170454e-08,0.00182781764,0.000226873031,1.48002418e-05,0.009222636,4.62260786e-19,0.00691727456,8.27260374e-05,1.90864924e-07,6.20558058e-06,8,0,1
0.01,7,0.057820797,0.132717088,4.37528541e-10,0.000589158968,2.11209723e-07,1.47737325e-07,0.0799557343,0.321998417,0.00787472166,1.73774968e-08,1.21706218e-08,0.00182789797,0.000226869306,1.48006729e-05,0.00922261272,4.64322379e-19,0.00691727037,8.27294934e-05,1.91702995e-07,6.2327731e-06,8,0,1
0.01,8,0.057818681,0.132719129,4.3948678e-10,0.000591786695,2.1120951e-07,1.47742284e-07,0.0799553096,0.321998835,0.00787464622,1.73777099e-08,1.21707897e-08,0.00182797562,0.000226865595,1.48010904e-05,0.00922258943,4.66393329e-19,0.00691726757,8.27328622e-05,1.92544348e-07,6.26006658e-06,8,0,1
0.01,9,0.0578165688,0.132721245,4.41453485e-10,0.000594425655,2.11209368e-07,1.47747301e-07,0.0799549296,0.321999311,0.00787457265,1.73779053e-08,1.21709425e-08,0.00182805443,0.000226861899,1.48015115e-05,0.00922256801,4.68473171e-19,0.00691726385,8.27362528e-05,1.93389482e-07,6.28748512e-06,8,0,1
