tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,0.000357834186,-2.47389835e-05,0.00650680857,-0.0127444072,-0.0129357325,0.00631548977,-0.000815866457,-6.07172021e-11,2.37240284e-12,-1.44720243e-05,-1.59220544e-05,1.59220144e-05,1.44720707e-05,6.22150446e-06,4.74492801e-09,569,19,0
0.01,1,0.000376894866,-6.03906983e-07,0.00686055934,-0.00642543985,-0.00661420729,0.0066718189,-0.000759573595,-6.1921801e-11,4.60820584e-14,-1.41953942e-05,-1.42455674e-05,1.42455247e-05,1.41954342e-05,6.16266152e-06,9.36276959e-11,564,12,0
0.01,2,0.000378932687,-6.09950746e-07,0.00694324309,-0.00650650775,-0.0066962936,0.0067539257,-0.000766690064,-6.23730512e-11,4.65180838e-14,-1.43179313e-05,-1.43687084e-05,1.43686757e-05,1.4317965e-05,6.18437525e-06,9.43275874e-11,560,13,0
0.01,3,0.000411775778,2.38846933e-05,0.0132822441,-0.00640585693,-0.00660255039,0.0130854761,-0.000835214043,-6.66309716e-11,-2.35611747e-12,-1.62033066e-05,-1.48593053e-05,1.48593144e-05,1.62032993e-05,6.26745441e-06,-4.70413974e-09,562,10,0
0.01,4,0.000383469218,-6.46012609e-07,0.00713031366,-0.00668798806,-0.00688097486,0.00693688635,-0.000782594143,-6.3379503e-11,5.37283603e-14,-1.4593722e-05,-1.46458779e-05,1.46458515e-05,1.45937556e-05,6.23282131e-06,1.07539623e-10,566,11,0
0.01,5,0.00036864815,-2.48505421e-05,0.00695072394,-0.0132031189,-0.0133992657,0.00675395736,-0.000856330618,-6.33305977e-11,2.19483719e-12,-1.51363101e-05,-1.66414411e-05,1.66413902e-05,1.51363492e-05,6.33617447e-06,4.44287007e-09,563,20,0
0.01,6,0.00036948442,-2.63700749e-05,0.0070464341,-0.0133012533,-0.013500995,0.00684752176,-0.000864737027,-6.3489651e-11,2.56371075e-12,-1.52813009e-05,-1.67977269e-05,1.67976996e-05,1.52813391e-05,6.36159939e-06,5.12928944e-09,568,12,0
0.01,7,0.000420341385,2.34347226e-05,0.0136654302,-0.00676780287,-0.00696670404,0.0134666404,-0.000869162148,-6.84705001e-11,-2.17811533e-12,-1.67972412e-05,-1.54142581e-05,1.54142144e-05,1.67972921e-05,6.36237382e-06,-4.35744196e-09,562,15,0
0.01,8,0.000391986192,-6.45392049e-07,0.00747712795,-0.00702767866,-0.0072247684,0.00728038978,-0.000812685292,-6.52903218e-11,4.20094833e-14,-1.51126278e-05,-1.51674603e-05,1.51673994e-05,1.51127006e-05,6.32242654e-06,8.83959433e-11,563,15,0
0.01,9,0.000394108501,-6.97840107e-07,0.00756706996,-0.00711262738,-0.00731477235,0.00736698648,-0.00082043733,-6.57595853e-11,6.00181322e-14,-1.52463044e-05,-1.53018591e-05,1.53016917e-05,1.52463836e-05,6.34523394e-06,1.19415908e-10,569,14,0
0.01,10,0.000377746474,-2.69806005e-05,0.00740766386,-0.0136753526,-0.0138782328,0.00720530516,-0.000898284838,-6.54544474e-11,2.59838743e-12,-1.58311868e-05,-1.73924054e-05,1.73923872e-05,1.58312123e-05,6.45403088e-06,5.19843013e-09,568,13,0
0.01,11,0.00039869282,-7.06602918e-07,0.00775382156,-0.00729877828,-0.00749874953,0.00755397743,-0.000836916734,-6.67947225e-11,5.71384642e-14,-1.55301623e-05,-1.55871076e-05,1.55870548e-05,1.55302205e-05,6.39318569e-06,1.14993612e-10,568,11,0
0.01,12,0.000433824142,2.58148848e-05,0.0141406693,-0.00721292617,-0.00741696311,0.0139372814,-0.000910532661,-7.13501133e-11,-2.55057303e-12,-1.75394798e-05,-1.61095159e-05,1.61094686e-05,1.75395217e-05,6.47691741e-06,-5.10069098e-09,571,13,0
0.01,13,0.000383700099,-2.80563872e-05,0.00768823549,-0.013978973,-0.0141715538,0.00749556068,-0.000925085158,-6.6876428e-11,2.7714506e-12,-1.62723227e-05,-1.78689861e-05,1.78689206e-05,1.62723863e-05,6.5270433e-06,5.52510349e-09,570,14,0
0.01,14,0.000385577092,-2.84508824e-05,0.00778783904,-0.0140684806,-0.0142752063,0.00758061325,-0.000933818636,-6.73400433e-11,2.82520752e-12,-1.64159246e-05,-1.80240222e-05,1.80239658e-05,1.64159737e-05,6.55055146e-06,5.63520564e-09,570,12,0
0.01,15,0.000407695479,-7.48469915e-07,0.00812479854,-0.00766171049,-0.00786614232,0.00792029221,-0.000869814248,-6.88358329e-11,6.07451847e-14,-1.60949658e-05,-1.61548214e-05,1.6154765e-05,1.60950112e-05,6.4870369e-06,1.22263977e-10,572,13,0
0.01,16,0.000390452391,-2.81288631e-05,0.00797443558,-0.0142609915,-0.0144697577,0.0077657043,-0.000951662427,-6.85525595e-11,2.65333805e-12,-1.67050966e-05,-1.8336661e-05,1.8336601e-05,1.6705133e-05,6.59693524e-06,5.32715339e-09,573,17,0
0.01,17,0.000412260648,-7.70010786e-07,0.00831292383,-0.00784638152,-0.00805260614,0.00810683053,-0.000886816881,-6.9877229e-11,6.24871791e-14,-1.63843233e-05,-1.64456778e-05,1.64456433e-05,1.63843724e-05,6.53435018e-06,1.25833302e-10,571,13,0
0.01,18,0.000449571759,2.72998459e-05,0.0147533305,-0.00778771425,-0.00799897686,0.0145424195,-0.000965902,-7.47901741e-11,-2.73489825e-12,-1.85105309e-05,-1.70194944e-05,1.70194471e-05,1.85105782e-05,6.62305638e-06,-5.46099965e-09,571,12,0
0.01,19,0.000396032818,-2.98835002e-05,0.00827545673,-0.0145713957,-0.0147845056,0.00806236081,-0.000980304554,-6.98922448e-11,2.99755706e-12,-1.7175118e-05,-1.88435733e-05,1.88435242e-05,1.71751672e-05,6.67255017e-06,5.97618266e-09,577,12,0
0.01,20,0.000398375356,-2.97419374e-05,0.00836035796,-0.0146701485,-0.0148728844,0.0081572514,-0.00099006854,-7.04982114e-11,2.89946647e-12,-1.73143271e-05,-1.89985931e-05,1.89940802e-05,1.73188364e-05,6.69470637e-06,5.80570969e-09,584,12,0
0.01,21,0.000457227899,2.77113959e-05,0.0150649026,-0.00808056444,-0.00829541683,0.014850066,-0.000994530856,-7.6443088e-11,-2.7192994e-12,-1.90110986e-05,-1.74888628e-05,1.748881e-05,1.90111423e-05,6.69681867e-06,-5.44747136e-09,575,12,0
0.01,22,0.00042404735,-8.31257012e-07,0.00880157854,-0.00832395256,-0.00853652228,0.00858864188,-0.000931280782,-7.25840013e-11,6.88309476e-14,-1.71410011e-05,-1.72062573e-05,1.7206301e-05,1.71409501e-05,6.65567586e-06,1.38292613e-10,576,12,0
0.01,23,0.000426295417,-8.39730262e-07,0.00889495946,-0.008415238,-0.00862888526,0.00868061185,-0.000939802849,-7.31036967e-11,6.88236902e-14,-1.72866221e-05,-1.7352726e-05,1.73526878e-05,1.72866585e-05,6.67864697e-06,1.38454068e-10,574,11,0
0.01,24,0.000458573079,2.21368718e-05,0.0153638069,-0.00834276807,-0.00856018718,0.0151454927,-0.00102623727,-7.71960482e-11,-1.86967651e-12,-1.94914792e-05,-1.7952063e-05,1.79520193e-05,1.94915319e-05,6.76867376e-06,-3.74198805e-09,561,32,0
0.01,25,0.000467863516,2.88833908e-05,0.0154725583,-0.00846407004,-0.00868325308,0.0152533334,-0.00103250286,-7.88196522e-11,-2.90112899e-12,-1.96722522e-05,-1.81095311e-05,1.81094838e-05,1.96723049e-05,6.79208051e-06,-5.79393822e-09,579,15,0
0.01,26,0.000467789272,2.6129781e-05,0.0154985944,-0.0086611174,-0.00870524067,0.0154542457,-0.00104512193,-7.87352822e-11,-2.1934763e-12,-1.98588041e-05,-1.82864751e-05,1.82836211e-05,1.9861669e-05,6.82044401e-06,-4.46971837e-09,571,26,0
