tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,0.000245995092,-2.96518039e-07,0.00694165332,-0.00672542304,-0.0068485518,0.00681853108,-0.000432432891,-3.50569018e-11,1.28457053e-14,-8.12887811e-06,-8.15576095e-06,8.15573185e-06,8.12890812e-06,4.66032998e-06,3.01590038e-11,1,0,0
0.01,1,0.000245993433,-2.97972633e-07,0.00694167661,-0.00672538253,-0.00684849545,0.00681852689,-0.000432425673,-3.50565237e-11,1.32188572e-14,-8.12885264e-06,-8.15574003e-06,8.15571002e-06,8.12888356e-06,4.66033089e-06,3.08105035e-11,1,0,0
0.01,2,0.000245992211,-2.99275939e-07,0.00694172131,-0.00672530849,-0.0068484568,0.00681862887,-0.000432429602,-3.50561385e-11,1.36343963e-14,-8.12886265e-06,-8.15571639e-06,8.15568637e-06,8.12889357e-06,4.66033089e-06,3.15305039e-11,1,0,0
0.01,3,0.000245993957,-2.976399e-07,0.00694164913,-0.00672534108,-0.0068484419,0.00681851059,-0.000432428846,-3.50566208e-11,1.31731919e-14,-8.12883718e-06,-8.15570638e-06,8.15567637e-06,8.1288681e-06,4.66033089e-06,3.07278231e-11,1,0,0
0.01,4,0.0002459932,-2.98283084e-07,0.00694163563,-0.0067252256,-0.00684834458,0.00681849616,-0.000432430825,-3.5056319e-11,1.3418635e-14,-8.1288199e-06,-8.15565545e-06,8.15562453e-06,8.12885173e-06,4.66033089e-06,3.11470259e-11,1,0,0
0.01,5,0.000245994219,-2.97293724e-07,0.00694156904,-0.00672526285,-0.00684839441,0.00681846449,-0.000432447705,-3.50566659e-11,1.30964033e-14,-8.12878352e-06,-8.15564999e-06,8.15561907e-06,8.12881535e-06,4.66033089e-06,3.0588445e-11,1,0,0
0.01,6,0.000245993433,-2.98097802e-07,0.00694165472,-0.0067253029,-0.00684843771,0.00681854738,-0.000432433793,-3.50564335e-11,1.33188816e-14,-8.12878443e-06,-8.15564363e-06,8.15561179e-06,8.12881626e-06,4.66033089e-06,3.09796841e-11,1,0,0
0.01,7,0.000245993957,-2.97641407e-07,0.0069417716,-0.0067254398,-0.00684856903,0.00681864657,-0.000432430854,-3.50565479e-11,1.31985623e-14,-8.12881171e-06,-8.15567182e-06,8.1556409e-06,8.12884355e-06,4.66033089e-06,3.07693593e-11,1,0,0
0.01,8,0.000245994655,-2.96968153e-07,0.0069416021,-0.00672532525,-0.00684847729,0.00681850361,-0.000432440953,-3.50568047e-11,1.30010545e-14,-8.12875624e-06,-8.15562817e-06,8.15559633e-06,8.12878898e-06,4.66033043e-06,3.04254365e-11,1,0,0
0.01,9,0.0002459932,-2.984454e-07,0.00694163563,-0.00672531314,-0.00684843911,0.00681851711,-0.000432442001,-3.50564681e-11,1.3351079e-14,-8.12873805e-06,-8.15562544e-06,8.1555936e-06,8.12877079e-06,4.66033089e-06,3.10416484e-11,1,0,0
0.01,10,0.000245993026,-2.98474845e-07,0.00694162026,-0.00672525354,-0.00684838742,0.00681851106,-0.000432447123,-3.50563467e-11,1.3411303e-14,-8.12872713e-06,-8.15559179e-06,8.15555995e-06,8.12875987e-06,4.66033089e-06,3.11403334e-11,1,0,0
0.01,11,0.000245992793,-2.98634092e-07,0.00694171153,-0.00672535691,-0.00684850337,0.00681860652,-0.000432428467,-3.50562877e-11,1.34279286e-14,-8.12872349e-06,-8.15560088e-06,8.15556814e-06,8.12875624e-06,4.66033089e-06,3.11711282e-11,1,0,0
0.01,12,0.000245993026,-2.98501106e-07,0.0069417078,-0.00672535179,-0.00684848335,0.0068186014,-0.000432434259,-3.50563641e-11,1.34087043e-14,-8.12871258e-06,-8.15558269e-06,8.15554995e-06,8.12874623e-06,4.66033089e-06,3.11376584e-11,1,0,0
0.01,13,0.000245992735,-2.98547889e-07,0.0069417092,-0.00672527729,-0.00684838369,0.00681858882,-0.000432426954,-3.50562114e-11,1.35087457e-14,-8.12869348e-06,-8.15552539e-06,8.15549265e-06,8.12872713e-06,4.66033089e-06,3.13028284e-11,1,0,0
0.01,14,0.000245994859,-2.96753711e-07,0.00694165006,-0.00672537694,-0.00684849406,0.00681854319,-0.000432431203,-3.50568255e-11,1.29756435e-14,-8.12868984e-06,-8.15555268e-06,8.15551903e-06,8.12872349e-06,4.66033043e-06,3.03753134e-11,1,0,0
0.01,15,0.000245993782,-2.97376801e-07,0.00694152433,-0.0067252689,-0.00684839673,0.00681841373,-0.000432428031,-3.50566312e-11,1.30754342e-14,-8.12862527e-06,-8.15551539e-06,8.15548174e-06,8.12865892e-06,4.66033089e-06,3.05588714e-11,1,0,0
0.01,16,0.000245993433,-2.97775728e-07,0.00694165891,-0.00672535691,-0.00684845494,0.00681852736,-0.00043243292,-3.50565237e-11,1.31880895e-14,-8.1286471e-06,-8.15553449e-06,8.15550084e-06,8.12868166e-06,4.66033089e-06,3.07545829e-11,1,0,0
0.01,17,0.000245993811,-2.97655731e-07,0.00694160722,-0.00672524609,-0.00684837718,0.00681848079,-0.000432434317,-3.50565306e-11,1.32273614e-14,-8.128628e-06,-8.15548356e-06,8.1554499e-06,8.12866256e-06,4.66033089e-06,3.08157666e-11,1,0,0
0.01,18,0.000245991541,-2.99434987e-07,0.00694165472,-0.00672520231,-0.00684834551,0.00681854226,-0.000432441622,-3.505592e-11,1.37063399e-14,-8.12861526e-06,-8.15546446e-06,8.1554299e-06,8.12865073e-06,4.66032816e-06,3.16522988e-11,1,0,0
0.01,19,0.000245993491,-2.98014868e-07,0.00694157183,-0.00672526844,-0.00684840931,0.00681847008,-0.00043244203,-3.50565445e-11,1.32497332e-14,-8.12856797e-06,-8.15545627e-06,8.15542171e-06,8.12860344e-06,4.66033089e-06,3.08632217e-11,1,0,0
0.01,20,0.000245994073,-2.97417444e-07,0.00694151875,-0.00672522373,-0.00684835622,0.00681840349,-0.000432440487,-3.50566486e-11,1.31167558e-14,-8.12854432e-06,-8.15542535e-06,8.15538988e-06,8.1285807e-06,4.66033089e-06,3.0626085e-11,1,0,0
0.01,21,0.000245992327,-2.98817611e-07,0.00694168825,-0.00672523584,-0.00684834877,0.00681854971,-0.000432430068,-3.50560865e-11,1.35859562e-14,-8.12858616e-06,-8.1554208e-06,8.15538533e-06,8.12862254e-06,4.66032816e-06,3.14359996e-11,1,0,0
0.01,22,0.000245992851,-2.98512134e-07,0.0069416035,-0.00672527635,-0.00684841024,0.00681851106,-0.000432431087,-3.50563779e-11,1.33803694e-14,-8.1285425e-06,-8.15543171e-06,8.15539624e-06,8.12857797e-06,4.66033089e-06,3.10912823e-11,1,0,0
0.01,23,0.000245992007,-2.99044643e-07,0.00694158394,-0.00672519393,-0.00684830453,0.0068184589,-0.000432441477,-3.50561212e-11,1.35605604e-14,-8.12848612e-06,-8.15535805e-06,8.15532167e-06,8.1285234e-06,4.66032816e-06,3.14024674e-11,1,0,0
0.01,24,0.000245991803,-2.99184762e-07,0.00694160536,-0.00672516553,-0.00684828172,0.00681848079,-0.00043243033,-3.5056031e-11,1.36420823e-14,-8.12850067e-06,-8.15535259e-06,8.15531621e-06,8.12853796e-06,4.66032816e-06,3.15404057e-11,1,0,0
0.01,25,0.000245992589,-2.98314461e-07,0.00694158673,-0.0067251916,-0.00684831105,0.00681845751,-0.00043244331,-3.50562288e-11,1.34152943e-14,-8.12848339e-06,-8.15533622e-06,8.15529893e-06,8.12852068e-06,4.66032816e-06,3.11439832e-11,1,0,0
0.01,26,0.000245993549,-2.97854257e-07,0.00694157463,-0.00672523305,-0.00684835482,0.00681845285,-0.000432422588,-3.50564994e-11,1.32575869e-14,-8.12846974e-06,-8.15534167e-06,8.1553053e-06,8.12850703e-06,4.66033089e-06,3.08693245e-11,1,0,0
0.01,27,0.000245993549,-2.97832514e-07,0.00694149919,-0.00672516506,-0.00684829801,0.00681839511,-0.000432426692,-3.50565028e-11,1.32523217e-14,-8.12842518e-06,-8.15529802e-06,8.15526073e-06,8.12846338e-06,4.66033089e-06,3.08605884e-11,1,0,0
0.01,28,0.000245991861,-2.98900147e-07,0.00694157463,-0.00672515715,-0.0068482873,0.00681847427,-0.000432435831,-3.5056031e-11,1.35609043e-14,-8.128427e-06,-8.15528438e-06,8.15524709e-06,8.1284652e-06,4.66032816e-06,3.13992998e-11,1,0,0
0.01,29,0.000245992036,-2.98717254e-07,0.00694151409,-0.00672516599,-0.00684828963,0.00681838905,-0.000432456174,-3.50562045e-11,1.34423993e-14,-8.12839335e-06,-8.15528347e-06,8.15524527e-06,8.12843155e-06,4.66032816e-06,3.11996609e-11,1,0,0
0.01,30,0.000245993142,-2.9802635e-07,0.00694148988,-0.00672518974,-0.00684832875,0.00681838207,-0.000432446977,-3.50564681e-11,1.32362586e-14,-8.12836242e-06,-8.15526528e-06,8.15522708e-06,8.12840153e-06,4.66033089e-06,3.08419262e-11,1,0,0
0.01,31,0.000245993986,-2.97002146e-07,0.00694145681,-0.00672516832,-0.00684829103,0.00681836065,-0.00043243196,-3.50565965e-11,1.3046635e-14,-8.12835242e-06,-8.15522344e-06,8.15518524e-06,8.12839153e-06,4.66033089e-06,3.0499693e-11,1,0,0
0.01,32,0.000245993026,-2.97853717e-07,0.00694145635,-0.00672511477,-0.00684826216,0.00681835599,-0.000432438683,-3.50563849e-11,1.32564044e-14,-8.12832604e-06,-8.15520161e-06,8.1551625e-06,8.12836606e-06,4.66032816e-06,3.08690122e-11,1,0,0
0.01,33,0.000245994102,-2.97017209e-07,0.00694146566,-0.00672518089,-0.00684829243,0.0068183369,-0.000432442524,-3.50566312e-11,1.30299248e-14,-8.12831877e-06,-8.15519979e-06,8.15515978e-06,8.12835879e-06,4.66033089e-06,3.04741232e-11,1,0,0
0.01,34,0.000245992589,-2.98336261e-07,0.00694148103,-0.00672514504,-0.00684825843,0.00681837136,-0.000432440458,-3.50563259e-11,1.33709199e-14,-8.12829239e-06,-8.15517342e-06,8.1551334e-06,8.12833241e-06,4.66032816e-06,3.10713191e-11,1,0,0
0.01,35,0.00024599352,-2.97374754e-07,0.00694148894,-0.00672513898,-0.00684826123,0.00681837741,-0.000432433444,-3.50565237e-11,1.31845151e-14,-8.12828421e-06,-8.15513886e-06,8.15509884e-06,8.12832513e-06,4.6603277e-06,3.07373675e-11,1,0,0
0.01,36,0.000245993811,-2.9696659e-07,0.00694150245,-0.00672517717,-0.00684829615,0.00681837928,-0.000432426867,-3.50565826e-11,1.30609668e-14,-8.1282642e-06,-8.15512794e-06,8.15508702e-06,8.12830604e-06,4.6603277e-06,3.05216755e-11,1,0,0
0.01,37,0.000245992385,-2.98196994e-07,0.00694147265,-0.00672514597,-0.00684825704,0.00681834808,-0.000432439294,-3.50562704e-11,1.33198235e-14,-8.12823782e-06,-8.15512794e-06,8.15508702e-06,8.12827875e-06,4.66032816e-06,3.09839064e-11,1,0,0
0.01,38,0.000245993288,-2.97478664e-07,0.00694147544,-0.00672507379,-0.00684821559,0.00681835786,-0.000432436966,-3.50564265e-11,1.3252464e-14,-8.12823691e-06,-8.15507792e-06,8.15503608e-06,8.12827875e-06,4.6603277e-06,3.08497221e-11,1,0,0
0.01,39,0.000245991832,-2.98779185e-07,0.00694150664,-0.00672512827,-0.00684823096,0.00681837182,-0.000432432222,-3.50560622e-11,1.34957387e-14,-8.1281969e-06,-8.15507792e-06,8.15503608e-06,8.12823873e-06,4.66032816e-06,3.12886453e-11,1,0,0
0.01,40,0.0002459932,-2.97486025e-07,0.00694140512,-0.00672508869,-0.00684819371,0.00681828242,-0.000432414847,-3.50564404e-11,1.3162709e-14,-8.12816597e-06,-8.15504609e-06,8.15500425e-06,8.12820872e-06,4.66032816e-06,3.07059829e-11,1,0,0
0.01,41,0.000245993375,-2.973579e-07,0.00694143539,-0.00672510546,-0.00684821932,0.00681831595,-0.000432452478,-3.50565306e-11,1.31591481e-14,-8.1281687e-06,-8.15503699e-06,8.15499516e-06,8.12821145e-06,4.66032816e-06,3.06945615e-11,1,0,0
0.01,42,0.00024599352,-2.97147039e-07,0.00694140652,-0.00672511477,-0.00684823003,0.00681829639,-0.00043243391,-3.50565757e-11,1.30675263e-14,-8.12814051e-06,-8.15502517e-06,8.15498242e-06,8.12818325e-06,4.6603277e-06,3.05401121e-11,1,0,0
0.01,43,0.000245992967,-2.975531e-07,0.00694142235,-0.00672509521,-0.00684820581,0.00681830384,-0.000432442466,-3.50564092e-11,1.32018589e-14,-8.12812232e-06,-8.15499698e-06,8.15495514e-06,8.12816597e-06,4.66032816e-06,3.07698415e-11,1,0,0
0.01,44,0.00024599352,-2.97032841e-07,0.00694133155,-0.0067250235,-0.00684814295,0.00681822607,-0.00043244171,-3.50564959e-11,1.30757696e-14,-8.12807048e-06,-8.15494241e-06,8.15489875e-06,8.12811504e-06,4.6603277e-06,3.05477692e-11,1,0,0
0.01,45,0.000245993084,-2.97424776e-07,0.00694136741,-0.00672507845,-0.00684820674,0.00681826938,-0.000432441942,-3.50564335e-11,1.31269676e-14,-8.12805683e-06,-8.1549515e-06,8.15490785e-06,8.1281014e-06,4.66032816e-06,3.06429049e-11,1,0,0
0.01,46,0.000245993782,-2.97654765e-07,0.00694143772,-0.00672506634,-0.00684816763,0.00681830291,-0.000432444445,-3.50565514e-11,1.32721084e-14,-8.12806593e-06,-8.15492331e-06,8.15487874e-06,8.1281114e-06,4.66033453e-06,3.08886909e-11,1,0,0
0.01,47,0.000245992938,-2.97697568e-07,0.00694136322,-0.00672506727,-0.00684820069,0.00681826286,-0.000432437635,-3.50564369e-11,1.31928499e-14,-8.12802864e-06,-8.15492876e-06,8.1548842e-06,8.12807411e-06,4.66032816e-06,3.07570011e-11,1,0,0
0.01,48,0.0002459932,-2.97941966e-07,0.00694136973,-0.00672505982,-0.00684817927,0.00681823259,-0.000432443951,-3.50564751e-11,1.3242381e-14,-8.12799135e-06,-8.15489602e-06,8.15485055e-06,8.12803682e-06,4.6603318e-06,3.08475814e-11,1,0,0
0.01,49,0.000245993433,-2.97490317e-07,0.00694126962,-0.00672496157,-0.00684808986,0.00681815483,-0.000432453526,-3.50565618e-11,1.31618756e-14,-8.12795315e-06,-8.15484418e-06,8.15479871e-06,8.12799954e-06,4.66033134e-06,3.07017502e-11,1,0,0
0.01,50,0.000245992909,-2.98201712e-07,0.00694128964,-0.00672494713,-0.00684806658,0.0068181958,-0.000432424451,-3.50563571e-11,1.33577943e-14,-8.1279386e-06,-8.15482508e-06,8.15477961e-06,8.12798498e-06,4.66033498e-06,3.10435185e-11,1,0,0
0.01,51,0.000245992793,-2.97933752e-07,0.0069413553,-0.00672503561,-0.0068481518,0.00681824377,-0.000432428496,-3.50563814e-11,1.32799181e-14,-8.12793496e-06,-8.15482599e-06,8.15477961e-06,8.12798226e-06,4.6603318e-06,3.09080365e-11,1,0,0
0.01,52,0.00024599288,-2.98307185e-07,0.00694134831,-0.00672495598,-0.00684807543,0.00681823678,-0.000432448956,-3.50563016e-11,1.34272002e-14,-8.12790404e-06,-8.15477324e-06,8.15472595e-06,8.12795133e-06,4.66033498e-06,3.11599947e-11,1,0,0
0.01,53,0.000245992996,-2.97916984e-07,0.00694128219,-0.00672496203,-0.00684809592,0.00681817951,-0.000432434928,-3.50564057e-11,1.32661656e-14,-8.12786948e-06,-8.15476596e-06,8.15471867e-06,8.12791677e-06,4.6603318e-06,3.08851104e-11,1,0,0
0.01,54,0.00024599288,-2.98170221e-07,0.00694131199,-0.00672496995,-0.00684808893,0.0068181837,-0.000432449626,-3.50563537e-11,1.33307739e-14,-8.12784583e-06,-8.15474323e-06,8.15469502e-06,8.12789403e-06,4.66033498e-06,3.09991165e-11,1,0,0
