tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,naccept,nreject,converged
0.01,0,-0.00149545958,0.00227046642,0.866479933,-0.865834475,-0.86621654,0.866096973,-0.000697423238,0.863317192,-0.862851024,257.040009,253.572922,-257.040009,-253.572922,0.864721417,-0.864596903,3,0,0
0.01,1,-0.00152617984,0.00229910668,0.866474152,-0.86582464,-0.866215467,0.866089463,-0.000699627446,0.874699235,-0.874201059,256.946381,253.43367,-256.946381,-253.43367,0.8761217,-0.87596941,3,0,0
0.01,2,-0.00154342363,0.00231786515,0.866473854,-0.86581862,-0.866215944,0.866089284,-0.000700258533,0.881665051,-0.881195307,256.877319,253.336533,-256.877319,-253.336533,0.883098364,-0.882978022,3,0,0
0.01,3,-0.00153147359,0.00230381964,0.866464853,-0.865815818,-0.866207242,0.866078138,-0.000701218494,0.876777887,-0.876224399,256.727448,253.206558,-256.727448,-253.206558,0.878203332,-0.877996564,3,0,0
0.01,4,-0.00149306189,0.0022682182,0.866464913,-0.865819931,-0.866204441,0.866083503,-0.000701902027,0.863087595,-0.862558901,256.644684,253.178574,-256.644684,-253.178574,0.864490807,-0.864303768,3,0,0
0.01,5,-0.00151336333,0.00228720112,0.866453588,-0.865806937,-0.866192997,0.866066277,-0.00070345425,0.870584488,-0.870015919,256.4729,252.976807,-256.4729,-252.976807,0.871999741,-0.871775508,3,0,0
0.01,6,-0.00149675284,0.00227386574,0.866452396,-0.865806043,-0.866191149,0.86606884,-0.000704268576,0.86511153,-0.864590645,256.387329,252.913101,-256.387329,-252.913101,0.866517782,-0.866338968,3,0,0
0.01,7,-0.00152245979,0.0022967176,0.866451919,-0.86579895,-0.866185188,0.866060972,-0.000705401297,0.874232113,-0.873747349,256.286591,252.77565,-256.286591,-252.77565,0.875652909,-0.875514269,3,0,0
0.01,8,-0.00150383008,0.00227873819,0.866438806,-0.865793049,-0.866181195,0.866055131,-0.000706518185,0.86746645,-0.866999924,256.137054,252.653229,-256.137054,-252.653229,0.86887604,-0.868752778,3,0,0
0.01,9,-0.00151635276,0.00228886586,0.866436839,-0.86578685,-0.866175234,0.866049469,-0.000707694213,0.87169975,-0.871185482,256.028625,252.527985,-256.028625,-252.527985,0.873116076,-0.872946918,3,0,0
0.01,10,-0.00153431343,0.00230753399,0.866431117,-0.865780711,-0.866171181,0.866039515,-0.000708871812,0.878665447,-0.878103435,255.911926,252.383514,-255.911911,-252.383514,0.880093038,-0.879878521,3,0,0
0.01,11,-0.00150332053,0.00227925694,0.866431177,-0.865777493,-0.866163492,0.866044879,-0.000709725544,0.867236793,-0.866737425,255.802155,252.319504,-255.802139,-252.319504,0.868645668,-0.868489325,3,0,0
0.01,12,-0.00150081853,0.00227632513,0.866419733,-0.865774512,-0.866158783,0.866032004,-0.000711041852,0.866374731,-0.865869761,255.654846,252.175644,-255.654846,-252.175644,0.867782056,-0.867619693,3,0,0
0.01,13,-0.00149659184,0.00227144035,0.86641705,-0.865769029,-0.866152108,0.866029203,-0.000712264911,0.864797473,-0.864252329,255.538315,252.065536,-255.538315,-252.065521,0.866202176,-0.865999043,3,0,0
0.01,14,-0.00147596374,0.00224902527,0.866401911,-0.86575979,-0.866145611,0.86602366,-0.000713529414,0.856539786,-0.856012583,255.36438,251.924667,-255.36438,-251.924667,0.857930899,-0.85774225,3,0,0
0.01,15,-0.00149911805,0.00227415166,0.866401792,-0.865755439,-0.86614269,0.866016209,-0.000714612193,0.86589849,-0.865399539,255.274292,251.796906,-255.274292,-251.796906,0.867304623,-0.867148042,3,0,0
0.01,16,-0.00149186607,0.00226666825,0.866399646,-0.865754604,-0.866143942,0.866018414,-0.000715556729,0.863127947,-0.862607598,255.191986,251.72583,-255.191986,-251.72583,0.864529431,-0.86435008,3,0,0
0.01,17,-0.00146071881,0.00223566266,0.866392791,-0.865744472,-0.866124094,0.866011798,-0.000717006624,0.85147506,-0.850956976,254.994461,251.575119,-254.994461,-251.575119,0.852857471,-0.852676034,3,0,0
0.01,18,-0.00150038931,0.00227729767,0.866389692,-0.865740061,-0.866129637,0.866004586,-0.000718018855,0.866876543,-0.866385698,254.925934,251.444641,-254.925934,-251.444641,0.868283749,-0.868135691,3,0,0
0.01,19,-0.00148935372,0.00226622378,0.866381943,-0.865735531,-0.866121054,0.865995944,-0.000719401054,0.86289835,-0.862383723,254.774246,251.30896,-254.774246,-251.30896,0.864298761,-0.864125371,3,0,0
0.01,20,-0.0014887267,0.00226597651,0.86637485,-0.865728617,-0.866113007,0.86598736,-0.000720659271,0.862835705,-0.862353623,254.62558,251.1604,-254.62558,-251.1604,0.864235878,-0.864094913,3,0,0
0.01,21,-0.0014970575,0.00227381801,0.866373658,-0.865722716,-0.866113544,0.865989506,-0.000721660908,0.865661323,-0.865209103,254.540604,251.064133,-254.540604,-251.064148,0.867065907,-0.866955936,3,0,0
0.01,22,-0.0014939832,0.00226942613,0.866363883,-0.865711927,-0.86609745,0.865974903,-0.000723253703,0.864760816,-0.864270151,254.344559,250.871674,-254.344559,-250.871674,0.86616385,-0.866015136,3,0,0
0.01,23,-0.00150839507,0.00228261715,0.866356552,-0.865706742,-0.866098404,0.865968406,-0.00072438817,0.870124817,-0.869572818,254.233459,250.739182,-254.233459,-250.739182,0.871536136,-0.871327996,3,0,0
0.01,24,-0.00149697543,0.00227231532,0.866357625,-0.865705252,-0.866093278,0.86596936,-0.00072544266,0.865853608,-0.865324497,254.131165,250.654068,-254.131165,-250.654068,0.867258072,-0.867070973,3,0,0
0.01,25,-0.00148665532,0.00226385123,0.866348028,-0.865697026,-0.866085231,0.865962684,-0.000726903905,0.862313509,-0.861815274,253.96936,250.506393,-253.96936,-250.506393,0.863712251,-0.863554537,3,0,0
0.01,26,-0.00146569125,0.00224375771,0.866337657,-0.865689576,-0.866078258,0.865959167,-0.000728210667,0.854863465,-0.854353011,253.807114,250.374069,-253.807114,-250.374069,0.856249988,-0.856077194,3,0,0
0.01,27,-0.00150200119,0.00228046998,0.866334617,-0.865686893,-0.866080225,0.865947783,-0.000729418709,0.868909717,-0.868464947,253.717087,250.227524,-253.717087,-250.227524,0.870318532,-0.870217443,3,0,0
0.01,28,-0.00145974651,0.00223422283,0.866324008,-0.865683913,-0.866069615,0.865944326,-0.000730759697,0.851923287,-0.851421237,253.535675,250.114426,-253.535675,-250.114426,0.853304386,-0.853138924,3,0,0
0.01,29,-0.00149925204,0.00227769138,0.866329312,-0.865681112,-0.866070449,0.865938842,-0.000731829437,0.867532909,-0.86703378,253.47522,249.991379,-253.47522,-249.991379,0.868939161,-0.868782818,3,0,0
0.01,30,-0.00146513595,0.00224079145,0.866322041,-0.865674257,-0.866059303,0.865939081,-0.00073317613,0.854040027,-0.853491485,253.306091,249.87648,-253.306091,-249.87648,0.855424345,-0.855213046,3,0,0
0.01,31,-0.00147378375,0.00225064671,0.866311908,-0.865660429,-0.866046309,0.865925789,-0.000734833418,0.857804894,-0.857217312,253.115326,249.6707,-253.115326,-249.6707,0.859195113,-0.858946204,3,0,0
0.01,32,-0.00149933563,0.0022772525,0.866311669,-0.86565572,-0.866048336,0.865922809,-0.000735939713,0.867725313,-0.867212236,253.033279,249.548798,-253.033279,-249.548798,0.869131386,-0.868960917,3,0,0
0.01,33,-0.00147522741,0.00225301133,0.86630255,-0.865656853,-0.866042674,0.865914941,-0.000737290946,0.858511865,-0.858008862,252.877411,249.42984,-252.877411,-249.42984,0.859902799,-0.859738767,3,0,0
0.01,34,-0.00149928872,0.00227720267,0.866299748,-0.865641177,-0.866037071,0.865913332,-0.000738663133,0.867895305,-0.867387891,252.749634,249.264328,-252.749634,-249.264328,0.869301379,-0.869136631,3,0,0
0.01,35,-0.00147807412,0.00225551589,0.866292596,-0.865641356,-0.866029978,0.865905344,-0.000740067626,0.860390484,-0.859870851,252.594925,249.139801,-252.594925,-249.139801,0.861784041,-0.861604035,3,0,0
0.01,36,-0.00147609902,0.00225334149,0.86628443,-0.865635216,-0.866024256,0.865898192,-0.000741515309,0.85913676,-0.858625591,252.440796,248.990616,-252.440796,-248.990616,0.860528111,-0.860355854,3,0,0
0.01,37,-0.00145844941,0.00223458325,0.866278708,-0.865633667,-0.866015375,0.865890861,-0.000742844306,0.852349102,-0.8518067,252.281952,248.859116,-252.281952,-248.859116,0.853729367,-0.853523195,3,0,0
0.01,38,-0.00147626316,0.0022544011,0.866274893,-0.865620255,-0.866007268,0.86588496,-0.000744345249,0.859950542,-0.859449863,252.135727,248.682129,-252.135727,-248.682129,0.861342907,-0.861181557,3,0,0
0.01,39,-0.0014567402,0.00223158742,0.866260648,-0.865617514,-0.866000175,0.865873396,-0.00074591185,0.851670742,-0.851147354,251.94632,248.526138,-251.94632,-248.526138,0.853049695,-0.85286212,3,0,0
0.01,40,-0.0014645817,0.00224048481,0.866253436,-0.865606606,-0.865999579,0.865873337,-0.000747244223,0.854671896,-0.854139686,251.815643,248.383484,-251.815643,-248.383484,0.856055319,-0.855860353,3,0,0
0.01,41,-0.00145727862,0.00223369547,0.86624825,-0.865605235,-0.865993083,0.865864873,-0.000748652907,0.852172017,-0.851662278,251.667267,248.245178,-251.667267,-248.245178,0.853551209,-0.85337764,3,0,0
0.01,42,-0.00146877475,0.00224651722,0.86624521,-0.865596533,-0.865985453,0.865857899,-0.000750186737,0.857059956,-0.856579125,251.522354,248.080444,-251.522354,-248.080444,0.858446777,-0.858304083,3,0,0
0.01,43,-0.00145897688,0.0022355658,0.866235018,-0.865585089,-0.865972817,0.865849197,-0.000751777785,0.853218675,-0.85269469,251.323318,247.896927,-251.323318,-247.896927,0.85459888,-0.85441184,3,0,0
0.01,44,-0.0014857183,0.00226591714,0.866236567,-0.865583658,-0.86597383,0.865843415,-0.000753139553,0.863817513,-0.863398552,251.235611,247.766479,-251.235611,-247.766479,0.865214884,-0.865136743,3,0,0
0.01,45,-0.00146091101,0.00223937351,0.866227388,-0.865578592,-0.865967035,0.865840554,-0.000754624722,0.854557991,-0.854055941,251.065109,247.63327,-251.065109,-247.63324,0.855940104,-0.855775237,3,0,0
0.01,46,-0.00145291095,0.00223012408,0.866219103,-0.865574062,-0.865958631,0.865830481,-0.00075613067,0.85151875,-0.851017416,250.890381,247.470825,-250.890381,-247.470825,0.852895796,-0.852730334,3,0,0
0.01,47,-0.00144259143,0.00222040806,0.866211712,-0.865571499,-0.865955174,0.865825415,-0.000757568865,0.847477674,-0.846968889,250.73967,247.336349,-250.73967,-247.336349,0.848847926,-0.848673403,3,0,0
0.01,48,-0.00145373039,0.00223012338,0.866213918,-0.865558803,-0.865947187,0.865828216,-0.000759038201,0.851634085,-0.851086318,250.611526,247.191544,-250.611526,-247.191544,0.853010893,-0.8527987,3,0,0
0.01,49,-0.00146167434,0.0022401188,0.8662045,-0.86554563,-0.865937352,0.865818381,-0.000760760508,0.85507369,-0.8545959,250.423737,246.989822,-250.423721,-246.989822,0.856455624,-0.856315315,3,0,0
0.01,50,-0.00144481973,0.00222354708,0.866193116,-0.865546346,-0.865931928,0.865806222,-0.000762339914,0.84863925,-0.848116696,250.245178,246.837234,-250.245178,-246.837234,0.850010812,-0.8498227,3,0,0
0.01,51,-0.00146396249,0.00224140845,0.86618793,-0.86553371,-0.865924299,0.865798295,-0.000764032011,0.85623759,-0.855773807,250.08342,246.64476,-250.08342,-246.64476,0.857620955,-0.85749495,3,0,0
0.01,52,-0.00145573413,0.00223346567,0.866184711,-0.865529835,-0.865919113,0.865796506,-0.000765460834,0.85309726,-0.852557242,249.939407,246.51355,-249.939407,-246.51355,0.854475617,-0.854271531,3,0,0
0.01,53,-0.0014698758,0.00224756706,0.866175771,-0.865529001,-0.865920603,0.865784287,-0.000766949728,0.858732343,-0.858166635,249.799301,246.350937,-249.799301,-246.350937,0.860119522,-0.859892249,3,0,0
